,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.013986807411912e-07,PHL,2015
1,COD,Growing maize industry,XAM,9.498942748073691e-06,PHL,2015
2,COD,Growing cereals n.e.c industry,XAM,1.0916643556515984e-08,PHL,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.9900846655127836e-06,PHL,2015
4,COD,Growing rice industry,XAM,1.1239020333451328e-05,PHL,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.959823123351187e-07,PHL,2015
6,COD,Growing sugar beet and cane industry,XAM,8.366040749142038e-07,PHL,2015
7,COD,Growing tobacco industry,XAM,2.7651877982222535e-08,PHL,2015
8,COD,Growing fibre crops industry,XAM,1.974466431952591e-05,PHL,2015
9,COD,Growing crops n.e.c. industry,XAM,1.7428368902258766e-06,PHL,2015
10,COD,Growing grapes industry,XAM,0.0,PHL,2015
11,COD,Growing fruits and nuts industry,XAM,3.125773243849721e-05,PHL,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.9430666828178073e-07,PHL,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.781163603789211e-10,PHL,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,PHL,2015
15,COD,Raising of cattle industry,XAM,0.0001379789654996257,PHL,2015
16,COD,Growing wheat industry,XEU,1.09627087597496e-07,PHL,2015
17,COD,Growing maize industry,XEU,1.7724771756221792e-06,PHL,2015
18,COD,Growing cereals n.e.c industry,XEU,1.3410989236376016e-09,PHL,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.93742748256654e-07,PHL,2015
20,COD,Growing rice industry,XEU,1.4605325995046995e-06,PHL,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.794300033428426e-07,PHL,2015
22,COD,Growing sugar beet and cane industry,XEU,1.1484423259570614e-07,PHL,2015
23,COD,Growing tobacco industry,XEU,3.723181685292875e-09,PHL,2015
24,COD,Growing fibre crops industry,XEU,3.0814596083513824e-06,PHL,2015
25,COD,Growing crops n.e.c. industry,XEU,2.153824264627868e-07,PHL,2015
26,COD,Growing grapes industry,XEU,0.0,PHL,2015
27,COD,Growing fruits and nuts industry,XEU,4.349113345154002e-06,PHL,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2841008630012753e-07,PHL,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0096124356581053e-10,PHL,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,PHL,2015
31,COD,Raising of cattle industry,XEU,1.6290088805678192e-05,PHL,2015
32,COD,Growing wheat industry,XAF,5.837560223653364e-07,PHL,2015
33,COD,Growing maize industry,XAF,5.424445126686914e-06,PHL,2015
34,COD,Growing cereals n.e.c industry,XAF,7.620409885062119e-09,PHL,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.2430833392104405e-06,PHL,2015
36,COD,Growing rice industry,XAF,7.324881589618804e-06,PHL,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,8.538122536180763e-07,PHL,2015
38,COD,Growing sugar beet and cane industry,XAF,5.157017609140882e-07,PHL,2015
39,COD,Growing tobacco industry,XAF,1.9331209986994084e-08,PHL,2015
40,COD,Growing fibre crops industry,XAF,1.0175085349593497e-05,PHL,2015
41,COD,Growing crops n.e.c. industry,XAF,1.1039404193640892e-06,PHL,2015
42,COD,Growing grapes industry,XAF,0.0,PHL,2015
43,COD,Growing fruits and nuts industry,XAF,1.418540186330623e-05,PHL,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,5.557643041542975e-07,PHL,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.4582213673569233e-10,PHL,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,PHL,2015
47,COD,Raising of cattle industry,XAF,9.191103437429382e-05,PHL,2015
48,COD,Growing wheat industry,XAS,3.0922246373646127e-06,PHL,2015
49,COD,Growing maize industry,XAS,3.543415854637987e-05,PHL,2015
50,COD,Growing cereals n.e.c industry,XAS,3.740481441534423e-08,PHL,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,7.0529167429552116e-06,PHL,2015
52,COD,Growing rice industry,XAS,3.7688838635556984e-05,PHL,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.7448941343051483e-06,PHL,2015
54,COD,Growing sugar beet and cane industry,XAS,2.87644298755773e-06,PHL,2015
55,COD,Growing tobacco industry,XAS,9.571568719373505e-08,PHL,2015
56,COD,Growing fibre crops industry,XAS,8.226461884431402e-05,PHL,2015
57,COD,Growing crops n.e.c. industry,XAS,5.957182245874445e-06,PHL,2015
58,COD,Growing grapes industry,XAS,0.0,PHL,2015
59,COD,Growing fruits and nuts industry,XAS,0.000117411461073554,PHL,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.3887263489282653e-06,PHL,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.1825628267770396e-09,PHL,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,PHL,2015
63,COD,Raising of cattle industry,XAS,0.0004557914673012331,PHL,2015
64,COD,Growing wheat industry,AFG,2.580161103568853e-07,PHL,2015
65,COD,Growing maize industry,AFG,2.7410603706503497e-06,PHL,2015
66,COD,Growing cereals n.e.c industry,AFG,3.1230336146001167e-09,PHL,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.684680034357034e-07,PHL,2015
68,COD,Growing rice industry,AFG,2.9763555054983504e-06,PHL,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.886596027587885e-07,PHL,2015
70,COD,Growing sugar beet and cane industry,AFG,2.3095928272202506e-07,PHL,2015
