,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.0207666829118592e-06,UKR,2015
1,COD,Growing maize industry,XAM,1.35524869222926e-05,UKR,2015
2,COD,Growing cereals n.e.c industry,XAM,1.4043030107049281e-08,UKR,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.8632777625794938e-06,UKR,2015
4,COD,Growing rice industry,XAM,6.610992157168075e-06,UKR,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.108203466737901e-06,UKR,2015
6,COD,Growing sugar beet and cane industry,XAM,2.0017347127164607e-06,UKR,2015
7,COD,Growing tobacco industry,XAM,1.5877656857740356e-06,UKR,2015
8,COD,Growing fibre crops industry,XAM,4.924037371916587e-06,UKR,2015
9,COD,Growing crops n.e.c. industry,XAM,8.357651184976037e-07,UKR,2015
10,COD,Growing grapes industry,XAM,0.0,UKR,2015
11,COD,Growing fruits and nuts industry,XAM,5.715819479701637e-05,UKR,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.549426544581917e-06,UKR,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.1277623172070489e-08,UKR,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,UKR,2015
15,COD,Raising of cattle industry,XAM,4.099858422639846e-05,UKR,2015
16,COD,Growing wheat industry,XEU,2.025634348537913e-07,UKR,2015
17,COD,Growing maize industry,XEU,4.494891263242459e-06,UKR,2015
18,COD,Growing cereals n.e.c industry,XEU,4.610802522588839e-09,UKR,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.674344037766475e-07,UKR,2015
20,COD,Growing rice industry,XEU,1.5023010641341275e-06,UKR,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.2728606034758113e-06,UKR,2015
22,COD,Growing sugar beet and cane industry,XEU,3.6904021398463176e-07,UKR,2015
23,COD,Growing tobacco industry,XEU,3.237218692556306e-07,UKR,2015
24,COD,Growing fibre crops industry,XEU,1.7903738771711666e-06,UKR,2015
25,COD,Growing crops n.e.c. industry,XEU,1.9881622941764286e-07,UKR,2015
26,COD,Growing grapes industry,XEU,0.0,UKR,2015
27,COD,Growing fruits and nuts industry,XEU,1.588327239986531e-05,UKR,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.249507568659368e-06,UKR,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.32595221840852e-09,UKR,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,UKR,2015
31,COD,Raising of cattle industry,XEU,9.731677602103187e-06,UKR,2015
