,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.0617918350692073e-06,BHS,2016
1,COD,Growing maize industry,XAM,2.6108092963540177e-05,BHS,2016
2,COD,Growing cereals n.e.c industry,XAM,2.5550895881748045e-08,BHS,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.5925976074793485e-06,BHS,2016
4,COD,Growing rice industry,XAM,1.4505205575831434e-05,BHS,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,6.624945665990964e-06,BHS,2016
6,COD,Growing sugar beet and cane industry,XAM,5.087788863760566e-06,BHS,2016
7,COD,Growing tobacco industry,XAM,5.464344947290937e-08,BHS,2016
8,COD,Growing fibre crops industry,XAM,3.549983008824503e-06,BHS,2016
9,COD,Growing crops n.e.c. industry,XAM,7.609327085765158e-06,BHS,2016
10,COD,Growing grapes industry,XAM,0.0,BHS,2016
11,COD,Growing fruits and nuts industry,XAM,1.2981905772148672e-06,BHS,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.25881095133871e-07,BHS,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.768741537865911e-09,BHS,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,BHS,2016
15,COD,Raising of cattle industry,XAM,0.0002475635764175914,BHS,2016
16,COD,Growing wheat industry,XEU,1.3005990635377328e-07,BHS,2016
17,COD,Growing maize industry,XEU,1.8750196856634284e-06,BHS,2016
18,COD,Growing cereals n.e.c industry,XEU,1.5804344940945929e-09,BHS,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.6706568300191986e-07,BHS,2016
20,COD,Growing rice industry,XEU,9.217998801803544e-07,BHS,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.170375271667185e-07,BHS,2016
22,COD,Growing sugar beet and cane industry,XEU,3.2017810389847506e-07,BHS,2016
23,COD,Growing tobacco industry,XEU,2.9342936121027605e-09,BHS,2016
24,COD,Growing fibre crops industry,XEU,2.4458371466689393e-07,BHS,2016
25,COD,Growing crops n.e.c. industry,XEU,4.6684136936356074e-07,BHS,2016
26,COD,Growing grapes industry,XEU,0.0,BHS,2016
27,COD,Growing fruits and nuts industry,XEU,1.4469386679143138e-07,BHS,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.288746812783012e-08,BHS,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.021658444168596e-10,BHS,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,BHS,2016
31,COD,Raising of cattle industry,XEU,1.3360287323305331e-05,BHS,2016
32,COD,Growing wheat industry,XAF,7.177193045843897e-07,BHS,2016
33,COD,Growing maize industry,XAF,1.250716632767822e-05,BHS,2016
34,COD,Growing cereals n.e.c industry,XAF,8.861893639613954e-09,BHS,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,9.213371725567591e-07,BHS,2016
36,COD,Growing rice industry,XAF,4.881953641376126e-06,BHS,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.682393324736016e-06,BHS,2016
38,COD,Growing sugar beet and cane industry,XAF,3.4108352446530666e-06,BHS,2016
39,COD,Growing tobacco industry,XAF,1.1091161249073618e-08,BHS,2016
40,COD,Growing fibre crops industry,XAF,1.1055085507262729e-06,BHS,2016
41,COD,Growing crops n.e.c. industry,XAF,2.587201583159818e-06,BHS,2016
42,COD,Growing grapes industry,XAF,0.0,BHS,2016
43,COD,Growing fruits and nuts industry,XAF,8.882988879223548e-07,BHS,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,5.531352395868507e-07,BHS,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.262390749465859e-09,BHS,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,BHS,2016
47,COD,Raising of cattle industry,XAF,8.024095680038377e-05,BHS,2016
48,COD,Growing wheat industry,XAS,1.5568734390260944e-07,BHS,2016
49,COD,Growing maize industry,XAS,3.840816358046895e-05,BHS,2016
50,COD,Growing cereals n.e.c industry,XAS,2.7487235741713233e-09,BHS,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,4.707310824959062e-07,BHS,2016
52,COD,Growing rice industry,XAS,9.56142099057852e-07,BHS,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.8177439214470777e-05,BHS,2016
54,COD,Growing sugar beet and cane industry,XAS,5.918971250744509e-07,BHS,2016
55,COD,Growing tobacco industry,XAS,3.876579221704882e-09,BHS,2016
56,COD,Growing fibre crops industry,XAS,3.9166223015531296e-07,BHS,2016
57,COD,Growing crops n.e.c. industry,XAS,5.341915079648471e-07,BHS,2016
58,COD,Growing grapes industry,XAS,0.0,BHS,2016
59,COD,Growing fruits and nuts industry,XAS,3.149438586346819e-06,BHS,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.8746978990118727e-06,BHS,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.0588030765160183e-08,BHS,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,BHS,2016
63,COD,Raising of cattle industry,XAS,1.4468401769252537e-05,BHS,2016
64,COD,Growing wheat industry,AFG,3.7302453804326315e-08,BHS,2016
65,COD,Growing maize industry,AFG,4.407340589553218e-07,BHS,2016
66,COD,Growing cereals n.e.c industry,AFG,4.646625121199714e-10,BHS,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,4.667860784049769e-08,BHS,2016
68,COD,Growing rice industry,AFG,2.5687609553591825e-07,BHS,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.8507356092620247e-07,BHS,2016
70,COD,Growing sugar beet and cane industry,AFG,9.546620912626117e-08,BHS,2016
71,COD,Growing tobacco industry,AFG,6.748249237903323e-10,BHS,2016
72,COD,Growing fibre crops industry,AFG,5.5468743626587434e-08,BHS,2016
73,COD,Growing crops n.e.c. industry,AFG,1.3809754921802962e-07,BHS,2016
74,COD,Growing grapes industry,AFG,0.0,BHS,2016
75,COD,Growing fruits and nuts industry,AFG,3.422664368213016e-08,BHS,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.4153905812364738e-08,BHS,2016
