,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5525003010632102e-07,GEO,2018
1,COD,Growing maize industry,XAM,9.753065728088683e-07,GEO,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,GEO,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.116769543725941e-07,GEO,2018
4,COD,Growing rice industry,XAM,6.594945236829808e-07,GEO,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.7033891504677865e-06,GEO,2018
6,COD,Growing sugar beet and cane industry,XAM,5.91935499661459e-07,GEO,2018
7,COD,Growing tobacco industry,XAM,2.041797765774407e-09,GEO,2018
8,COD,Growing fibre crops industry,XAM,9.64587778681041e-08,GEO,2018
9,COD,Growing crops n.e.c. industry,XAM,8.323106673043196e-07,GEO,2018
10,COD,Growing grapes industry,XAM,0.0,GEO,2018
11,COD,Growing fruits and nuts industry,XAM,3.4959937656625113e-07,GEO,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.3801828137301636e-06,GEO,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.180996124631779e-09,GEO,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,GEO,2018
15,COD,Raising of cattle industry,XAM,2.859106236343901e-05,GEO,2018
16,COD,Growing wheat industry,XEU,2.2636639280978256e-08,GEO,2018
17,COD,Growing maize industry,XEU,1.5159114166917575e-07,GEO,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,GEO,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.995261279676054e-08,GEO,2018
20,COD,Growing rice industry,XEU,1.0245847131936353e-07,GEO,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.7759775860756415e-07,GEO,2018
22,COD,Growing sugar beet and cane industry,XEU,8.239842594102444e-08,GEO,2018
23,COD,Growing tobacco industry,XEU,3.448913969313978e-10,GEO,2018
24,COD,Growing fibre crops industry,XEU,1.499588275755389e-08,GEO,2018
25,COD,Growing crops n.e.c. industry,XEU,1.2040044700658806e-07,GEO,2018
26,COD,Growing grapes industry,XEU,0.0,GEO,2018
27,COD,Growing fruits and nuts industry,XEU,5.921696410171116e-08,GEO,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,4.896048783209689e-07,GEO,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.579783948207578e-10,GEO,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,GEO,2018
31,COD,Raising of cattle industry,XEU,4.735503655730339e-06,GEO,2018
32,COD,Growing wheat industry,XAF,6.225929029897823e-08,GEO,2018
33,COD,Growing maize industry,XAF,7.036351576898797e-07,GEO,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,GEO,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.021354425092772e-07,GEO,2018
36,COD,Growing rice industry,XAF,2.508094153998991e-07,GEO,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.61899264968307e-06,GEO,2018
38,COD,Growing sugar beet and cane industry,XAF,7.0014891533967e-07,GEO,2018
39,COD,Growing tobacco industry,XAF,1.2625856559956042e-09,GEO,2018
40,COD,Growing fibre crops industry,XAF,6.344646287215753e-08,GEO,2018
41,COD,Growing crops n.e.c. industry,XAF,3.467073275956698e-07,GEO,2018
42,COD,Growing grapes industry,XAF,0.0,GEO,2018
43,COD,Growing fruits and nuts industry,XAF,3.263678949493509e-07,GEO,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.199261405499243e-06,GEO,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.193375444507914e-09,GEO,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,GEO,2018
47,COD,Raising of cattle industry,XAF,9.7142420962049e-06,GEO,2018
48,COD,Growing wheat industry,XAS,6.27253446012697e-08,GEO,2018
49,COD,Growing maize industry,XAS,4.4483417260658585e-07,GEO,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,GEO,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.7230428527223753e-07,GEO,2018
52,COD,Growing rice industry,XAS,2.56345520100841e-07,GEO,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,7.141760655331451e-07,GEO,2018
54,COD,Growing sugar beet and cane industry,XAS,2.449662023255177e-07,GEO,2018
55,COD,Growing tobacco industry,XAS,9.408217388734945e-10,GEO,2018
56,COD,Growing fibre crops industry,XAS,4.871648079133209e-08,GEO,2018
57,COD,Growing crops n.e.c. industry,XAS,3.4573523778215383e-07,GEO,2018
58,COD,Growing grapes industry,XAS,0.0,GEO,2018
59,COD,Growing fruits and nuts industry,XAS,1.5004777622480117e-07,GEO,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.4384405129228683e-06,GEO,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.616347256023734e-10,GEO,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,GEO,2018
63,COD,Raising of cattle industry,XAS,1.1599959526174324e-05,GEO,2018
64,COD,Growing wheat industry,AFG,8.655414728060432e-08,GEO,2018
65,COD,Growing maize industry,AFG,1.1549749687411485e-06,GEO,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,GEO,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,3.640869991246962e-07,GEO,2018
68,COD,Growing rice industry,AFG,3.327214629938108e-07,GEO,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.126438688962662e-06,GEO,2018
70,COD,Growing sugar beet and cane industry,AFG,7.645017852484483e-07,GEO,2018
71,COD,Growing tobacco industry,AFG,1.982298887547283e-09,GEO,2018
72,COD,Growing fibre crops industry,AFG,1.1148622768491467e-07,GEO,2018
73,COD,Growing crops n.e.c. industry,AFG,4.792643239591401e-07,GEO,2018
74,COD,Growing grapes industry,AFG,0.0,GEO,2018
75,COD,Growing fruits and nuts industry,AFG,3.6583531561119674e-07,GEO,2018
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,5.886500388292562e-06,GEO,2018
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.8508281840864306e-09,GEO,2018
78,COD,Seeds and plant propagation industry,AFG,0.0,GEO,2018
79,COD,Raising of cattle industry,AFG,1.7149383411681925e-05,GEO,2018
80,COD,Growing wheat industry,AGO,2.1448545201992974e-07,GEO,2018
