,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.4764143761999323e-06,XEU,2018
1,COD,Growing maize industry,XAM,0.00012814355334993783,XEU,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,XEU,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.668957819580383e-06,XEU,2018
4,COD,Growing rice industry,XAM,9.531959717863325e-06,XEU,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.8003474814805902e-05,XEU,2018
6,COD,Growing sugar beet and cane industry,XAM,4.667965815123288e-06,XEU,2018
7,COD,Growing tobacco industry,XAM,1.815650657933737e-08,XEU,2018
8,COD,Growing fibre crops industry,XAM,1.173194722674892e-06,XEU,2018
9,COD,Growing crops n.e.c. industry,XAM,1.5065377852329992e-05,XEU,2018
10,COD,Growing grapes industry,XAM,0.0,XEU,2018
11,COD,Growing fruits and nuts industry,XAM,5.084407380375824e-06,XEU,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0008502097013135734,XEU,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.856859715585152e-08,XEU,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,XEU,2018
15,COD,Raising of cattle industry,XAM,0.00045824580322634516,XEU,2018
16,COD,Growing wheat industry,XEU,0.0,XEU,2018
17,COD,Growing maize industry,XEU,0.0,XEU,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,XEU,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.0,XEU,2018
20,COD,Growing rice industry,XEU,0.0,XEU,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.0,XEU,2018
22,COD,Growing sugar beet and cane industry,XEU,0.0,XEU,2018
23,COD,Growing tobacco industry,XEU,0.0,XEU,2018
24,COD,Growing fibre crops industry,XEU,0.0,XEU,2018
25,COD,Growing crops n.e.c. industry,XEU,0.0,XEU,2018
26,COD,Growing grapes industry,XEU,0.0,XEU,2018
27,COD,Growing fruits and nuts industry,XEU,0.0,XEU,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,XEU,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,XEU,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,XEU,2018
31,COD,Raising of cattle industry,XEU,0.0,XEU,2018
32,COD,Growing wheat industry,XAF,6.025200187089476e-08,XEU,2018
33,COD,Growing maize industry,XAF,7.511927191410909e-07,XEU,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,XEU,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.3551363216492617e-07,XEU,2018
36,COD,Growing rice industry,XAF,2.0016726111371514e-07,XEU,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.602889634060579e-07,XEU,2018
38,COD,Growing sugar beet and cane industry,XAF,9.277074692227856e-08,XEU,2018
39,COD,Growing tobacco industry,XAF,3.107337100797932e-10,XEU,2018
40,COD,Growing fibre crops industry,XAF,2.6870029770054984e-08,XEU,2018
