,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.445650759014635e-06,BRA,2019
1,COD,Growing maize industry,XAM,0.0,BRA,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,BRA,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.235416660766193e-05,BRA,2019
4,COD,Growing rice industry,XAM,7.511820524186223e-07,BRA,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00010090737345641837,BRA,2019
6,COD,Growing sugar beet and cane industry,XAM,3.02914525650064e-06,BRA,2019
7,COD,Growing tobacco industry,XAM,1.300678745571691e-07,BRA,2019
8,COD,Growing fibre crops industry,XAM,2.0593916624285705e-05,BRA,2019
9,COD,Growing crops n.e.c. industry,XAM,1.1417880994451073e-05,BRA,2019
10,COD,Growing grapes industry,XAM,0.0,BRA,2019
11,COD,Growing fruits and nuts industry,XAM,5.481546921887199e-06,BRA,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.947334618665806e-05,BRA,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.086974763748093e-07,BRA,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,BRA,2019
15,COD,Raising of cattle industry,XAM,0.00020456255903198863,BRA,2019
16,COD,Growing wheat industry,XEU,6.375564881080132e-07,BRA,2019
17,COD,Growing maize industry,XEU,0.0,BRA,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,BRA,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.1516578376728386e-06,BRA,2019
20,COD,Growing rice industry,XEU,7.681214089513811e-08,BRA,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.856190780746664e-06,BRA,2019
22,COD,Growing sugar beet and cane industry,XEU,2.852809648941806e-07,BRA,2019
23,COD,Growing tobacco industry,XEU,1.267738691051457e-08,BRA,2019
24,COD,Growing fibre crops industry,XEU,1.3163503692819737e-06,BRA,2019
25,COD,Growing crops n.e.c. industry,XEU,1.111543410207685e-06,BRA,2019
26,COD,Growing grapes industry,XEU,0.0,BRA,2019
27,COD,Growing fruits and nuts industry,XEU,4.914520385699993e-07,BRA,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.7347348845128055e-06,BRA,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.0085192997846935e-08,BRA,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,BRA,2019
31,COD,Raising of cattle industry,XEU,2.1744120253593857e-05,BRA,2019
32,COD,Growing wheat industry,XAF,2.449576140929743e-07,BRA,2019
33,COD,Growing maize industry,XAF,0.0,BRA,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,BRA,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.357465385252688e-06,BRA,2019
36,COD,Growing rice industry,XAF,4.800603987866692e-08,BRA,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.6326300825549207e-06,BRA,2019
38,COD,Growing sugar beet and cane industry,XAF,1.7811598389800614e-07,BRA,2019
39,COD,Growing tobacco industry,XAF,4.4050431681325725e-09,BRA,2019
40,COD,Growing fibre crops industry,XAF,2.311541272146271e-06,BRA,2019
41,COD,Growing crops n.e.c. industry,XAF,8.350074398926078e-07,BRA,2019
42,COD,Growing grapes industry,XAF,0.0,BRA,2019
43,COD,Growing fruits and nuts industry,XAF,4.45645524045054e-07,BRA,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.452020923914239e-06,BRA,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.2046701481231382e-08,BRA,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,BRA,2019
47,COD,Raising of cattle industry,XAF,1.743719574727588e-05,BRA,2019
48,COD,Growing wheat industry,XAS,3.0407314586008156e-07,BRA,2019
49,COD,Growing maize industry,XAS,0.0,BRA,2019
50,COD,Growing cereals n.e.c industry,XAS,0.0,BRA,2019
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.629487678567531e-06,BRA,2019
52,COD,Growing rice industry,XAS,5.434616043496128e-08,BRA,2019
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.400512217611645e-06,BRA,2019
54,COD,Growing sugar beet and cane industry,XAS,1.7556231025725972e-07,BRA,2019
55,COD,Growing tobacco industry,XAS,5.769895427056152e-09,BRA,2019
56,COD,Growing fibre crops industry,XAS,2.527063857290182e-06,BRA,2019
57,COD,Growing crops n.e.c. industry,XAS,8.215574400839415e-07,BRA,2019
58,COD,Growing grapes industry,XAS,0.0,BRA,2019
59,COD,Growing fruits and nuts industry,XAS,4.12928033280413e-07,BRA,2019
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.3294871438700307e-06,BRA,2019
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4230249841404285e-08,BRA,2019
62,COD,Seeds and plant propagation industry,XAS,0.0,BRA,2019
63,COD,Raising of cattle industry,XAS,1.927662196719466e-05,BRA,2019
64,COD,Growing wheat industry,AFG,5.400235436945926e-08,BRA,2019
65,COD,Growing maize industry,AFG,0.0,BRA,2019
66,COD,Growing cereals n.e.c industry,AFG,0.0,BRA,2019
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.921631297302048e-07,BRA,2019
68,COD,Growing rice industry,AFG,1.1526099957785918e-08,BRA,2019
69,COD,"Growing vegetables, roots, tubers industry",AFG,7.505012392247578e-07,BRA,2019
70,COD,Growing sugar beet and cane industry,AFG,3.438910430616635e-08,BRA,2019
71,COD,Growing tobacco industry,AFG,9.782662399068797e-10,BRA,2019
72,COD,Growing fibre crops industry,AFG,4.2786733288225347e-07,BRA,2019
73,COD,Growing crops n.e.c. industry,AFG,1.7217084132528584e-07,BRA,2019
74,COD,Growing grapes industry,AFG,0.0,BRA,2019
75,COD,Growing fruits and nuts industry,AFG,8.104032571639081e-08,BRA,2019
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,4.497955173268579e-07,BRA,2019
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.528857736335053e-09,BRA,2019
78,COD,Seeds and plant propagation industry,AFG,0.0,BRA,2019
79,COD,Raising of cattle industry,AFG,4.458888619343329e-06,BRA,2019
80,COD,Growing wheat industry,AGO,3.4389152047403817e-06,BRA,2019
