,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.196506796767466e-07,DZA,2019
1,COD,Growing maize industry,XAM,0.0,DZA,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,DZA,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1103419333029364e-06,DZA,2019
4,COD,Growing rice industry,XAM,2.5702818178511522e-08,DZA,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.9623006902446367e-06,DZA,2019
6,COD,Growing sugar beet and cane industry,XAM,1.5988808857522964e-07,DZA,2019
7,COD,Growing tobacco industry,XAM,4.575468471240358e-09,DZA,2019
8,COD,Growing fibre crops industry,XAM,4.413685136343783e-07,DZA,2019
9,COD,Growing crops n.e.c. industry,XAM,3.10421156941663e-07,DZA,2019
10,COD,Growing grapes industry,XAM,0.0,DZA,2019
11,COD,Growing fruits and nuts industry,XAM,1.9636329059428434e-07,DZA,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.5639769898623494e-05,DZA,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.497316763829754e-09,DZA,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,DZA,2019
15,COD,Raising of cattle industry,XAM,7.175100190705337e-06,DZA,2019
16,COD,Growing wheat industry,XEU,4.271248489966928e-08,DZA,2019
17,COD,Growing maize industry,XEU,0.0,DZA,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,DZA,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.192638717236394e-07,DZA,2019
20,COD,Growing rice industry,XEU,9.38886337397871e-09,DZA,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.340139075689822e-07,DZA,2019
22,COD,Growing sugar beet and cane industry,XEU,5.5554876113564636e-08,DZA,2019
23,COD,Growing tobacco industry,XEU,1.705726513392999e-09,DZA,2019
24,COD,Growing fibre crops industry,XEU,1.6443628549339127e-07,DZA,2019
25,COD,Growing crops n.e.c. industry,XEU,1.1361424892158318e-07,DZA,2019
26,COD,Growing grapes industry,XEU,0.0,DZA,2019
27,COD,Growing fruits and nuts industry,XEU,7.301802003467793e-08,DZA,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.4476059896264176e-05,DZA,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.8506454785503457e-09,DZA,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,DZA,2019
31,COD,Raising of cattle industry,XEU,2.490723642788352e-06,DZA,2019
32,COD,Growing wheat industry,XAF,5.4691032523304664e-08,DZA,2019
33,COD,Growing maize industry,XAF,0.0,DZA,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,DZA,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.1066076083629877e-07,DZA,2019
36,COD,Growing rice industry,XAF,1.299840528537242e-08,DZA,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,7.138683669979459e-07,DZA,2019
38,COD,Growing sugar beet and cane industry,XAF,6.386095516928757e-08,DZA,2019
39,COD,Growing tobacco industry,XAF,1.4588637267470346e-09,DZA,2019
40,COD,Growing fibre crops industry,XAF,1.5509879239496486e-07,DZA,2019
41,COD,Growing crops n.e.c. industry,XAF,1.599314670511661e-07,DZA,2019
42,COD,Growing grapes industry,XAF,0.0,DZA,2019
43,COD,Growing fruits and nuts industry,XAF,7.59931963268947e-08,DZA,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.8414990262951345e-05,DZA,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.8084760274251126e-09,DZA,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,DZA,2019
