,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.7670357993943387e-07,OMN,2019
1,COD,Growing maize industry,XAM,0.0,OMN,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,OMN,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.067940597350157e-07,OMN,2019
4,COD,Growing rice industry,XAM,4.98170525552279e-08,OMN,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.3557630458733204e-06,OMN,2019
6,COD,Growing sugar beet and cane industry,XAM,3.3171709886290117e-07,OMN,2019
7,COD,Growing tobacco industry,XAM,1.885136012170682e-09,OMN,2019
8,COD,Growing fibre crops industry,XAM,2.4206756294131057e-07,OMN,2019
9,COD,Growing crops n.e.c. industry,XAM,4.1138758491372546e-06,OMN,2019
10,COD,Growing grapes industry,XAM,0.0,OMN,2019
11,COD,Growing fruits and nuts industry,XAM,2.1986723056831832e-07,OMN,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.586355540369474e-06,OMN,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.350198574021231e-09,OMN,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,OMN,2019
15,COD,Raising of cattle industry,XAM,1.4066290327520636e-05,OMN,2019
16,COD,Growing wheat industry,XEU,4.000900703605547e-08,OMN,2019
17,COD,Growing maize industry,XEU,0.0,OMN,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,OMN,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.7683687501836635e-07,OMN,2019
20,COD,Growing rice industry,XEU,1.1820891144066466e-08,OMN,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.105458803716179e-07,OMN,2019
22,COD,Growing sugar beet and cane industry,XEU,4.419087477124101e-08,OMN,2019
23,COD,Growing tobacco industry,XEU,3.776532169434483e-10,OMN,2019
24,COD,Growing fibre crops industry,XEU,5.0699141496254685e-08,OMN,2019
25,COD,Growing crops n.e.c. industry,XEU,5.540915300447828e-07,OMN,2019
26,COD,Growing grapes industry,XEU,0.0,OMN,2019
27,COD,Growing fruits and nuts industry,XEU,4.2019168478697654e-08,OMN,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.637062871264864e-07,OMN,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.6021627291298777e-09,OMN,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,OMN,2019
31,COD,Raising of cattle industry,XEU,3.205786201348943e-06,OMN,2019
32,COD,Growing wheat industry,XAF,4.093300624107995e-07,OMN,2019
33,COD,Growing maize industry,XAF,0.0,OMN,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,OMN,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.741256443236837e-06,OMN,2019
36,COD,Growing rice industry,XAF,1.1131977348428205e-07,OMN,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,9.359138810061932e-06,OMN,2019
38,COD,Growing sugar beet and cane industry,XAF,4.209635647815154e-07,OMN,2019
39,COD,Growing tobacco industry,XAF,5.513396637695948e-09,OMN,2019
40,COD,Growing fibre crops industry,XAF,6.378603490560162e-07,OMN,2019
41,COD,Growing crops n.e.c. industry,XAF,3.9150504959781025e-06,OMN,2019
42,COD,Growing grapes industry,XAF,0.0,OMN,2019
43,COD,Growing fruits and nuts industry,XAF,9.343419723740894e-07,OMN,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.990129106807677e-06,OMN,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.01537176739033e-08,OMN,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,OMN,2019
47,COD,Raising of cattle industry,XAF,3.3170214560930786e-05,OMN,2019
48,COD,Growing wheat industry,XAS,7.119744839745535e-07,OMN,2019
49,COD,Growing maize industry,XAS,0.0,OMN,2019
50,COD,Growing cereals n.e.c industry,XAS,0.0,OMN,2019
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.756883702927504e-06,OMN,2019
52,COD,Growing rice industry,XAS,2.0206861144979046e-07,OMN,2019
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.3066705938437446e-05,OMN,2019
54,COD,Growing sugar beet and cane industry,XAS,7.266508804638077e-07,OMN,2019
55,COD,Growing tobacco industry,XAS,9.477461765284374e-09,OMN,2019
56,COD,Growing fibre crops industry,XAS,1.7363311372720282e-06,OMN,2019
57,COD,Growing crops n.e.c. industry,XAS,7.315276421750767e-06,OMN,2019
58,COD,Growing grapes industry,XAS,0.0,OMN,2019
59,COD,Growing fruits and nuts industry,XAS,1.5090066265760588e-06,OMN,2019
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.7815220515356688e-05,OMN,2019
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.810998683889012e-08,OMN,2019
62,COD,Seeds and plant propagation industry,XAS,0.0,OMN,2019
63,COD,Raising of cattle industry,XAS,5.511771272905485e-05,OMN,2019
64,COD,Growing wheat industry,AFG,2.394124336153566e-07,OMN,2019
65,COD,Growing maize industry,AFG,0.0,OMN,2019
66,COD,Growing cereals n.e.c industry,AFG,0.0,OMN,2019
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.3222183609650565e-06,OMN,2019
68,COD,Growing rice industry,AFG,6.903288078297569e-08,OMN,2019
69,COD,"Growing vegetables, roots, tubers industry",AFG,6.017643300008561e-06,OMN,2019
70,COD,Growing sugar beet and cane industry,AFG,4.039672760175924e-07,OMN,2019
71,COD,Growing tobacco industry,AFG,2.4867916970805384e-09,OMN,2019
72,COD,Growing fibre crops industry,AFG,3.698573471119604e-07,OMN,2019
73,COD,Growing crops n.e.c. industry,AFG,4.679892670671949e-06,OMN,2019
74,COD,Growing grapes industry,AFG,0.0,OMN,2019
75,COD,Growing fruits and nuts industry,AFG,3.765329783544933e-07,OMN,2019
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,8.051933668012087e-06,OMN,2019
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.2405406759738441e-08,OMN,2019
78,COD,Seeds and plant propagation industry,AFG,0.0,OMN,2019
79,COD,Raising of cattle industry,AFG,1.878627146035266e-05,OMN,2019
80,COD,Growing wheat industry,AGO,9.785775089257145e-07,OMN,2019
81,COD,Growing maize industry,AGO,0.0,OMN,2019
82,COD,Growing cereals n.e.c industry,AGO,0.0,OMN,2019
83,COD,Growing leguminous crops and oil seeds industry,AGO,4.867590589269159e-06,OMN,2019
84,COD,Growing rice industry,AGO,2.47219285169685e-07,OMN,2019
85,COD,"Growing vegetables, roots, tubers industry",AGO,2.162732628082827e-05,OMN,2019
86,COD,Growing sugar beet and cane industry,AGO,1.6288450554064545e-06,OMN,2019
87,COD,Growing tobacco industry,AGO,1.1986414829920367e-08,OMN,2019
88,COD,Growing fibre crops industry,AGO,1.497689901644809e-06,OMN,2019
89,COD,Growing crops n.e.c. industry,AGO,1.9463934097418928e-05,OMN,2019
90,COD,Growing grapes industry,AGO,0.0,OMN,2019
91,COD,Growing fruits and nuts industry,AGO,1.5207899703962108e-06,OMN,2019
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.774546654305932e-05,OMN,2019
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,5.106814209965399e-08,OMN,2019
94,COD,Seeds and plant propagation industry,AGO,0.0,OMN,2019
95,COD,Raising of cattle industry,AGO,6.838178915374491e-05,OMN,2019
