,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COL,Growing wheat industry,XAM,9.766207903610467e-05,EU27,2019
1,COL,Growing maize industry,XAM,0.0065041089843506,EU27,2019
2,COL,Growing cereals n.e.c industry,XAM,0.0007041819335234069,EU27,2019
3,COL,Growing leguminous crops and oil seeds industry,XAM,0.1475580177363106,EU27,2019
4,COL,Growing rice industry,XAM,4.170539026937803e-05,EU27,2019
5,COL,"Growing vegetables, roots, tubers industry",XAM,0.0018411198582889865,EU27,2019
6,COL,Growing sugar beet and cane industry,XAM,0.1329797499634512,EU27,2019
7,COL,Growing tobacco industry,XAM,0.0,EU27,2019
8,COL,Growing fibre crops industry,XAM,0.010474884293742234,EU27,2019
9,COL,Growing crops n.e.c. industry,XAM,0.016485543058875854,EU27,2019
10,COL,Growing grapes industry,XAM,0.00014717094754312604,EU27,2019
11,COL,Growing fruits and nuts industry,XAM,0.45611750507753146,EU27,2019
12,COL,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,EU27,2019
13,COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0010398144225579392,EU27,2019
14,COL,Seeds and plant propagation industry,XAM,0.0,EU27,2019
15,COL,Raising of cattle industry,XAM,0.058638610542964056,EU27,2019
16,COL,Growing wheat industry,XEU,2.6059048524117737e-05,EU27,2019
17,COL,Growing maize industry,XEU,0.0029523661805997315,EU27,2019
18,COL,Growing cereals n.e.c industry,XEU,0.00034909082023823815,EU27,2019
19,COL,Growing leguminous crops and oil seeds industry,XEU,0.04212360069625551,EU27,2019
20,COL,Growing rice industry,XEU,1.1891414736231442e-05,EU27,2019
21,COL,"Growing vegetables, roots, tubers industry",XEU,0.0006734008441978132,EU27,2019
22,COL,Growing sugar beet and cane industry,XEU,0.061514190195844934,EU27,2019
23,COL,Growing tobacco industry,XEU,0.0,EU27,2019
24,COL,Growing fibre crops industry,XEU,0.008293852644473104,EU27,2019
25,COL,Growing crops n.e.c. industry,XEU,0.004543650162448627,EU27,2019
26,COL,Growing grapes industry,XEU,4.0389780704363735e-05,EU27,2019
27,COL,Growing fruits and nuts industry,XEU,0.03605849272643125,EU27,2019
28,COL,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,EU27,2019
29,COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.00030989878978056773,EU27,2019
30,COL,Seeds and plant propagation industry,XEU,0.0,EU27,2019
31,COL,Raising of cattle industry,XEU,0.024095396476678934,EU27,2019
32,COL,Growing wheat industry,XAF,4.4982316340932755e-05,EU27,2019
33,COL,Growing maize industry,XAF,0.002827124260978639,EU27,2019
34,COL,Growing cereals n.e.c industry,XAF,0.0002820818054558953,EU27,2019
35,COL,Growing leguminous crops and oil seeds industry,XAF,0.030117275142233474,EU27,2019
36,COL,Growing rice industry,XAF,2.0022302197798123e-05,EU27,2019
37,COL,"Growing vegetables, roots, tubers industry",XAF,0.0007347049664540135,EU27,2019
38,COL,Growing sugar beet and cane industry,XAF,0.05929904106247006,EU27,2019
39,COL,Growing tobacco industry,XAF,0.0,EU27,2019
40,COL,Growing fibre crops industry,XAF,0.007613442401993695,EU27,2019
41,COL,Growing crops n.e.c. industry,XAF,0.003607374275318768,EU27,2019
42,COL,Growing grapes industry,XAF,4.205367358927586e-05,EU27,2019
43,COL,Growing fruits and nuts industry,XAF,0.06597863240405813,EU27,2019
44,COL,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,EU27,2019
45,COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0015907291014965262,EU27,2019
46,COL,Seeds and plant propagation industry,XAF,0.0,EU27,2019
47,COL,Raising of cattle industry,XAF,0.022960597243851653,EU27,2019
48,COL,Growing wheat industry,XAS,3.329706088466677e-05,EU27,2019
49,COL,Growing maize industry,XAS,0.002195366386649104,EU27,2019
50,COL,Growing cereals n.e.c industry,XAS,0.0002442957193377648,EU27,2019
51,COL,Growing leguminous crops and oil seeds industry,XAS,0.019026254743382435,EU27,2019
52,COL,Growing rice industry,XAS,1.4524112275761581e-05,EU27,2019
53,COL,"Growing vegetables, roots, tubers industry",XAS,0.0005457527396271113,EU27,2019
54,COL,Growing sugar beet and cane industry,XAS,0.04709717088468379,EU27,2019
55,COL,Growing tobacco industry,XAS,0.0,EU27,2019
56,COL,Growing fibre crops industry,XAS,0.00276276787900331,EU27,2019
57,COL,Growing crops n.e.c. industry,XAS,0.0020600725559304736,EU27,2019
58,COL,Growing grapes industry,XAS,4.203183504311663e-05,EU27,2019
59,COL,Growing fruits and nuts industry,XAS,0.036306977448242905,EU27,2019
60,COL,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,EU27,2019
61,COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.00038936425604886555,EU27,2019
62,COL,Seeds and plant propagation industry,XAS,0.0,EU27,2019
63,COL,Raising of cattle industry,XAS,0.019212433897164698,EU27,2019
