,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BRN,2012
1,IDN,Growing maize industry,XAM,0.0001652034460389692,BRN,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BRN,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.01270294030065732,BRN,2012
4,IDN,Growing rice industry,XAM,5.798262206777434e-07,BRN,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BRN,2012
6,IDN,Growing sugar beet and cane industry,XAM,6.225175833841421e-05,BRN,2012
7,IDN,Growing tobacco industry,XAM,2.202590554871684e-05,BRN,2012
8,IDN,Growing fibre crops industry,XAM,3.5382515997115588e-09,BRN,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.0003686251014535413,BRN,2012
10,IDN,Growing grapes industry,XAM,0.0,BRN,2012
11,IDN,Growing fruits and nuts industry,XAM,0.0005187327286942571,BRN,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.850357045935946e-05,BRN,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.580017326488524e-05,BRN,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,BRN,2012
15,IDN,Raising of cattle industry,XAM,6.978617509354378e-05,BRN,2012
16,IDN,Growing wheat industry,XEU,0.0,BRN,2012
17,IDN,Growing maize industry,XEU,4.235541375293652e-05,BRN,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BRN,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.003428270286750679,BRN,2012
20,IDN,Growing rice industry,XEU,1.37216363525851e-07,BRN,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BRN,2012
22,IDN,Growing sugar beet and cane industry,XEU,1.831002634404923e-05,BRN,2012
23,IDN,Growing tobacco industry,XEU,8.079272021122148e-06,BRN,2012
24,IDN,Growing fibre crops industry,XEU,1.1782558429979289e-09,BRN,2012
25,IDN,Growing crops n.e.c. industry,XEU,9.414701532060337e-05,BRN,2012
26,IDN,Growing grapes industry,XEU,0.0,BRN,2012
27,IDN,Growing fruits and nuts industry,XEU,0.00013421785317823507,BRN,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2546254416008875e-05,BRN,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.0740589948950302e-05,BRN,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,BRN,2012
31,IDN,Raising of cattle industry,XEU,1.8460009498102154e-05,BRN,2012
32,IDN,Growing wheat industry,XAF,0.0,BRN,2012
33,IDN,Growing maize industry,XAF,0.00014718674060800385,BRN,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BRN,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.011430085642537391,BRN,2012
36,IDN,Growing rice industry,XAF,5.153922513543238e-07,BRN,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BRN,2012
38,IDN,Growing sugar beet and cane industry,XAF,6.286957142937308e-05,BRN,2012
39,IDN,Growing tobacco industry,XAF,2.8695295358692472e-05,BRN,2012
40,IDN,Growing fibre crops industry,XAF,4.336567808447582e-09,BRN,2012
41,IDN,Growing crops n.e.c. industry,XAF,0.00036513181222189774,BRN,2012
42,IDN,Growing grapes industry,XAF,0.0,BRN,2012
43,IDN,Growing fruits and nuts industry,XAF,0.000459377735908933,BRN,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,4.2219554634411224e-05,BRN,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.486162565019623e-05,BRN,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,BRN,2012
47,IDN,Raising of cattle industry,XAF,7.032190102266768e-05,BRN,2012
48,IDN,Growing wheat industry,XAS,0.0,BRN,2012
49,IDN,Growing maize industry,XAS,0.013269938816578205,BRN,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BRN,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.7946634254906259,BRN,2012
52,IDN,Growing rice industry,XAS,3.454894947017049e-05,BRN,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BRN,2012
54,IDN,Growing sugar beet and cane industry,XAS,0.005730747409018317,BRN,2012
55,IDN,Growing tobacco industry,XAS,0.0027140999699438706,BRN,2012
56,IDN,Growing fibre crops industry,XAS,3.1712209591119183e-07,BRN,2012
57,IDN,Growing crops n.e.c. industry,XAS,0.03809025012683189,BRN,2012
58,IDN,Growing grapes industry,XAS,0.0,BRN,2012
59,IDN,Growing fruits and nuts industry,XAS,0.034177550822613034,BRN,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0032621841740003593,BRN,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.006969810847029324,BRN,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,BRN,2012
63,IDN,Raising of cattle industry,XAS,0.006817054760352598,BRN,2012
64,IDN,Growing wheat industry,AFG,0.0,BRN,2012
65,IDN,Growing maize industry,AFG,0.00014971086368020431,BRN,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BRN,2012
