,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,CHN,2012
1,IDN,Growing maize industry,XAM,0.03052415744126689,CHN,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,CHN,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.8609424295634278,CHN,2012
4,IDN,Growing rice industry,XAM,0.00020692019093789706,CHN,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,CHN,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.029939063845268368,CHN,2012
7,IDN,Growing tobacco industry,XAM,0.04037480466321653,CHN,2012
8,IDN,Growing fibre crops industry,XAM,1.2368038733211796e-06,CHN,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.03944472287747064,CHN,2012
10,IDN,Growing grapes industry,XAM,0.0,CHN,2012
11,IDN,Growing fruits and nuts industry,XAM,0.16288267589343403,CHN,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.01330026208824118,CHN,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.03176119257196261,CHN,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,CHN,2012
15,IDN,Raising of cattle industry,XAM,0.012110047695571667,CHN,2012
16,IDN,Growing wheat industry,XEU,0.0,CHN,2012
17,IDN,Growing maize industry,XEU,0.0034909505903594055,CHN,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,CHN,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.1907176544065447,CHN,2012
20,IDN,Growing rice industry,XEU,2.322396050558536e-05,CHN,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,CHN,2012
22,IDN,Growing sugar beet and cane industry,XEU,0.003391921860907651,CHN,2012
23,IDN,Growing tobacco industry,XEU,0.004527249542484313,CHN,2012
24,IDN,Growing fibre crops industry,XEU,1.3081643453498629e-07,CHN,2012
25,IDN,Growing crops n.e.c. industry,XEU,0.00467779620885614,CHN,2012
26,IDN,Growing grapes industry,XEU,0.0,CHN,2012
27,IDN,Growing fruits and nuts industry,XEU,0.016300815818972473,CHN,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.001461731285222742,CHN,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.003795190173322551,CHN,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,CHN,2012
