,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PER,2012
1,IDN,Growing maize industry,XAM,0.0003734768108523059,PER,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PER,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.011815575711454472,PER,2012
4,IDN,Growing rice industry,XAM,6.85338041132577e-07,PER,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PER,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.0003885107896118716,PER,2012
7,IDN,Growing tobacco industry,XAM,0.00015045245650897602,PER,2012
8,IDN,Growing fibre crops industry,XAM,6.465237347574292e-08,PER,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.0010588642708926016,PER,2012
10,IDN,Growing grapes industry,XAM,0.0,PER,2012
11,IDN,Growing fruits and nuts industry,XAM,0.002176324240781187,PER,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00019789920051708625,PER,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0006164759059779459,PER,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,PER,2012
15,IDN,Raising of cattle industry,XAM,0.0005819419825052817,PER,2012
16,IDN,Growing wheat industry,XEU,0.0,PER,2012
17,IDN,Growing maize industry,XEU,3.363877335664013e-05,PER,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PER,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0009528016108290829,PER,2012
20,IDN,Growing rice industry,XEU,1.7392882037751168e-07,PER,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PER,2012
22,IDN,Growing sugar beet and cane industry,XEU,2.7228133039321744e-05,PER,2012
23,IDN,Growing tobacco industry,XEU,1.5453058378445503e-05,PER,2012
24,IDN,Growing fibre crops industry,XEU,2.581733808003014e-09,PER,2012
25,IDN,Growing crops n.e.c. industry,XEU,0.00010612281266520417,PER,2012
26,IDN,Growing grapes industry,XEU,0.0,PER,2012
27,IDN,Growing fruits and nuts industry,XEU,0.0001779024116248632,PER,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1501039922020382e-05,PER,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.090253812707346e-05,PER,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,PER,2012
31,IDN,Raising of cattle industry,XEU,3.860158940206176e-05,PER,2012
32,IDN,Growing wheat industry,XAF,0.0,PER,2012
33,IDN,Growing maize industry,XAF,1.826180623737415e-05,PER,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,PER,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0005972938641710489,PER,2012
36,IDN,Growing rice industry,XAF,3.550130463101315e-08,PER,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,PER,2012
38,IDN,Growing sugar beet and cane industry,XAF,1.7845944478845786e-05,PER,2012
39,IDN,Growing tobacco industry,XAF,9.31846088288749e-06,PER,2012
40,IDN,Growing fibre crops industry,XAF,1.7395508662401953e-09,PER,2012
