,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,SYR,2012
1,IDN,Growing maize industry,XAM,8.858863553590073e-05,SYR,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,SYR,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0004783603738669502,SYR,2012
4,IDN,Growing rice industry,XAM,2.327092202925361e-08,SYR,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,SYR,2012
6,IDN,Growing sugar beet and cane industry,XAM,7.931410201015817e-05,SYR,2012
7,IDN,Growing tobacco industry,XAM,2.130387619575508e-05,SYR,2012
8,IDN,Growing fibre crops industry,XAM,1.0320616639499316e-09,SYR,2012
9,IDN,Growing crops n.e.c. industry,XAM,1.7902510738674263e-05,SYR,2012
10,IDN,Growing grapes industry,XAM,0.0,SYR,2012
11,IDN,Growing fruits and nuts industry,XAM,9.121161480075397e-05,SYR,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.6793041413246817e-06,SYR,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.796859348798711e-05,SYR,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,SYR,2012
15,IDN,Raising of cattle industry,XAM,1.3014446662381863e-05,SYR,2012
16,IDN,Growing wheat industry,XEU,0.0,SYR,2012
17,IDN,Growing maize industry,XEU,2.2391197896746427e-05,SYR,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,SYR,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00023285101757288906,SYR,2012
20,IDN,Growing rice industry,XEU,8.445610609754294e-09,SYR,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,SYR,2012
22,IDN,Growing sugar beet and cane industry,XEU,2.73399724698841e-05,SYR,2012
23,IDN,Growing tobacco industry,XEU,1.0186248697808195e-06,SYR,2012
24,IDN,Growing fibre crops industry,XEU,8.049557169398239e-10,SYR,2012
