,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,TCD,2012
1,IDN,Growing maize industry,XAM,6.0162246166685746e-06,TCD,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,TCD,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0001735619897037325,TCD,2012
4,IDN,Growing rice industry,XAM,7.471567636734831e-09,TCD,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,TCD,2012
6,IDN,Growing sugar beet and cane industry,XAM,4.412448787011653e-06,TCD,2012
7,IDN,Growing tobacco industry,XAM,2.702978409681713e-06,TCD,2012
8,IDN,Growing fibre crops industry,XAM,1.5136883590274265e-10,TCD,2012
9,IDN,Growing crops n.e.c. industry,XAM,9.783417284239593e-06,TCD,2012
10,IDN,Growing grapes industry,XAM,0.0,TCD,2012
11,IDN,Growing fruits and nuts industry,XAM,1.054833949931082e-05,TCD,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.7900392052324847e-06,TCD,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.038116365478184e-06,TCD,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,TCD,2012
15,IDN,Raising of cattle industry,XAM,5.068006821530246e-06,TCD,2012
16,IDN,Growing wheat industry,XEU,0.0,TCD,2012
17,IDN,Growing maize industry,XEU,1.3370168474575321e-06,TCD,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,TCD,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,4.005079306886824e-05,TCD,2012
20,IDN,Growing rice industry,XEU,1.6269194387971367e-09,TCD,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,TCD,2012
22,IDN,Growing sugar beet and cane industry,XEU,1.2776856586417413e-06,TCD,2012
23,IDN,Growing tobacco industry,XEU,5.168802862411441e-07,TCD,2012
24,IDN,Growing fibre crops industry,XEU,3.555554373340598e-11,TCD,2012
25,IDN,Growing crops n.e.c. industry,XEU,2.286956146778501e-06,TCD,2012
26,IDN,Growing grapes industry,XEU,0.0,TCD,2012
27,IDN,Growing fruits and nuts industry,XEU,2.2676668642592166e-06,TCD,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1557151339527845e-06,TCD,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.893961970900012e-06,TCD,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,TCD,2012
31,IDN,Raising of cattle industry,XEU,1.2118717215413864e-06,TCD,2012
32,IDN,Growing wheat industry,XAF,0.0,TCD,2012
33,IDN,Growing maize industry,XAF,5.73529020760809e-06,TCD,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,TCD,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00016211344695808138,TCD,2012
36,IDN,Growing rice industry,XAF,5.908516978683048e-09,TCD,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,TCD,2012
38,IDN,Growing sugar beet and cane industry,XAF,4.609968553841002e-06,TCD,2012
39,IDN,Growing tobacco industry,XAF,1.5896314715955094e-06,TCD,2012
40,IDN,Growing fibre crops industry,XAF,1.399700956938812e-10,TCD,2012
41,IDN,Growing crops n.e.c. industry,XAF,8.398063585859302e-06,TCD,2012
42,IDN,Growing grapes industry,XAF,0.0,TCD,2012
43,IDN,Growing fruits and nuts industry,XAF,8.08308420537844e-06,TCD,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.9595765170384573e-06,TCD,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.174190996638249e-06,TCD,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,TCD,2012
47,IDN,Raising of cattle industry,XAF,5.3738336966597975e-06,TCD,2012
48,IDN,Growing wheat industry,XAS,0.0,TCD,2012
49,IDN,Growing maize industry,XAS,0.0003194319461856785,TCD,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,TCD,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.014037127226728936,TCD,2012
52,IDN,Growing rice industry,XAS,4.26508591734646e-07,TCD,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,TCD,2012
54,IDN,Growing sugar beet and cane industry,XAS,0.00023920198146409966,TCD,2012
55,IDN,Growing tobacco industry,XAS,7.865504324124587e-05,TCD,2012
56,IDN,Growing fibre crops industry,XAS,5.739860453022069e-09,TCD,2012
57,IDN,Growing crops n.e.c. industry,XAS,0.00046937032064836093,TCD,2012
58,IDN,Growing grapes industry,XAS,0.0,TCD,2012
59,IDN,Growing fruits and nuts industry,XAS,0.0006085313770782709,TCD,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.000373403755797567,TCD,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0005295864694746185,TCD,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,TCD,2012
63,IDN,Raising of cattle industry,XAS,0.0002337725168136961,TCD,2012
64,IDN,Growing wheat industry,AFG,0.0,TCD,2012
65,IDN,Growing maize industry,AFG,1.0913788827013258e-06,TCD,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,TCD,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,3.3059535120278096e-05,TCD,2012
68,IDN,Growing rice industry,AFG,1.3096062858544535e-09,TCD,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,TCD,2012
70,IDN,Growing sugar beet and cane industry,AFG,1.0442370493580234e-06,TCD,2012
71,IDN,Growing tobacco industry,AFG,4.0357611999969075e-07,TCD,2012
72,IDN,Growing fibre crops industry,AFG,2.881329916373038e-11,TCD,2012
73,IDN,Growing crops n.e.c. industry,AFG,1.9022908990839345e-06,TCD,2012
74,IDN,Growing grapes industry,AFG,0.0,TCD,2012
75,IDN,Growing fruits and nuts industry,AFG,1.7543468647215493e-06,TCD,2012
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,8.862049206074556e-07,TCD,2012
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.4151112882288053e-06,TCD,2012
78,IDN,Seeds and plant propagation industry,AFG,0.0,TCD,2012
79,IDN,Raising of cattle industry,AFG,9.995079009706589e-07,TCD,2012
80,IDN,Growing wheat industry,AGO,0.0,TCD,2012
81,IDN,Growing maize industry,AGO,7.037666746944162e-06,TCD,2012
82,IDN,Growing cereals n.e.c industry,AGO,0.0,TCD,2012
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.00021549558496169473,TCD,2012
84,IDN,Growing rice industry,AGO,8.51402941713799e-09,TCD,2012
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,TCD,2012
86,IDN,Growing sugar beet and cane industry,AGO,6.101908341677118e-06,TCD,2012
87,IDN,Growing tobacco industry,AGO,2.5013354614691515e-06,TCD,2012
88,IDN,Growing fibre crops industry,AGO,1.6912789446269188e-10,TCD,2012
89,IDN,Growing crops n.e.c. industry,AGO,1.0960643174396427e-05,TCD,2012
90,IDN,Growing grapes industry,AGO,0.0,TCD,2012
91,IDN,Growing fruits and nuts industry,AGO,1.1572496934903534e-05,TCD,2012
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,6.30024613471738e-06,TCD,2012
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,9.628917701677831e-06,TCD,2012
94,IDN,Seeds and plant propagation industry,AGO,0.0,TCD,2012
