,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,UZB,2012
1,IDN,Growing maize industry,XAM,0.0004291161578377886,UZB,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,UZB,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007049952701323489,UZB,2012
4,IDN,Growing rice industry,XAM,7.642406035074679e-08,UZB,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,UZB,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.0003267760424252493,UZB,2012
7,IDN,Growing tobacco industry,XAM,4.390428735321622e-06,UZB,2012
8,IDN,Growing fibre crops industry,XAM,4.110275920621242e-10,UZB,2012
9,IDN,Growing crops n.e.c. industry,XAM,1.8016499307650786e-05,UZB,2012
10,IDN,Growing grapes industry,XAM,0.0,UZB,2012
11,IDN,Growing fruits and nuts industry,XAM,0.00018273259712965663,UZB,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.452843923629261e-06,UZB,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.90386268161224e-05,UZB,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,UZB,2012
15,IDN,Raising of cattle industry,XAM,1.2384455275185224e-05,UZB,2012
16,IDN,Growing wheat industry,XEU,0.0,UZB,2012
17,IDN,Growing maize industry,XEU,1.9823530931737085e-05,UZB,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,UZB,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,8.07292512880658e-05,UZB,2012
20,IDN,Growing rice industry,XEU,6.851738440108037e-09,UZB,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,UZB,2012
22,IDN,Growing sugar beet and cane industry,XEU,1.5540746791793573e-05,UZB,2012
23,IDN,Growing tobacco industry,XEU,8.807777846356363e-07,UZB,2012
24,IDN,Growing fibre crops industry,XEU,9.511186266606427e-11,UZB,2012
25,IDN,Growing crops n.e.c. industry,XEU,3.1658828397570236e-06,UZB,2012
26,IDN,Growing grapes industry,XEU,0.0,UZB,2012
27,IDN,Growing fruits and nuts industry,XEU,1.1263308813760329e-05,UZB,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.363398130045885e-07,UZB,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.399837838933419e-06,UZB,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,UZB,2012
31,IDN,Raising of cattle industry,XEU,1.8392505313547983e-06,UZB,2012
32,IDN,Growing wheat industry,XAF,0.0,UZB,2012
33,IDN,Growing maize industry,XAF,7.94214862841575e-05,UZB,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,UZB,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00021734457747598176,UZB,2012
36,IDN,Growing rice industry,XAF,1.935459966910095e-08,UZB,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,UZB,2012
38,IDN,Growing sugar beet and cane industry,XAF,6.274484914648163e-05,UZB,2012
39,IDN,Growing tobacco industry,XAF,1.5563562058493764e-06,UZB,2012
40,IDN,Growing fibre crops industry,XAF,3.437902132418766e-10,UZB,2012
41,IDN,Growing crops n.e.c. industry,XAF,6.718643950350271e-06,UZB,2012
42,IDN,Growing grapes industry,XAF,0.0,UZB,2012
43,IDN,Growing fruits and nuts industry,XAF,3.809898884825971e-05,UZB,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.678023511881623e-06,UZB,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.042405406330888e-05,UZB,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,UZB,2012
47,IDN,Raising of cattle industry,XAF,4.957979942723399e-06,UZB,2012
48,IDN,Growing wheat industry,XAS,0.0,UZB,2012
49,IDN,Growing maize industry,XAS,1.595736301736729e-05,UZB,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,UZB,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00021287084405572073,UZB,2012
52,IDN,Growing rice industry,XAS,1.4878711683652067e-08,UZB,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,UZB,2012
54,IDN,Growing sugar beet and cane industry,XAS,1.319858930485998e-05,UZB,2012
55,IDN,Growing tobacco industry,XAS,2.4875230368365865e-06,UZB,2012
56,IDN,Growing fibre crops industry,XAS,2.5389845559718213e-10,UZB,2012
57,IDN,Growing crops n.e.c. industry,XAS,9.221562587293636e-06,UZB,2012
58,IDN,Growing grapes industry,XAS,0.0,UZB,2012
59,IDN,Growing fruits and nuts industry,XAS,1.7487255879404803e-05,UZB,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.503412368131624e-06,UZB,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.688647429160866e-05,UZB,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,UZB,2012
63,IDN,Raising of cattle industry,XAS,4.611274614806241e-06,UZB,2012
64,IDN,Growing wheat industry,AFG,0.0,UZB,2012
65,IDN,Growing maize industry,AFG,0.000906891821263532,UZB,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,UZB,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.01946197934926749,UZB,2012
68,IDN,Growing rice industry,AFG,1.423536629796044e-06,UZB,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,UZB,2012
70,IDN,Growing sugar beet and cane industry,AFG,0.0007204974493154308,UZB,2012
71,IDN,Growing tobacco industry,AFG,0.00035034653736786556,UZB,2012
72,IDN,Growing fibre crops industry,AFG,1.9071255769779146e-08,UZB,2012
73,IDN,Growing crops n.e.c. industry,AFG,0.0009876447126815468,UZB,2012
74,IDN,Growing grapes industry,AFG,0.0,UZB,2012
