,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ZAF,2013
1,IDN,Growing maize industry,XAM,0.00052419146028465,ZAF,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ZAF,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.01364760531175617,ZAF,2013
4,IDN,Growing rice industry,XAM,7.552093976175649e-07,ZAF,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ZAF,2013
6,IDN,Growing sugar beet and cane industry,XAM,0.0003409339926902426,ZAF,2013
7,IDN,Growing tobacco industry,XAM,0.00037237438389083033,ZAF,2013
8,IDN,Growing fibre crops industry,XAM,0.0,ZAF,2013
9,IDN,Growing crops n.e.c. industry,XAM,0.0024745683392224586,ZAF,2013
10,IDN,Growing grapes industry,XAM,0.0,ZAF,2013
11,IDN,Growing fruits and nuts industry,XAM,0.00012790351286298826,ZAF,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.438532476299651e-05,ZAF,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.001565286598699193,ZAF,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,ZAF,2013
15,IDN,Raising of cattle industry,XAM,0.0009241285917001025,ZAF,2013
16,IDN,Growing wheat industry,XEU,0.0,ZAF,2013
17,IDN,Growing maize industry,XEU,0.00022443782559735602,ZAF,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ZAF,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0062677755294233955,ZAF,2013
20,IDN,Growing rice industry,XEU,3.4401562753007147e-07,ZAF,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ZAF,2013
22,IDN,Growing sugar beet and cane industry,XEU,0.00022499133591080065,ZAF,2013
23,IDN,Growing tobacco industry,XEU,4.368576538707313e-05,ZAF,2013
24,IDN,Growing fibre crops industry,XEU,0.0,ZAF,2013
25,IDN,Growing crops n.e.c. industry,XEU,0.00043494286208378306,ZAF,2013
26,IDN,Growing grapes industry,XEU,0.0,ZAF,2013
27,IDN,Growing fruits and nuts industry,XEU,3.41195987969495e-05,ZAF,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.439729799827616e-05,ZAF,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0003548058295363591,ZAF,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,ZAF,2013
31,IDN,Raising of cattle industry,XEU,0.0003109521792425881,ZAF,2013
32,IDN,Growing wheat industry,XAF,0.0,ZAF,2013
33,IDN,Growing maize industry,XAF,0.03051629448040412,ZAF,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ZAF,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.9383060782971904,ZAF,2013
36,IDN,Growing rice industry,XAF,5.7323225814094664e-05,ZAF,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ZAF,2013
38,IDN,Growing sugar beet and cane industry,XAF,0.022516679992948197,ZAF,2013
39,IDN,Growing tobacco industry,XAF,0.388342404899425,ZAF,2013
40,IDN,Growing fibre crops industry,XAF,0.0,ZAF,2013
41,IDN,Growing crops n.e.c. industry,XAF,0.043300323631180346,ZAF,2013
42,IDN,Growing grapes industry,XAF,0.0,ZAF,2013
43,IDN,Growing fruits and nuts industry,XAF,0.007443818598895784,ZAF,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.002034369379782857,ZAF,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.08576767342337885,ZAF,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,ZAF,2013
47,IDN,Raising of cattle industry,XAF,0.026510129090126573,ZAF,2013
48,IDN,Growing wheat industry,XAS,0.0,ZAF,2013
49,IDN,Growing maize industry,XAS,0.0005199400515232038,ZAF,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ZAF,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.01478084492837734,ZAF,2013
52,IDN,Growing rice industry,XAS,9.135847369996205e-07,ZAF,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ZAF,2013
54,IDN,Growing sugar beet and cane industry,XAS,0.0003210726150079481,ZAF,2013
55,IDN,Growing tobacco industry,XAS,0.00023071786657054305,ZAF,2013
56,IDN,Growing fibre crops industry,XAS,0.0,ZAF,2013
57,IDN,Growing crops n.e.c. industry,XAS,0.0009103115408099265,ZAF,2013
58,IDN,Growing grapes industry,XAS,0.0,ZAF,2013
59,IDN,Growing fruits and nuts industry,XAS,9.68760939075263e-05,ZAF,2013
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.231849461179831e-05,ZAF,2013
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.001021494857107365,ZAF,2013
62,IDN,Seeds and plant propagation industry,XAS,0.0,ZAF,2013
63,IDN,Raising of cattle industry,XAS,0.0004611433024773734,ZAF,2013
64,IDN,Growing wheat industry,AFG,0.0,ZAF,2013
65,IDN,Growing maize industry,AFG,0.00015514646005479566,ZAF,2013
66,IDN,Growing cereals n.e.c industry,AFG,0.0,ZAF,2013
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0038650644389812963,ZAF,2013
68,IDN,Growing rice industry,AFG,1.9866822496611957e-07,ZAF,2013
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,ZAF,2013
70,IDN,Growing sugar beet and cane industry,AFG,0.00011245082917770245,ZAF,2013
71,IDN,Growing tobacco industry,AFG,4.6679321927444505e-05,ZAF,2013
72,IDN,Growing fibre crops industry,AFG,0.0,ZAF,2013
73,IDN,Growing crops n.e.c. industry,AFG,0.001143159953681213,ZAF,2013
74,IDN,Growing grapes industry,AFG,0.0,ZAF,2013
75,IDN,Growing fruits and nuts industry,AFG,1.967873451690423e-05,ZAF,2013
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.0369977794269792e-05,ZAF,2013
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.00023900808553470722,ZAF,2013
78,IDN,Seeds and plant propagation industry,AFG,0.0,ZAF,2013
79,IDN,Raising of cattle industry,AFG,0.0003941532041357428,ZAF,2013
80,IDN,Growing wheat industry,AGO,0.0,ZAF,2013
81,IDN,Growing maize industry,AGO,0.0167287501724561,ZAF,2013
82,IDN,Growing cereals n.e.c industry,AGO,0.0,ZAF,2013
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.41020599784536554,ZAF,2013
84,IDN,Growing rice industry,AGO,2.4303806107955907e-05,ZAF,2013
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,ZAF,2013
86,IDN,Growing sugar beet and cane industry,AGO,0.010588273218053293,ZAF,2013
87,IDN,Growing tobacco industry,AGO,0.29708769765407406,ZAF,2013
88,IDN,Growing fibre crops industry,AGO,0.0,ZAF,2013
89,IDN,Growing crops n.e.c. industry,AGO,0.03213431238859288,ZAF,2013
90,IDN,Growing grapes industry,AGO,0.0,ZAF,2013
91,IDN,Growing fruits and nuts industry,AGO,0.004308284389286438,ZAF,2013
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0015249036272431903,ZAF,2013
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.06861620336849031,ZAF,2013
