,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,AFG,2015
1,IDN,Growing maize industry,XAM,2.6041725805080774e-05,AFG,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,AFG,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,2.490850212179387e-05,AFG,2015
4,IDN,Growing rice industry,XAM,0.0,AFG,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,AFG,2015
6,IDN,Growing sugar beet and cane industry,XAM,9.911119361743023e-09,AFG,2015
7,IDN,Growing tobacco industry,XAM,0.0,AFG,2015
8,IDN,Growing fibre crops industry,XAM,5.052490004292845e-08,AFG,2015
9,IDN,Growing crops n.e.c. industry,XAM,1.0080795003265334e-06,AFG,2015
10,IDN,Growing grapes industry,XAM,0.0,AFG,2015
11,IDN,Growing fruits and nuts industry,XAM,1.0535777280582429e-06,AFG,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.756781556346158e-08,AFG,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.49576722244045e-05,AFG,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,AFG,2015
15,IDN,Raising of cattle industry,XAM,5.633694680468714e-07,AFG,2015
16,IDN,Growing wheat industry,XEU,0.0,AFG,2015
17,IDN,Growing maize industry,XEU,8.904726075036664e-06,AFG,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,AFG,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,1.1617961135768834e-05,AFG,2015
20,IDN,Growing rice industry,XEU,0.0,AFG,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,AFG,2015
22,IDN,Growing sugar beet and cane industry,XEU,4.195409936658273e-09,AFG,2015
23,IDN,Growing tobacco industry,XEU,0.0,AFG,2015
24,IDN,Growing fibre crops industry,XEU,2.8741452499719168e-08,AFG,2015
25,IDN,Growing crops n.e.c. industry,XEU,3.2730940063379434e-07,AFG,2015
26,IDN,Growing grapes industry,XEU,0.0,AFG,2015
27,IDN,Growing fruits and nuts industry,XEU,7.542281597417201e-08,AFG,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.6221713064877545e-08,AFG,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.645224483831256e-07,AFG,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,AFG,2015
31,IDN,Raising of cattle industry,XEU,2.2453698860596306e-07,AFG,2015
32,IDN,Growing wheat industry,XAF,0.0,AFG,2015
33,IDN,Growing maize industry,XAF,2.0272084207235824e-05,AFG,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,AFG,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,1.9439249164128242e-05,AFG,2015
36,IDN,Growing rice industry,XAF,0.0,AFG,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,AFG,2015
38,IDN,Growing sugar beet and cane industry,XAF,7.555582431993448e-09,AFG,2015
39,IDN,Growing tobacco industry,XAF,0.0,AFG,2015
40,IDN,Growing fibre crops industry,XAF,3.2121708991919343e-08,AFG,2015
41,IDN,Growing crops n.e.c. industry,XAF,5.714729229188593e-07,AFG,2015
42,IDN,Growing grapes industry,XAF,0.0,AFG,2015
43,IDN,Growing fruits and nuts industry,XAF,1.2476797921090058e-06,AFG,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.729233027212726e-08,AFG,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.903579521046236e-05,AFG,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,AFG,2015
47,IDN,Raising of cattle industry,XAF,4.1604801787944485e-07,AFG,2015
48,IDN,Growing wheat industry,XAS,0.0,AFG,2015
49,IDN,Growing maize industry,XAS,2.017801401951602e-05,AFG,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,AFG,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,1.7351973768631553e-05,AFG,2015
52,IDN,Growing rice industry,XAS,0.0,AFG,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,AFG,2015
54,IDN,Growing sugar beet and cane industry,XAS,1.0905688414639907e-08,AFG,2015
55,IDN,Growing tobacco industry,XAS,0.0,AFG,2015
56,IDN,Growing fibre crops industry,XAS,6.407540461209743e-08,AFG,2015
57,IDN,Growing crops n.e.c. industry,XAS,5.093239530705846e-07,AFG,2015
58,IDN,Growing grapes industry,XAS,0.0,AFG,2015
59,IDN,Growing fruits and nuts industry,XAS,2.5409401729958113e-07,AFG,2015
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.81830676305858e-08,AFG,2015
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.1218908450524022e-06,AFG,2015
62,IDN,Seeds and plant propagation industry,XAS,0.0,AFG,2015
63,IDN,Raising of cattle industry,XAS,4.407014402309353e-07,AFG,2015
64,IDN,Growing wheat industry,AFG,0.0,AFG,2015
65,IDN,Growing maize industry,AFG,0.0,AFG,2015
66,IDN,Growing cereals n.e.c industry,AFG,0.0,AFG,2015
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0,AFG,2015
68,IDN,Growing rice industry,AFG,0.0,AFG,2015
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,AFG,2015
70,IDN,Growing sugar beet and cane industry,AFG,0.0,AFG,2015
71,IDN,Growing tobacco industry,AFG,0.0,AFG,2015
72,IDN,Growing fibre crops industry,AFG,0.0,AFG,2015
73,IDN,Growing crops n.e.c. industry,AFG,0.0,AFG,2015
74,IDN,Growing grapes industry,AFG,0.0,AFG,2015
75,IDN,Growing fruits and nuts industry,AFG,0.0,AFG,2015
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,AFG,2015
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,AFG,2015
78,IDN,Seeds and plant propagation industry,AFG,0.0,AFG,2015
79,IDN,Raising of cattle industry,AFG,0.0,AFG,2015
80,IDN,Growing wheat industry,AGO,0.0,AFG,2015
81,IDN,Growing maize industry,AGO,7.089899462137349e-05,AFG,2015
82,IDN,Growing cereals n.e.c industry,AGO,0.0,AFG,2015
83,IDN,Growing leguminous crops and oil seeds industry,AGO,7.038961229813756e-05,AFG,2015
84,IDN,Growing rice industry,AGO,0.0,AFG,2015
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,AFG,2015
86,IDN,Growing sugar beet and cane industry,AGO,2.664913360764745e-08,AFG,2015
87,IDN,Growing tobacco industry,AGO,0.0,AFG,2015
88,IDN,Growing fibre crops industry,AGO,1.088807789057152e-07,AFG,2015
89,IDN,Growing crops n.e.c. industry,AGO,2.1476136364096233e-06,AFG,2015
90,IDN,Growing grapes industry,AGO,0.0,AFG,2015
91,IDN,Growing fruits and nuts industry,AGO,1.8812753376715028e-06,AFG,2015
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,1.3527732297696235e-07,AFG,2015
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.685110795175499e-05,AFG,2015
94,IDN,Seeds and plant propagation industry,AGO,0.0,AFG,2015
95,IDN,Raising of cattle industry,AGO,1.3751063159725898e-06,AFG,2015
96,IDN,Growing wheat industry,ALB,0.0,AFG,2015
97,IDN,Growing maize industry,ALB,2.745349268737878e-06,AFG,2015
98,IDN,Growing cereals n.e.c industry,ALB,0.0,AFG,2015
99,IDN,Growing leguminous crops and oil seeds industry,ALB,2.507982407317241e-06,AFG,2015
100,IDN,Growing rice industry,ALB,0.0,AFG,2015
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,AFG,2015
102,IDN,Growing sugar beet and cane industry,ALB,1.1502849616161497e-09,AFG,2015
103,IDN,Growing tobacco industry,ALB,0.0,AFG,2015
104,IDN,Growing fibre crops industry,ALB,5.515503549048756e-09,AFG,2015
105,IDN,Growing crops n.e.c. industry,ALB,8.257450562633981e-08,AFG,2015
106,IDN,Growing grapes industry,ALB,0.0,AFG,2015
107,IDN,Growing fruits and nuts industry,ALB,1.311890860668085e-07,AFG,2015
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,4.474711147333082e-09,AFG,2015
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.5733888513340202e-06,AFG,2015
110,IDN,Seeds and plant propagation industry,ALB,0.0,AFG,2015
