,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ARM,2015
1,IDN,Growing maize industry,XAM,3.206736370619206e-05,ARM,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ARM,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,4.3081795714082166e-05,ARM,2015
4,IDN,Growing rice industry,XAM,0.0,ARM,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ARM,2015
6,IDN,Growing sugar beet and cane industry,XAM,1.3606790451593584e-08,ARM,2015
7,IDN,Growing tobacco industry,XAM,0.0,ARM,2015
8,IDN,Growing fibre crops industry,XAM,1.3234918434332243e-07,ARM,2015
9,IDN,Growing crops n.e.c. industry,XAM,2.722388817705691e-06,ARM,2015
10,IDN,Growing grapes industry,XAM,0.0,ARM,2015
11,IDN,Growing fruits and nuts industry,XAM,1.5790884708174407e-07,ARM,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.4141963529192118e-06,ARM,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.32941080397001e-05,ARM,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,ARM,2015
15,IDN,Raising of cattle industry,XAM,1.321668000929275e-06,ARM,2015
16,IDN,Growing wheat industry,XEU,0.0,ARM,2015
17,IDN,Growing maize industry,XEU,5.091265982092612e-06,ARM,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ARM,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,6.934108274889072e-06,ARM,2015
20,IDN,Growing rice industry,XEU,0.0,ARM,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ARM,2015
22,IDN,Growing sugar beet and cane industry,XEU,2.441695750034047e-09,ARM,2015
23,IDN,Growing tobacco industry,XEU,0.0,ARM,2015
24,IDN,Growing fibre crops industry,XEU,2.4767251677095602e-08,ARM,2015
25,IDN,Growing crops n.e.c. industry,XEU,4.0839521628831756e-07,ARM,2015
26,IDN,Growing grapes industry,XEU,0.0,ARM,2015
27,IDN,Growing fruits and nuts industry,XEU,2.5007121367108125e-08,ARM,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.4899236257706373e-07,ARM,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.4870546286580614e-06,ARM,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,ARM,2015
31,IDN,Raising of cattle industry,XEU,2.087320194862249e-07,ARM,2015
32,IDN,Growing wheat industry,XAF,0.0,ARM,2015
33,IDN,Growing maize industry,XAF,1.672952196047851e-05,ARM,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ARM,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,2.3045824136322165e-05,ARM,2015
36,IDN,Growing rice industry,XAF,0.0,ARM,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ARM,2015
38,IDN,Growing sugar beet and cane industry,XAF,6.652119708493527e-09,ARM,2015
