,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,EU27,2015
1,IDN,Growing maize industry,XAM,0.8179241167019461,EU27,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,EU27,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.9718324315485833,EU27,2015
4,IDN,Growing rice industry,XAM,0.0,EU27,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,EU27,2015
6,IDN,Growing sugar beet and cane industry,XAM,0.00029724905334780716,EU27,2015
7,IDN,Growing tobacco industry,XAM,0.0,EU27,2015
8,IDN,Growing fibre crops industry,XAM,0.0025568667228877814,EU27,2015
9,IDN,Growing crops n.e.c. industry,XAM,0.02449350273436034,EU27,2015
10,IDN,Growing grapes industry,XAM,0.0,EU27,2015
11,IDN,Growing fruits and nuts industry,XAM,0.003312803022838033,EU27,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.006766445341839068,EU27,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.4047656378911987,EU27,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,EU27,2015
15,IDN,Raising of cattle industry,XAM,0.016757960869798583,EU27,2015
16,IDN,Growing wheat industry,XEU,0.0,EU27,2015
17,IDN,Growing maize industry,XEU,0.27115105647121795,EU27,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,EU27,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.524770852276058,EU27,2015
20,IDN,Growing rice industry,XEU,0.0,EU27,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,EU27,2015
22,IDN,Growing sugar beet and cane industry,XEU,0.00010209753901021004,EU27,2015
23,IDN,Growing tobacco industry,XEU,0.0,EU27,2015
24,IDN,Growing fibre crops industry,XEU,0.0036016939813697285,EU27,2015
25,IDN,Growing crops n.e.c. industry,XEU,0.012924008273460512,EU27,2015
26,IDN,Growing grapes industry,XEU,0.0,EU27,2015
27,IDN,Growing fruits and nuts industry,XEU,0.0009966329691435535,EU27,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0009016848338865821,EU27,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.03345492647481469,EU27,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,EU27,2015
31,IDN,Raising of cattle industry,XEU,0.02210548177541511,EU27,2015
32,IDN,Growing wheat industry,XAF,0.0,EU27,2015
33,IDN,Growing maize industry,XAF,0.3241397860295122,EU27,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,EU27,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.43681937069959265,EU27,2015
36,IDN,Growing rice industry,XAF,0.0,EU27,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,EU27,2015
38,IDN,Growing sugar beet and cane industry,XAF,0.0001252225045832053,EU27,2015
39,IDN,Growing tobacco industry,XAF,0.0,EU27,2015
40,IDN,Growing fibre crops industry,XAF,0.0020368736747635174,EU27,2015
41,IDN,Growing crops n.e.c. industry,XAF,0.01501828858730338,EU27,2015
42,IDN,Growing grapes industry,XAF,0.0,EU27,2015
43,IDN,Growing fruits and nuts industry,XAF,0.0008226446114543897,EU27,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0014609390337606552,EU27,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.053073439180338876,EU27,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,EU27,2015
47,IDN,Raising of cattle industry,XAF,0.014842525954490565,EU27,2015
48,IDN,Growing wheat industry,XAS,0.0,EU27,2015
49,IDN,Growing maize industry,XAS,0.2715451000372152,EU27,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,EU27,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.32219765444521103,EU27,2015
52,IDN,Growing rice industry,XAS,0.0,EU27,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,EU27,2015
54,IDN,Growing sugar beet and cane industry,XAS,0.00010388046256513974,EU27,2015
55,IDN,Growing tobacco industry,XAS,0.0,EU27,2015
56,IDN,Growing fibre crops industry,XAS,0.0018701370192703024,EU27,2015
57,IDN,Growing crops n.e.c. industry,XAS,0.009746106325791986,EU27,2015
58,IDN,Growing grapes industry,XAS,0.0,EU27,2015
59,IDN,Growing fruits and nuts industry,XAS,0.0007556453972516888,EU27,2015
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0015839923034560305,EU27,2015
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.07092608377565945,EU27,2015
62,IDN,Seeds and plant propagation industry,XAS,0.0,EU27,2015
63,IDN,Raising of cattle industry,XAS,0.008488194121299237,EU27,2015
64,IDN,Growing wheat industry,AFG,0.0,EU27,2015
65,IDN,Growing maize industry,AFG,0.04836296869222245,EU27,2015
66,IDN,Growing cereals n.e.c industry,AFG,0.0,EU27,2015
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.09113939649313436,EU27,2015
68,IDN,Growing rice industry,AFG,0.0,EU27,2015
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,EU27,2015
70,IDN,Growing sugar beet and cane industry,AFG,1.8253243227139557e-05,EU27,2015
71,IDN,Growing tobacco industry,AFG,0.0,EU27,2015
72,IDN,Growing fibre crops industry,AFG,0.0003454287603209905,EU27,2015
73,IDN,Growing crops n.e.c. industry,AFG,0.0026965818983673184,EU27,2015
74,IDN,Growing grapes industry,AFG,0.0,EU27,2015
75,IDN,Growing fruits and nuts industry,AFG,0.00018735863634457032,EU27,2015
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0004485954010993548,EU27,2015
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.017498275946221824,EU27,2015
78,IDN,Seeds and plant propagation industry,AFG,0.0,EU27,2015
79,IDN,Raising of cattle industry,AFG,0.002295343535362663,EU27,2015
80,IDN,Growing wheat industry,AGO,0.0,EU27,2015
81,IDN,Growing maize industry,AGO,1.4488559808108779,EU27,2015
82,IDN,Growing cereals n.e.c industry,AGO,0.0,EU27,2015
83,IDN,Growing leguminous crops and oil seeds industry,AGO,2.2738974140848884,EU27,2015
84,IDN,Growing rice industry,AGO,0.0,EU27,2015
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,EU27,2015
86,IDN,Growing sugar beet and cane industry,AGO,0.0005797643983641572,EU27,2015
87,IDN,Growing tobacco industry,AGO,0.0,EU27,2015
88,IDN,Growing fibre crops industry,AGO,0.006265468174313915,EU27,2015
89,IDN,Growing crops n.e.c. industry,AGO,0.0473763557605432,EU27,2015
90,IDN,Growing grapes industry,AGO,0.0,EU27,2015
91,IDN,Growing fruits and nuts industry,AGO,0.0037107056367728626,EU27,2015
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.01196094936731605,EU27,2015
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.24726118343689465,EU27,2015
