,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BWA,2016
1,IDN,Growing maize industry,XAM,0.0002174994911521188,BWA,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BWA,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0009680330352122309,BWA,2016
4,IDN,Growing rice industry,XAM,1.5762729985207328e-07,BWA,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BWA,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BWA,2016
7,IDN,Growing tobacco industry,XAM,4.029376938459679e-06,BWA,2016
8,IDN,Growing fibre crops industry,XAM,1.4893784116132756e-06,BWA,2016
9,IDN,Growing crops n.e.c. industry,XAM,6.100994212043196e-07,BWA,2016
10,IDN,Growing grapes industry,XAM,0.0,BWA,2016
11,IDN,Growing fruits and nuts industry,XAM,1.801321130928499e-06,BWA,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,6.553154855694294e-07,BWA,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.9601849598365633e-05,BWA,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,BWA,2016
15,IDN,Raising of cattle industry,XAM,2.0133263815445193e-05,BWA,2016
16,IDN,Growing wheat industry,XEU,0.0,BWA,2016
17,IDN,Growing maize industry,XEU,0.00010358348390324931,BWA,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BWA,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0004629333525976816,BWA,2016
20,IDN,Growing rice industry,XEU,7.375470529561579e-08,BWA,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BWA,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BWA,2016
23,IDN,Growing tobacco industry,XEU,1.765709487942258e-06,BWA,2016
24,IDN,Growing fibre crops industry,XEU,1.3181881438312618e-06,BWA,2016
25,IDN,Growing crops n.e.c. industry,XEU,2.584359946140211e-07,BWA,2016
26,IDN,Growing grapes industry,XEU,0.0,BWA,2016
27,IDN,Growing fruits and nuts industry,XEU,8.48034454189986e-07,BWA,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.9694320569439294e-07,BWA,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.406356966588998e-06,BWA,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,BWA,2016
31,IDN,Raising of cattle industry,XEU,8.25565980946907e-06,BWA,2016
32,IDN,Growing wheat industry,XAF,0.0,BWA,2016
33,IDN,Growing maize industry,XAF,0.001451765589595575,BWA,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BWA,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.005820617901256903,BWA,2016
36,IDN,Growing rice industry,XAF,1.1200407444206563e-06,BWA,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BWA,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,BWA,2016
39,IDN,Growing tobacco industry,XAF,1.828636818129562e-05,BWA,2016
40,IDN,Growing fibre crops industry,XAF,3.228867934281738e-05,BWA,2016
41,IDN,Growing crops n.e.c. industry,XAF,3.46021763651135e-06,BWA,2016
42,IDN,Growing grapes industry,XAF,0.0,BWA,2016
43,IDN,Growing fruits and nuts industry,XAF,1.1333988380883688e-05,BWA,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.299746668920698e-06,BWA,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0001009394659923401,BWA,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,BWA,2016
47,IDN,Raising of cattle industry,XAF,0.00010489077330088664,BWA,2016
48,IDN,Growing wheat industry,XAS,0.0,BWA,2016
49,IDN,Growing maize industry,XAS,0.0001131280810057909,BWA,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BWA,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0004930528998071293,BWA,2016
52,IDN,Growing rice industry,XAS,8.183510887845197e-08,BWA,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BWA,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,BWA,2016
55,IDN,Growing tobacco industry,XAS,1.6927972212984293e-06,BWA,2016
56,IDN,Growing fibre crops industry,XAS,8.894971672844069e-07,BWA,2016
57,IDN,Growing crops n.e.c. industry,XAS,2.7626745014418866e-07,BWA,2016
58,IDN,Growing grapes industry,XAS,0.0,BWA,2016
59,IDN,Growing fruits and nuts industry,XAS,8.97628496688509e-07,BWA,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.901106000182517e-07,BWA,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.374845815595526e-06,BWA,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,BWA,2016
63,IDN,Raising of cattle industry,XAS,9.415846822887402e-06,BWA,2016
64,IDN,Growing wheat industry,AFG,0.0,BWA,2016
65,IDN,Growing maize industry,AFG,5.6261023602784036e-05,BWA,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BWA,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0002483829135594519,BWA,2016
68,IDN,Growing rice industry,AFG,4.132680606158768e-08,BWA,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BWA,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,BWA,2016
71,IDN,Growing tobacco industry,AFG,1.1674254620929609e-06,BWA,2016
72,IDN,Growing fibre crops industry,AFG,4.1065150339785284e-07,BWA,2016
73,IDN,Growing crops n.e.c. industry,AFG,1.45544430917142e-07,BWA,2016
74,IDN,Growing grapes industry,AFG,0.0,BWA,2016
75,IDN,Growing fruits and nuts industry,AFG,4.781326004759524e-07,BWA,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.742951565162612e-07,BWA,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.727369923864264e-06,BWA,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,BWA,2016
79,IDN,Raising of cattle industry,AFG,4.780439508277168e-06,BWA,2016
80,IDN,Growing wheat industry,AGO,0.0,BWA,2016
81,IDN,Growing maize industry,AGO,0.009970142178652395,BWA,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,BWA,2016
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.04209693530348095,BWA,2016
84,IDN,Growing rice industry,AGO,7.135849528146992e-06,BWA,2016
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,BWA,2016
