,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,HTI,2016
1,IDN,Growing maize industry,XAM,9.592923173518824e-05,HTI,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,HTI,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.001671787469764084,HTI,2016
4,IDN,Growing rice industry,XAM,1.9906602326667537e-07,HTI,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,HTI,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,HTI,2016
7,IDN,Growing tobacco industry,XAM,2.101040787694486e-06,HTI,2016
8,IDN,Growing fibre crops industry,XAM,1.6298002888640538e-07,HTI,2016
9,IDN,Growing crops n.e.c. industry,XAM,2.3294434825112252e-07,HTI,2016
10,IDN,Growing grapes industry,XAM,0.0,HTI,2016
11,IDN,Growing fruits and nuts industry,XAM,2.2990373563517642e-06,HTI,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.88243229374253e-07,HTI,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.403812843944122e-05,HTI,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,HTI,2016
15,IDN,Raising of cattle industry,XAM,5.661047801933811e-06,HTI,2016
16,IDN,Growing wheat industry,XEU,0.0,HTI,2016
17,IDN,Growing maize industry,XEU,1.3132960206355412e-05,HTI,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,HTI,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0003282888782650727,HTI,2016
20,IDN,Growing rice industry,XEU,2.988773858762258e-08,HTI,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,HTI,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,HTI,2016
23,IDN,Growing tobacco industry,XEU,3.0576547880820615e-07,HTI,2016
24,IDN,Growing fibre crops industry,XEU,2.23724341197986e-08,HTI,2016
25,IDN,Growing crops n.e.c. industry,XEU,3.993854501207833e-08,HTI,2016
26,IDN,Growing grapes industry,XEU,0.0,HTI,2016
27,IDN,Growing fruits and nuts industry,XEU,3.534291533027777e-07,HTI,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.256258521570956e-08,HTI,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.32764314743116e-06,HTI,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,HTI,2016
31,IDN,Raising of cattle industry,XEU,8.949366248024526e-07,HTI,2016
32,IDN,Growing wheat industry,XAF,0.0,HTI,2016
33,IDN,Growing maize industry,XAF,7.969069691234515e-06,HTI,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,HTI,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0001963542978334308,HTI,2016
36,IDN,Growing rice industry,XAF,2.4039378980648248e-08,HTI,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,HTI,2016
