,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,KHM,2018
1,IDN,Growing maize industry,XAM,0.0004930973024228684,KHM,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,KHM,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0034478120300285454,KHM,2018
4,IDN,Growing rice industry,XAM,1.4696073398810895e-06,KHM,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,KHM,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,KHM,2018
7,IDN,Growing tobacco industry,XAM,1.6288115387103454e-05,KHM,2018
8,IDN,Growing fibre crops industry,XAM,8.434388815677361e-07,KHM,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,KHM,2018
10,IDN,Growing grapes industry,XAM,0.0,KHM,2018
11,IDN,Growing fruits and nuts industry,XAM,5.8410129984468364e-05,KHM,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.9696133240678115e-06,KHM,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2572370839334125e-05,KHM,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,KHM,2018
15,IDN,Raising of cattle industry,XAM,0.00012470316447989055,KHM,2018
16,IDN,Growing wheat industry,XEU,0.0,KHM,2018
17,IDN,Growing maize industry,XEU,0.000266191967440633,KHM,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,KHM,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.001923971609958194,KHM,2018
20,IDN,Growing rice industry,XEU,8.360110609183579e-07,KHM,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,KHM,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,KHM,2018
23,IDN,Growing tobacco industry,XEU,9.619673942104857e-06,KHM,2018
24,IDN,Growing fibre crops industry,XEU,9.771536443142678e-07,KHM,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,KHM,2018
26,IDN,Growing grapes industry,XEU,0.0,KHM,2018
27,IDN,Growing fruits and nuts industry,XEU,3.1106986453786125e-05,KHM,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.0420809775599496e-06,KHM,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0323894280608527e-05,KHM,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,KHM,2018
31,IDN,Raising of cattle industry,XEU,8.686864743208658e-05,KHM,2018
32,IDN,Growing wheat industry,XAF,0.0,KHM,2018
33,IDN,Growing maize industry,XAF,0.0007572187259407924,KHM,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,KHM,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.005444885282956585,KHM,2018
36,IDN,Growing rice industry,XAF,2.5896618620437496e-06,KHM,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,KHM,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,KHM,2018
39,IDN,Growing tobacco industry,XAF,3.512798971682503e-05,KHM,2018
40,IDN,Growing fibre crops industry,XAF,3.826258358780529e-06,KHM,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,KHM,2018
42,IDN,Growing grapes industry,XAF,0.0,KHM,2018
43,IDN,Growing fruits and nuts industry,XAF,9.594113669181808e-05,KHM,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,7.544639799206464e-06,KHM,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.5141848262890323e-05,KHM,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,KHM,2018
47,IDN,Raising of cattle industry,XAF,0.0002813118748563358,KHM,2018
48,IDN,Growing wheat industry,XAS,0.0,KHM,2018
49,IDN,Growing maize industry,XAS,0.0007320001099320373,KHM,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,KHM,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0050106789853356535,KHM,2018
52,IDN,Growing rice industry,XAS,2.5075684529389155e-06,KHM,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,KHM,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,KHM,2018
55,IDN,Growing tobacco industry,XAS,2.9882915155597207e-05,KHM,2018
56,IDN,Growing fibre crops industry,XAS,3.2788788762499485e-06,KHM,2018
57,IDN,Growing crops n.e.c. industry,XAS,0.0,KHM,2018
58,IDN,Growing grapes industry,XAS,0.0,KHM,2018
59,IDN,Growing fruits and nuts industry,XAS,8.767282401240315e-05,KHM,2018
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,6.18043706843322e-06,KHM,2018
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.566841033895136e-05,KHM,2018
62,IDN,Seeds and plant propagation industry,XAS,0.0,KHM,2018
