,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,UKR,2018
1,IDN,Growing maize industry,XAM,0.0006217465968032721,UKR,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,UKR,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.006147324346286456,UKR,2018
4,IDN,Growing rice industry,XAM,2.5968864684688396e-06,UKR,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,UKR,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,UKR,2018
7,IDN,Growing tobacco industry,XAM,5.3430517781523964e-05,UKR,2018
8,IDN,Growing fibre crops industry,XAM,7.50546542562458e-07,UKR,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,UKR,2018
10,IDN,Growing grapes industry,XAM,0.0,UKR,2018
11,IDN,Growing fruits and nuts industry,XAM,0.00011701449825899288,UKR,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,8.44329690617638e-06,UKR,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.305119410542373e-05,UKR,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,UKR,2018
15,IDN,Raising of cattle industry,XAM,0.00022854862212184928,UKR,2018
16,IDN,Growing wheat industry,XEU,0.0,UKR,2018
17,IDN,Growing maize industry,XEU,0.00021595221121207105,UKR,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,UKR,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.002659859180553776,UKR,2018
20,IDN,Growing rice industry,XEU,9.784481242555936e-07,UKR,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,UKR,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,UKR,2018
23,IDN,Growing tobacco industry,XEU,1.4680578633053737e-05,UKR,2018
24,IDN,Growing fibre crops industry,XEU,1.47121375575476e-06,UKR,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,UKR,2018
26,IDN,Growing grapes industry,XEU,0.0,UKR,2018
27,IDN,Growing fruits and nuts industry,XEU,5.1863647735858116e-05,UKR,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.4119137610364288e-06,UKR,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.9421775418798543e-05,UKR,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,UKR,2018
31,IDN,Raising of cattle industry,XEU,0.00014082172737826562,UKR,2018
32,IDN,Growing wheat industry,XAF,0.0,UKR,2018
33,IDN,Growing maize industry,XAF,0.0003494283907635251,UKR,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,UKR,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.004737912421112941,UKR,2018
36,IDN,Growing rice industry,XAF,1.733351124993652e-06,UKR,2018
