,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,SRB,2019
1,IDN,Growing maize industry,XAM,0.0006667916275643348,SRB,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,SRB,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.004128604238448905,SRB,2019
4,IDN,Growing rice industry,XAM,4.291579608503159e-06,SRB,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,SRB,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,SRB,2019
7,IDN,Growing tobacco industry,XAM,7.229427780824566e-05,SRB,2019
8,IDN,Growing fibre crops industry,XAM,1.1780290576026515e-06,SRB,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,SRB,2019
10,IDN,Growing grapes industry,XAM,0.0,SRB,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0003649708761033416,SRB,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.433949765308915e-05,SRB,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.119023117541705e-05,SRB,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,SRB,2019
15,IDN,Raising of cattle industry,XAM,0.00017656560247736485,SRB,2019
16,IDN,Growing wheat industry,XEU,0.0,SRB,2019
17,IDN,Growing maize industry,XEU,0.0001868734963942168,SRB,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,SRB,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0007930537882217424,SRB,2019
20,IDN,Growing rice industry,XEU,1.0134718708295925e-06,SRB,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,SRB,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,SRB,2019
23,IDN,Growing tobacco industry,XEU,2.112396734643866e-05,SRB,2019
24,IDN,Growing fibre crops industry,XEU,4.412111355004984e-07,SRB,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,SRB,2019
26,IDN,Growing grapes industry,XEU,0.0,SRB,2019
27,IDN,Growing fruits and nuts industry,XEU,0.00012461156291687257,SRB,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.871070311638974e-06,SRB,2019
