,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,XAM,2019
1,IDN,Growing maize industry,XAM,0.0,XAM,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,XAM,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0,XAM,2019
4,IDN,Growing rice industry,XAM,0.0,XAM,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,XAM,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,XAM,2019
7,IDN,Growing tobacco industry,XAM,0.0,XAM,2019
8,IDN,Growing fibre crops industry,XAM,0.0,XAM,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,XAM,2019
10,IDN,Growing grapes industry,XAM,0.0,XAM,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0,XAM,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,XAM,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,XAM,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,XAM,2019
15,IDN,Raising of cattle industry,XAM,0.0,XAM,2019
16,IDN,Growing wheat industry,XEU,0.0,XAM,2019
17,IDN,Growing maize industry,XEU,0.004172735481765526,XAM,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,XAM,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.02415952632878202,XAM,2019
20,IDN,Growing rice industry,XEU,6.0880595000596224e-05,XAM,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,XAM,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,XAM,2019
23,IDN,Growing tobacco industry,XEU,0.0007798577369217681,XAM,2019
24,IDN,Growing fibre crops industry,XEU,0.00024062907428069216,XAM,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,XAM,2019
26,IDN,Growing grapes industry,XEU,0.0,XAM,2019
27,IDN,Growing fruits and nuts industry,XEU,0.0038218440688591615,XAM,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00042913443312649546,XAM,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0009893141510437743,XAM,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,XAM,2019
31,IDN,Raising of cattle industry,XEU,0.005233450273162837,XAM,2019
32,IDN,Growing wheat industry,XAF,0.0,XAM,2019
33,IDN,Growing maize industry,XAF,3.2903439017130144e-05,XAM,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,XAM,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00015507343044219535,XAM,2019
36,IDN,Growing rice industry,XAF,3.4763274671711234e-07,XAM,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,XAM,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,XAM,2019
39,IDN,Growing tobacco industry,XAF,8.236929017625587e-06,XAM,2019
40,IDN,Growing fibre crops industry,XAF,3.129810993500944e-07,XAM,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,XAM,2019
42,IDN,Growing grapes industry,XAF,0.0,XAM,2019
43,IDN,Growing fruits and nuts industry,XAF,3.871129839680646e-05,XAM,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.237365658050516e-06,XAM,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.27327843945914e-06,XAM,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,XAM,2019
47,IDN,Raising of cattle industry,XAF,2.6599104187376578e-05,XAM,2019
48,IDN,Growing wheat industry,XAS,0.0,XAM,2019
49,IDN,Growing maize industry,XAS,8.690432590578446e-05,XAM,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,XAM,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0004497906385251266,XAM,2019
52,IDN,Growing rice industry,XAS,1.106485438178571e-06,XAM,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,XAM,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,XAM,2019
