,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.17477169043589794,EU27,2019
1,BRA,Growing maize industry,XAM,3.124876602558387,EU27,2019
2,BRA,Growing cereals n.e.c industry,XAM,0.25017318496501373,EU27,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,3.441052273172625,EU27,2019
4,BRA,Growing rice industry,XAM,0.0,EU27,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,EU27,2019
6,BRA,Growing sugar beet and cane industry,XAM,0.05147341253396797,EU27,2019
7,BRA,Growing tobacco industry,XAM,0.004136522947681143,EU27,2019
8,BRA,Growing fibre crops industry,XAM,0.2083647031023434,EU27,2019
9,BRA,Growing crops n.e.c. industry,XAM,0.005011709859478474,EU27,2019
10,BRA,Growing grapes industry,XAM,1.4734081167659243e-05,EU27,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,EU27,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.2096331809620075,EU27,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00025171112700319973,EU27,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,EU27,2019
15,BRA,Raising of cattle industry,XAM,0.06818414417447548,EU27,2019
16,BRA,Growing wheat industry,XEU,0.07792876060925859,EU27,2019
17,BRA,Growing maize industry,XEU,0.8421750701602504,EU27,2019
18,BRA,Growing cereals n.e.c industry,XEU,0.026873666332686,EU27,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.7979045547889697,EU27,2019
20,BRA,Growing rice industry,XEU,0.0,EU27,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,EU27,2019
22,BRA,Growing sugar beet and cane industry,XEU,0.008770438367569832,EU27,2019
23,BRA,Growing tobacco industry,XEU,0.0016880118552499593,EU27,2019
24,BRA,Growing fibre crops industry,XEU,0.06005129344997353,EU27,2019
25,BRA,Growing crops n.e.c. industry,XEU,0.001133015582956876,EU27,2019
26,BRA,Growing grapes industry,XEU,1.412103484135228e-05,EU27,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,EU27,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.012692152104716645,EU27,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.192692797356716e-05,EU27,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,EU27,2019
31,BRA,Raising of cattle industry,XEU,0.01416679112675605,EU27,2019
32,BRA,Growing wheat industry,XAF,0.11504894769053334,EU27,2019
33,BRA,Growing maize industry,XAF,1.711615640203094,EU27,2019
34,BRA,Growing cereals n.e.c industry,XAF,0.024447354915695264,EU27,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,2.0602573884493487,EU27,2019
36,BRA,Growing rice industry,XAF,0.0,EU27,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,EU27,2019
38,BRA,Growing sugar beet and cane industry,XAF,0.006878852423376112,EU27,2019
39,BRA,Growing tobacco industry,XAF,0.004825717929540626,EU27,2019
40,BRA,Growing fibre crops industry,XAF,0.3787790620623194,EU27,2019
41,BRA,Growing crops n.e.c. industry,XAF,0.0010996214901400324,EU27,2019
42,BRA,Growing grapes industry,XAF,1.0005566965709739e-05,EU27,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,EU27,2019
