,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.001991209380647277,ARG,2012
1,BRA,Growing maize industry,XAM,0.011445748243024726,ARG,2012
2,BRA,Growing cereals n.e.c industry,XAM,0.0018423689880864725,ARG,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.02053188453317361,ARG,2012
4,BRA,Growing rice industry,XAM,9.589812891355082e-07,ARG,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,3.769802819747136e-05,ARG,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.009360899223893044,ARG,2012
7,BRA,Growing tobacco industry,XAM,1.2587343613974886e-05,ARG,2012
8,BRA,Growing fibre crops industry,XAM,0.006675222400768882,ARG,2012
9,BRA,Growing crops n.e.c. industry,XAM,0.00044487034404505437,ARG,2012
10,BRA,Growing grapes industry,XAM,3.881394599110657e-08,ARG,2012
11,BRA,Growing fruits and nuts industry,XAM,2.8492522863687477e-05,ARG,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,ARG,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,ARG,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,ARG,2012
15,BRA,Raising of cattle industry,XAM,0.01719755106558543,ARG,2012
16,BRA,Growing wheat industry,XEU,0.00021637019443188811,ARG,2012
17,BRA,Growing maize industry,XEU,0.000842382930212106,ARG,2012
18,BRA,Growing cereals n.e.c industry,XEU,0.00019225994869263358,ARG,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0023276549898561412,ARG,2012
20,BRA,Growing rice industry,XEU,9.568197677646798e-08,ARG,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.5754770301520596e-06,ARG,2012
22,BRA,Growing sugar beet and cane industry,XEU,0.0009223223438903807,ARG,2012
23,BRA,Growing tobacco industry,XEU,1.8428083404140282e-06,ARG,2012
24,BRA,Growing fibre crops industry,XEU,0.0006127857597900761,ARG,2012
25,BRA,Growing crops n.e.c. industry,XEU,5.364470618533619e-05,ARG,2012
26,BRA,Growing grapes industry,XEU,2.407730755908005e-09,ARG,2012
27,BRA,Growing fruits and nuts industry,XEU,1.648796972178345e-06,ARG,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,ARG,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,ARG,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,ARG,2012
31,BRA,Raising of cattle industry,XEU,0.0011492333332094032,ARG,2012
32,BRA,Growing wheat industry,XAF,0.0003281492431111972,ARG,2012
33,BRA,Growing maize industry,XAF,0.009611137763590922,ARG,2012
34,BRA,Growing cereals n.e.c industry,XAF,0.00037959804701366193,ARG,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.003880777749524529,ARG,2012
36,BRA,Growing rice industry,XAF,1.5705327909098603e-07,ARG,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,6.717379225684456e-06,ARG,2012
38,BRA,Growing sugar beet and cane industry,XAF,0.0016513658431073833,ARG,2012
39,BRA,Growing tobacco industry,XAF,2.796766334875901e-06,ARG,2012
40,BRA,Growing fibre crops industry,XAF,0.029122807425811085,ARG,2012
41,BRA,Growing crops n.e.c. industry,XAF,0.00011362910342681244,ARG,2012
42,BRA,Growing grapes industry,XAF,6.683944200730602e-09,ARG,2012
43,BRA,Growing fruits and nuts industry,XAF,4.9858868708302295e-06,ARG,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,ARG,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,ARG,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,ARG,2012
47,BRA,Raising of cattle industry,XAF,0.007225351993720117,ARG,2012
48,BRA,Growing wheat industry,XAS,0.00028158585859678855,ARG,2012
49,BRA,Growing maize industry,XAS,0.0012771101753502757,ARG,2012
50,BRA,Growing cereals n.e.c industry,XAS,0.00024726907528680044,ARG,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.002542365387697244,ARG,2012
52,BRA,Growing rice industry,XAS,1.621539305664256e-07,ARG,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,9.370946575229588e-06,ARG,2012
54,BRA,Growing sugar beet and cane industry,XAS,0.0010958040723929024,ARG,2012
55,BRA,Growing tobacco industry,XAS,1.3698332932632498e-06,ARG,2012
56,BRA,Growing fibre crops industry,XAS,0.0015565331581240307,ARG,2012
57,BRA,Growing crops n.e.c. industry,XAS,9.914449960590787e-05,ARG,2012
58,BRA,Growing grapes industry,XAS,4.4594172153653806e-09,ARG,2012
59,BRA,Growing fruits and nuts industry,XAS,4.514625058977774e-06,ARG,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,ARG,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,ARG,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,ARG,2012
63,BRA,Raising of cattle industry,XAS,0.001672836465340061,ARG,2012
64,BRA,Growing wheat industry,AFG,7.917608206039281e-05,ARG,2012
65,BRA,Growing maize industry,AFG,0.0002251221087853984,ARG,2012
66,BRA,Growing cereals n.e.c industry,AFG,5.168041023168048e-05,ARG,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0005710271818974045,ARG,2012
68,BRA,Growing rice industry,AFG,3.3705214112753246e-08,ARG,2012
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.6182020112518496e-06,ARG,2012
70,BRA,Growing sugar beet and cane industry,AFG,0.00023733688443589382,ARG,2012
71,BRA,Growing tobacco industry,AFG,1.991510692855492e-07,ARG,2012
72,BRA,Growing fibre crops industry,AFG,0.0002987500652076558,ARG,2012
73,BRA,Growing crops n.e.c. industry,AFG,1.8948059142918416e-05,ARG,2012
74,BRA,Growing grapes industry,AFG,8.06796021391911e-10,ARG,2012
75,BRA,Growing fruits and nuts industry,AFG,5.27744837691991e-07,ARG,2012
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,ARG,2012
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,ARG,2012
78,BRA,Seeds and plant propagation industry,AFG,0.0,ARG,2012
79,BRA,Raising of cattle industry,AFG,0.00034159575175402186,ARG,2012
80,BRA,Growing wheat industry,AGO,0.0021201888367260884,ARG,2012
81,BRA,Growing maize industry,AGO,0.020344483090376328,ARG,2012
82,BRA,Growing cereals n.e.c industry,AGO,0.00425546236793404,ARG,2012
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.025594009729999343,ARG,2012
84,BRA,Growing rice industry,AGO,1.5657851035993346e-06,ARG,2012
85,BRA,"Growing vegetables, roots, tubers industry",AGO,5.996094712159754e-05,ARG,2012
86,BRA,Growing sugar beet and cane industry,AGO,0.013994197679393574,ARG,2012
87,BRA,Growing tobacco industry,AGO,2.974352239210493e-05,ARG,2012
88,BRA,Growing fibre crops industry,AGO,0.009151151716481348,ARG,2012
89,BRA,Growing crops n.e.c. industry,AGO,0.0023622046313884234,ARG,2012
90,BRA,Growing grapes industry,AGO,4.339918030854083e-08,ARG,2012
91,BRA,Growing fruits and nuts industry,AGO,6.0131407885491595e-05,ARG,2012
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,ARG,2012
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0,ARG,2012
94,BRA,Seeds and plant propagation industry,AGO,0.0,ARG,2012
95,BRA,Raising of cattle industry,AGO,0.025052990800244757,ARG,2012
96,BRA,Growing wheat industry,ALB,0.0002314369398741409,ARG,2012
97,BRA,Growing maize industry,ALB,0.001653349262503948,ARG,2012
98,BRA,Growing cereals n.e.c industry,ALB,0.0002517196165716603,ARG,2012
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.002245823227533378,ARG,2012
100,BRA,Growing rice industry,ALB,1.7789132402558325e-07,ARG,2012
101,BRA,"Growing vegetables, roots, tubers industry",ALB,1.650542820722733e-05,ARG,2012
102,BRA,Growing sugar beet and cane industry,ALB,0.0010573996596519957,ARG,2012
103,BRA,Growing tobacco industry,ALB,2.4510629788609204e-07,ARG,2012
104,BRA,Growing fibre crops industry,ALB,0.0003809094278109575,ARG,2012
105,BRA,Growing crops n.e.c. industry,ALB,0.0001492115109168981,ARG,2012
106,BRA,Growing grapes industry,ALB,3.212603497877702e-09,ARG,2012
107,BRA,Growing fruits and nuts industry,ALB,3.063740397135512e-06,ARG,2012
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,ARG,2012
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.0,ARG,2012
110,BRA,Seeds and plant propagation industry,ALB,0.0,ARG,2012
111,BRA,Raising of cattle industry,ALB,0.0017555827347701183,ARG,2012
112,BRA,Growing wheat industry,ARE,0.0016107427000468567,ARG,2012
113,BRA,Growing maize industry,ARE,0.04262034683146763,ARG,2012
114,BRA,Growing cereals n.e.c industry,ARE,0.002578715313975321,ARG,2012
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.017232175512073008,ARG,2012
116,BRA,Growing rice industry,ARE,1.2964332788060838e-06,ARG,2012
117,BRA,"Growing vegetables, roots, tubers industry",ARE,7.076932068264564e-05,ARG,2012
118,BRA,Growing sugar beet and cane industry,ARE,0.00884975623730552,ARG,2012
119,BRA,Growing tobacco industry,ARE,3.03250566504669e-05,ARG,2012
120,BRA,Growing fibre crops industry,ARE,0.0075159911839932396,ARG,2012
121,BRA,Growing crops n.e.c. industry,ARE,0.0014633557912302085,ARG,2012
122,BRA,Growing grapes industry,ARE,2.634504275402873e-08,ARG,2012
123,BRA,Growing fruits and nuts industry,ARE,5.472307569781202e-05,ARG,2012
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,ARG,2012
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0,ARG,2012
126,BRA,Seeds and plant propagation industry,ARE,0.0,ARG,2012
127,BRA,Raising of cattle industry,ARE,0.019509411849335807,ARG,2012
128,BRA,Growing wheat industry,ARG,0.0,ARG,2012
129,BRA,Growing maize industry,ARG,0.0,ARG,2012
130,BRA,Growing cereals n.e.c industry,ARG,0.0,ARG,2012
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0,ARG,2012
132,BRA,Growing rice industry,ARG,0.0,ARG,2012
133,BRA,"Growing vegetables, roots, tubers industry",ARG,0.0,ARG,2012
134,BRA,Growing sugar beet and cane industry,ARG,0.0,ARG,2012
135,BRA,Growing tobacco industry,ARG,0.0,ARG,2012
136,BRA,Growing fibre crops industry,ARG,0.0,ARG,2012
137,BRA,Growing crops n.e.c. industry,ARG,0.0,ARG,2012
138,BRA,Growing grapes industry,ARG,0.0,ARG,2012
139,BRA,Growing fruits and nuts industry,ARG,0.0,ARG,2012
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0,ARG,2012
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.0,ARG,2012
142,BRA,Seeds and plant propagation industry,ARG,0.0,ARG,2012
143,BRA,Raising of cattle industry,ARG,0.0,ARG,2012
144,BRA,Growing wheat industry,ARM,0.00014971670333910857,ARG,2012
145,BRA,Growing maize industry,ARM,0.0005902949808508614,ARG,2012
146,BRA,Growing cereals n.e.c industry,ARM,0.0002518185496379431,ARG,2012
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.0015397007382566186,ARG,2012
148,BRA,Growing rice industry,ARM,7.033823935148147e-08,ARG,2012
149,BRA,"Growing vegetables, roots, tubers industry",ARM,1.9588153759352114e-06,ARG,2012
150,BRA,Growing sugar beet and cane industry,ARM,0.0008124908831535154,ARG,2012
151,BRA,Growing tobacco industry,ARM,0.00012650210513587891,ARG,2012
152,BRA,Growing fibre crops industry,ARM,0.0003314752304545572,ARG,2012
153,BRA,Growing crops n.e.c. industry,ARM,0.00016216961314008779,ARG,2012
154,BRA,Growing grapes industry,ARM,1.6620341742037578e-09,ARG,2012
155,BRA,Growing fruits and nuts industry,ARM,1.6171274187138924e-06,ARG,2012
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,0.0,ARG,2012
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.0,ARG,2012
158,BRA,Seeds and plant propagation industry,ARM,0.0,ARG,2012
159,BRA,Raising of cattle industry,ARM,0.0013589885117889025,ARG,2012
160,BRA,Growing wheat industry,AUS,0.01885530189315645,ARG,2012
161,BRA,Growing maize industry,AUS,0.079272655416022,ARG,2012
162,BRA,Growing cereals n.e.c industry,AUS,0.00941490542537889,ARG,2012
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.11899567108179532,ARG,2012
164,BRA,Growing rice industry,AUS,8.190733757272137e-06,ARG,2012
165,BRA,"Growing vegetables, roots, tubers industry",AUS,0.0014141006859232082,ARG,2012
166,BRA,Growing sugar beet and cane industry,AUS,0.045250449670510416,ARG,2012
167,BRA,Growing tobacco industry,AUS,2.960289673430353e-05,ARG,2012
168,BRA,Growing fibre crops industry,AUS,0.05268234696949469,ARG,2012
169,BRA,Growing crops n.e.c. industry,AUS,0.0022836149970386225,ARG,2012
170,BRA,Growing grapes industry,AUS,1.840363706678799e-07,ARG,2012
171,BRA,Growing fruits and nuts industry,AUS,0.0002146813086095668,ARG,2012
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0,ARG,2012
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0,ARG,2012
174,BRA,Seeds and plant propagation industry,AUS,0.0,ARG,2012
175,BRA,Raising of cattle industry,AUS,0.09721775887509765,ARG,2012
176,BRA,Growing wheat industry,AUT,0.0038348086939539606,ARG,2012
177,BRA,Growing maize industry,AUT,0.012941152258475601,ARG,2012
178,BRA,Growing cereals n.e.c industry,AUT,0.00298455000815188,ARG,2012
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.04267595453836657,ARG,2012
180,BRA,Growing rice industry,AUT,1.8942947509031095e-06,ARG,2012
181,BRA,"Growing vegetables, roots, tubers industry",AUT,0.00010392635252987856,ARG,2012
182,BRA,Growing sugar beet and cane industry,AUT,0.012935994229308018,ARG,2012
183,BRA,Growing tobacco industry,AUT,1.0115745141860675e-05,ARG,2012
184,BRA,Growing fibre crops industry,AUT,0.038849474072319784,ARG,2012
185,BRA,Growing crops n.e.c. industry,AUT,0.0011653115550101915,ARG,2012
186,BRA,Growing grapes industry,AUT,4.525343052722397e-08,ARG,2012
187,BRA,Growing fruits and nuts industry,AUT,5.3983671177517245e-05,ARG,2012
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,0.0,ARG,2012
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0,ARG,2012
190,BRA,Seeds and plant propagation industry,AUT,0.0,ARG,2012
191,BRA,Raising of cattle industry,AUT,0.020793593238492454,ARG,2012
192,BRA,Growing wheat industry,AZE,0.0002550533608565381,ARG,2012
193,BRA,Growing maize industry,AZE,0.0010367524186488313,ARG,2012
194,BRA,Growing cereals n.e.c industry,AZE,0.0004004736592772305,ARG,2012
195,BRA,Growing leguminous crops and oil seeds industry,AZE,0.003127440229709692,ARG,2012
196,BRA,Growing rice industry,AZE,1.29938967248584e-07,ARG,2012
197,BRA,"Growing vegetables, roots, tubers industry",AZE,4.255687549012602e-06,ARG,2012
