,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00015020291506748733,CRI,2012
1,BRA,Growing maize industry,XAM,0.09287659223607327,CRI,2012
2,BRA,Growing cereals n.e.c industry,XAM,0.0006325256838692964,CRI,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.01441448057961506,CRI,2012
4,BRA,Growing rice industry,XAM,3.3047254647471624e-05,CRI,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.5669954913176878e-06,CRI,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.0026894852840029897,CRI,2012
7,BRA,Growing tobacco industry,XAM,5.877619548276354e-06,CRI,2012
8,BRA,Growing fibre crops industry,XAM,0.0005032477974804477,CRI,2012
9,BRA,Growing crops n.e.c. industry,XAM,0.0003447602469219757,CRI,2012
10,BRA,Growing grapes industry,XAM,2.7618638377496255e-08,CRI,2012
11,BRA,Growing fruits and nuts industry,XAM,5.083436426590918e-05,CRI,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,CRI,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,CRI,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,CRI,2012
15,BRA,Raising of cattle industry,XAM,0.014745482189749234,CRI,2012
16,BRA,Growing wheat industry,XEU,5.360049822738644e-06,CRI,2012
17,BRA,Growing maize industry,XEU,0.001865585100665085,CRI,2012
18,BRA,Growing cereals n.e.c industry,XEU,2.4691909602871873e-05,CRI,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0008245084986892139,CRI,2012
20,BRA,Growing rice industry,XEU,8.148168824069456e-07,CRI,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.2503226199277105e-07,CRI,2012
22,BRA,Growing sugar beet and cane industry,XEU,0.0001812207321181209,CRI,2012
23,BRA,Growing tobacco industry,XEU,6.144244430577527e-08,CRI,2012
24,BRA,Growing fibre crops industry,XEU,3.042888587777581e-05,CRI,2012
25,BRA,Growing crops n.e.c. industry,XEU,6.675916193164333e-06,CRI,2012
26,BRA,Growing grapes industry,XEU,1.2747389205684158e-09,CRI,2012
27,BRA,Growing fruits and nuts industry,XEU,1.467561860921838e-06,CRI,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,CRI,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,CRI,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,CRI,2012
31,BRA,Raising of cattle industry,XEU,0.00044944202726771997,CRI,2012
32,BRA,Growing wheat industry,XAF,9.676440747436895e-07,CRI,2012
33,BRA,Growing maize industry,XAF,0.00020888810015356983,CRI,2012
34,BRA,Growing cereals n.e.c industry,XAF,3.167522238102267e-06,CRI,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0001229627092106428,CRI,2012
36,BRA,Growing rice industry,XAF,9.539562577154503e-08,CRI,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,2.4743203910382406e-08,CRI,2012
38,BRA,Growing sugar beet and cane industry,XAF,2.2075447959037758e-05,CRI,2012
39,BRA,Growing tobacco industry,XAF,2.4875480136344912e-08,CRI,2012
40,BRA,Growing fibre crops industry,XAF,5.549337797883996e-06,CRI,2012
41,BRA,Growing crops n.e.c. industry,XAF,1.0773085737940336e-06,CRI,2012
42,BRA,Growing grapes industry,XAF,2.5259420296320456e-10,CRI,2012
43,BRA,Growing fruits and nuts industry,XAF,5.229002760481289e-07,CRI,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,CRI,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,CRI,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,CRI,2012
47,BRA,Raising of cattle industry,XAF,6.029108809173903e-05,CRI,2012
48,BRA,Growing wheat industry,XAS,8.860451154840467e-06,CRI,2012
49,BRA,Growing maize industry,XAS,0.008475363977627437,CRI,2012
50,BRA,Growing cereals n.e.c industry,XAS,3.715493316175636e-05,CRI,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0008799847368404543,CRI,2012
52,BRA,Growing rice industry,XAS,3.2642567076646244e-06,CRI,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.1005571276383917e-07,CRI,2012
54,BRA,Growing sugar beet and cane industry,XAS,0.00014775131301769678,CRI,2012
55,BRA,Growing tobacco industry,XAS,5.4482206352421354e-05,CRI,2012
56,BRA,Growing fibre crops industry,XAS,2.0049711367135825e-05,CRI,2012
57,BRA,Growing crops n.e.c. industry,XAS,2.2127668462657426e-05,CRI,2012
58,BRA,Growing grapes industry,XAS,1.2110202344973835e-09,CRI,2012
59,BRA,Growing fruits and nuts industry,XAS,4.075679397423899e-06,CRI,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,CRI,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,CRI,2012
