,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0003697280975723789,DZA,2012
1,BRA,Growing maize industry,XAM,0.010837096962563004,DZA,2012
2,BRA,Growing cereals n.e.c industry,XAM,1.8343974717083614e-05,DZA,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.004174745069008481,DZA,2012
4,BRA,Growing rice industry,XAM,5.9149243178558745e-08,DZA,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,5.132170895029069e-07,DZA,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.00010395207100678392,DZA,2012
7,BRA,Growing tobacco industry,XAM,1.5061987669747844e-07,DZA,2012
8,BRA,Growing fibre crops industry,XAM,0.00018089832402931545,DZA,2012
9,BRA,Growing crops n.e.c. industry,XAM,3.885311180398791e-06,DZA,2012
10,BRA,Growing grapes industry,XAM,6.012251084334681e-09,DZA,2012
11,BRA,Growing fruits and nuts industry,XAM,3.972940633999775e-06,DZA,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,DZA,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,DZA,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,DZA,2012
15,BRA,Raising of cattle industry,XAM,0.00038015148178322807,DZA,2012
16,BRA,Growing wheat industry,XEU,0.00012022120275364319,DZA,2012
17,BRA,Growing maize industry,XEU,0.0044170821318152125,DZA,2012
18,BRA,Growing cereals n.e.c industry,XEU,6.602299911452124e-06,DZA,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0014989361289850813,DZA,2012
20,BRA,Growing rice industry,XEU,1.9509099508660743e-08,DZA,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.8809318076021594e-07,DZA,2012
22,BRA,Growing sugar beet and cane industry,XEU,3.690294362234278e-05,DZA,2012
23,BRA,Growing tobacco industry,XEU,5.3097544015564525e-08,DZA,2012
24,BRA,Growing fibre crops industry,XEU,6.736573945335895e-05,DZA,2012
25,BRA,Growing crops n.e.c. industry,XEU,1.3143798259463713e-06,DZA,2012
26,BRA,Growing grapes industry,XEU,2.1803504583195017e-09,DZA,2012
27,BRA,Growing fruits and nuts industry,XEU,1.4269993226521653e-06,DZA,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,DZA,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,DZA,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,DZA,2012
31,BRA,Raising of cattle industry,XEU,0.00014251891587237377,DZA,2012
32,BRA,Growing wheat industry,XAF,0.00142113760979998,DZA,2012
33,BRA,Growing maize industry,XAF,0.022030788464790355,DZA,2012
34,BRA,Growing cereals n.e.c industry,XAF,9.362159559940032e-06,DZA,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0019928592746147862,DZA,2012
36,BRA,Growing rice industry,XAF,2.641582409606495e-08,DZA,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,2.0212067155423117e-07,DZA,2012
38,BRA,Growing sugar beet and cane industry,XAF,0.00016059271519764005,DZA,2012
39,BRA,Growing tobacco industry,XAF,5.867553381512024e-08,DZA,2012
40,BRA,Growing fibre crops industry,XAF,5.971897929158062e-05,DZA,2012
41,BRA,Growing crops n.e.c. industry,XAF,2.24557840889959e-06,DZA,2012
42,BRA,Growing grapes industry,XAF,3.879564329675513e-09,DZA,2012
43,BRA,Growing fruits and nuts industry,XAF,4.098210986716971e-06,DZA,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,DZA,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,DZA,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,DZA,2012
47,BRA,Raising of cattle industry,XAF,0.00017323831056436075,DZA,2012
48,BRA,Growing wheat industry,XAS,0.0001694853364562119,DZA,2012
49,BRA,Growing maize industry,XAS,0.004603645273982337,DZA,2012
50,BRA,Growing cereals n.e.c industry,XAS,7.750235056466914e-06,DZA,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0018178273739631824,DZA,2012
52,BRA,Growing rice industry,XAS,2.3906238504215598e-08,DZA,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.158482768369189e-07,DZA,2012
54,BRA,Growing sugar beet and cane industry,XAS,5.166303513610345e-05,DZA,2012
55,BRA,Growing tobacco industry,XAS,6.232260260016471e-08,DZA,2012
56,BRA,Growing fibre crops industry,XAS,7.707394749931142e-05,DZA,2012
57,BRA,Growing crops n.e.c. industry,XAS,1.5930109555325483e-06,DZA,2012
58,BRA,Growing grapes industry,XAS,2.471051103090488e-09,DZA,2012
59,BRA,Growing fruits and nuts industry,XAS,1.6830558030655103e-06,DZA,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,DZA,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,DZA,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,DZA,2012
63,BRA,Raising of cattle industry,XAS,0.00016523337978212584,DZA,2012
64,BRA,Growing wheat industry,AFG,0.0003593816292437545,DZA,2012
65,BRA,Growing maize industry,AFG,0.0027199502584822513,DZA,2012
66,BRA,Growing cereals n.e.c industry,AFG,2.3024097936840532e-06,DZA,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0005858387413092933,DZA,2012
68,BRA,Growing rice industry,AFG,7.259691208149871e-09,DZA,2012
69,BRA,"Growing vegetables, roots, tubers industry",AFG,6.314105152126198e-08,DZA,2012
70,BRA,Growing sugar beet and cane industry,AFG,1.471947424014288e-05,DZA,2012
71,BRA,Growing tobacco industry,AFG,1.8257590838518174e-08,DZA,2012
72,BRA,Growing fibre crops industry,AFG,2.2160299093597465e-05,DZA,2012
73,BRA,Growing crops n.e.c. industry,AFG,4.837433398101383e-07,DZA,2012
74,BRA,Growing grapes industry,AFG,7.468266354518123e-10,DZA,2012
75,BRA,Growing fruits and nuts industry,AFG,5.035993596612607e-07,DZA,2012
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,DZA,2012
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,DZA,2012
78,BRA,Seeds and plant propagation industry,AFG,0.0,DZA,2012
79,BRA,Raising of cattle industry,AFG,5.014838884497147e-05,DZA,2012
80,BRA,Growing wheat industry,AGO,0.010772829116260199,DZA,2012
81,BRA,Growing maize industry,AGO,0.03897773158206542,DZA,2012
82,BRA,Growing cereals n.e.c industry,AGO,5.252070129351852e-05,DZA,2012
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.020873751412045425,DZA,2012
84,BRA,Growing rice industry,AGO,3.23452320985901e-07,DZA,2012
85,BRA,"Growing vegetables, roots, tubers industry",AGO,1.1465957292919003e-06,DZA,2012
86,BRA,Growing sugar beet and cane industry,AGO,0.00029872248887122715,DZA,2012
87,BRA,Growing tobacco industry,AGO,5.292317439804443e-07,DZA,2012
88,BRA,Growing fibre crops industry,AGO,0.0003188160735699765,DZA,2012
89,BRA,Growing crops n.e.c. industry,AGO,1.6326685387696636e-05,DZA,2012
90,BRA,Growing grapes industry,AGO,1.537725869296424e-08,DZA,2012
91,BRA,Growing fruits and nuts industry,AGO,1.4429866545382232e-05,DZA,2012
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,DZA,2012
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0,DZA,2012
94,BRA,Seeds and plant propagation industry,AGO,0.0,DZA,2012
95,BRA,Raising of cattle industry,AGO,0.0007611819229394429,DZA,2012
96,BRA,Growing wheat industry,ALB,0.0008562545084008876,DZA,2012
97,BRA,Growing maize industry,ALB,0.5176137351396136,DZA,2012
98,BRA,Growing cereals n.e.c industry,ALB,1.586795504447782e-05,DZA,2012
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0020908418621962306,DZA,2012
100,BRA,Growing rice industry,ALB,2.7374143034131242e-08,DZA,2012
101,BRA,"Growing vegetables, roots, tubers industry",ALB,2.4980828777759553e-07,DZA,2012
102,BRA,Growing sugar beet and cane industry,ALB,0.00037744488210929376,DZA,2012
103,BRA,Growing tobacco industry,ALB,6.540576571446445e-08,DZA,2012
104,BRA,Growing fibre crops industry,ALB,6.893500006187111e-05,DZA,2012
105,BRA,Growing crops n.e.c. industry,ALB,2.751923707610775e-06,DZA,2012
106,BRA,Growing grapes industry,ALB,4.441442496571331e-09,DZA,2012
107,BRA,Growing fruits and nuts industry,ALB,6.248894793774132e-06,DZA,2012
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,DZA,2012
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.0,DZA,2012
110,BRA,Seeds and plant propagation industry,ALB,0.0,DZA,2012
111,BRA,Raising of cattle industry,ALB,0.00038643283645126484,DZA,2012
112,BRA,Growing wheat industry,ARE,0.0035489979880893095,DZA,2012
113,BRA,Growing maize industry,ARE,0.12311201871567008,DZA,2012
114,BRA,Growing cereals n.e.c industry,ARE,5.4278284735661594e-05,DZA,2012
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.018601544684235704,DZA,2012
116,BRA,Growing rice industry,ARE,2.534877811531269e-07,DZA,2012
117,BRA,"Growing vegetables, roots, tubers industry",ARE,1.316035729105191e-06,DZA,2012
118,BRA,Growing sugar beet and cane industry,ARE,0.00047247504552928957,DZA,2012
119,BRA,Growing tobacco industry,ARE,5.254011128081228e-07,DZA,2012
120,BRA,Growing fibre crops industry,ARE,0.00042378281481987774,DZA,2012
121,BRA,Growing crops n.e.c. industry,ARE,1.3908003345627785e-05,DZA,2012
122,BRA,Growing grapes industry,ARE,1.623350465629875e-08,DZA,2012
123,BRA,Growing fruits and nuts industry,ARE,1.4538373439752236e-05,DZA,2012
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,DZA,2012
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0,DZA,2012
126,BRA,Seeds and plant propagation industry,ARE,0.0,DZA,2012
127,BRA,Raising of cattle industry,ARE,0.0009728674826517562,DZA,2012
128,BRA,Growing wheat industry,ARG,0.0005847555650411707,DZA,2012
129,BRA,Growing maize industry,ARG,0.019928280587939936,DZA,2012
130,BRA,Growing cereals n.e.c industry,ARG,8.761717240189552e-05,DZA,2012
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.012826767538457214,DZA,2012
132,BRA,Growing rice industry,ARG,3.702830785035886e-07,DZA,2012
133,BRA,"Growing vegetables, roots, tubers industry",ARG,1.799482020464568e-06,DZA,2012
134,BRA,Growing sugar beet and cane industry,ARG,0.0004119719611648264,DZA,2012
135,BRA,Growing tobacco industry,ARG,6.620794449838709e-07,DZA,2012
136,BRA,Growing fibre crops industry,ARG,0.0006419820492201225,DZA,2012
137,BRA,Growing crops n.e.c. industry,ARG,3.153533631034682e-05,DZA,2012
138,BRA,Growing grapes industry,ARG,2.6869834015956455e-08,DZA,2012
139,BRA,Growing fruits and nuts industry,ARG,1.7334584787430872e-05,DZA,2012
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0,DZA,2012
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.0,DZA,2012
142,BRA,Seeds and plant propagation industry,ARG,0.0,DZA,2012
143,BRA,Raising of cattle industry,ARG,0.0010297913138599115,DZA,2012
144,BRA,Growing wheat industry,ARM,0.00018006505017540396,DZA,2012
145,BRA,Growing maize industry,ARM,0.001557613087098999,DZA,2012
146,BRA,Growing cereals n.e.c industry,ARM,1.8357681419007063e-06,DZA,2012
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.0006063712487558707,DZA,2012
148,BRA,Growing rice industry,ARM,6.470226955114606e-09,DZA,2012
149,BRA,"Growing vegetables, roots, tubers industry",ARM,4.89678581206326e-08,DZA,2012
150,BRA,Growing sugar beet and cane industry,ARM,1.1763378663719613e-05,DZA,2012
151,BRA,Growing tobacco industry,ARM,1.463438245757068e-08,DZA,2012
152,BRA,Growing fibre crops industry,ARM,1.7359853907246068e-05,DZA,2012
153,BRA,Growing crops n.e.c. industry,ARM,4.745668816190686e-07,DZA,2012
154,BRA,Growing grapes industry,ARM,6.139918419889884e-10,DZA,2012
155,BRA,Growing fruits and nuts industry,ARM,4.4231218317473773e-07,DZA,2012
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,0.0,DZA,2012
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.0,DZA,2012
158,BRA,Seeds and plant propagation industry,ARM,0.0,DZA,2012
159,BRA,Raising of cattle industry,ARM,3.639375172743448e-05,DZA,2012
160,BRA,Growing wheat industry,AUS,0.004399709535942764,DZA,2012
161,BRA,Growing maize industry,AUS,0.08899807733777726,DZA,2012
162,BRA,Growing cereals n.e.c industry,AUS,0.00011838962237602258,DZA,2012
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.028573468900372895,DZA,2012
164,BRA,Growing rice industry,AUS,3.6153120588263386e-07,DZA,2012
165,BRA,"Growing vegetables, roots, tubers industry",AUS,3.270998745713795e-06,DZA,2012
166,BRA,Growing sugar beet and cane industry,AUS,0.001123784096608743,DZA,2012
167,BRA,Growing tobacco industry,AUS,9.6402025623087e-07,DZA,2012
168,BRA,Growing fibre crops industry,AUS,0.0011587556685386806,DZA,2012
169,BRA,Growing crops n.e.c. industry,AUS,2.4782961470248995e-05,DZA,2012
170,BRA,Growing grapes industry,AUS,3.7915838189666706e-08,DZA,2012
171,BRA,Growing fruits and nuts industry,AUS,2.6067306860806587e-05,DZA,2012
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0,DZA,2012
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0,DZA,2012
174,BRA,Seeds and plant propagation industry,AUS,0.0,DZA,2012
175,BRA,Raising of cattle industry,AUS,0.0025371824451195495,DZA,2012
176,BRA,Growing wheat industry,AUT,0.0013280833491534577,DZA,2012
177,BRA,Growing maize industry,AUT,0.04200848771639027,DZA,2012
178,BRA,Growing cereals n.e.c industry,AUT,5.349954228530259e-05,DZA,2012
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.013488141122784108,DZA,2012
180,BRA,Growing rice industry,AUT,1.8477603085260276e-07,DZA,2012
181,BRA,"Growing vegetables, roots, tubers industry",AUT,1.498258688707973e-06,DZA,2012
182,BRA,Growing sugar beet and cane industry,AUT,0.00033820158657411886,DZA,2012
183,BRA,Growing tobacco industry,AUT,4.478009491633017e-07,DZA,2012
184,BRA,Growing fibre crops industry,AUT,0.0005376972073022158,DZA,2012
185,BRA,Growing crops n.e.c. industry,AUT,1.2555271435959134e-05,DZA,2012
186,BRA,Growing grapes industry,AUT,1.9561741754267636e-08,DZA,2012
187,BRA,Growing fruits and nuts industry,AUT,1.1991294268951545e-05,DZA,2012
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,0.0,DZA,2012
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0,DZA,2012
190,BRA,Seeds and plant propagation industry,AUT,0.0,DZA,2012
191,BRA,Raising of cattle industry,AUT,0.0010580378678930803,DZA,2012
192,BRA,Growing wheat industry,AZE,0.0002756819834882556,DZA,2012
193,BRA,Growing maize industry,AZE,0.009683629824620867,DZA,2012
194,BRA,Growing cereals n.e.c industry,AZE,1.2821518142731611e-05,DZA,2012
195,BRA,Growing leguminous crops and oil seeds industry,AZE,0.003205634175409004,DZA,2012
196,BRA,Growing rice industry,AZE,3.678277688721133e-08,DZA,2012
197,BRA,"Growing vegetables, roots, tubers industry",AZE,3.586493805629866e-07,DZA,2012
198,BRA,Growing sugar beet and cane industry,AZE,0.00010511317551675375,DZA,2012
199,BRA,Growing tobacco industry,AZE,1.0104400207328869e-07,DZA,2012
200,BRA,Growing fibre crops industry,AZE,0.00013011573529731708,DZA,2012
201,BRA,Growing crops n.e.c. industry,AZE,2.489506113332777e-06,DZA,2012
202,BRA,Growing grapes industry,AZE,3.9367198596111e-09,DZA,2012
203,BRA,Growing fruits and nuts industry,AZE,2.8082683361743437e-06,DZA,2012
204,BRA,"Growing beverage crops (coffee, tea etc) industry",AZE,0.0,DZA,2012
205,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,0.0,DZA,2012
206,BRA,Seeds and plant propagation industry,AZE,0.0,DZA,2012
207,BRA,Raising of cattle industry,AZE,0.0002862804263076524,DZA,2012
208,BRA,Growing wheat industry,BDI,2.1497606582581772e-05,DZA,2012
209,BRA,Growing maize industry,BDI,0.00024081214914902123,DZA,2012
210,BRA,Growing cereals n.e.c industry,BDI,3.152418587277167e-07,DZA,2012
211,BRA,Growing leguminous crops and oil seeds industry,BDI,9.047919662739091e-05,DZA,2012
212,BRA,Growing rice industry,BDI,1.383604407214141e-09,DZA,2012
