,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,2.0339730870662657e-06,NER,2012
1,BRA,Growing maize industry,XAM,3.513646595559929e-05,NER,2012
2,BRA,Growing cereals n.e.c industry,XAM,1.3339158863354874e-06,NER,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,8.537700269324361e-05,NER,2012
4,BRA,Growing rice industry,XAM,2.4981501387131306e-09,NER,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,4.07374761832576e-08,NER,2012
6,BRA,Growing sugar beet and cane industry,XAM,5.8923043693499165e-06,NER,2012
7,BRA,Growing tobacco industry,XAM,1.4885415678252041e-08,NER,2012
8,BRA,Growing fibre crops industry,XAM,9.970106171834566e-06,NER,2012
9,BRA,Growing crops n.e.c. industry,XAM,6.013750450905095e-07,NER,2012
10,BRA,Growing grapes industry,XAM,3.069623919616056e-10,NER,2012
11,BRA,Growing fruits and nuts industry,XAM,1.1360742655900983e-07,NER,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,NER,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,NER,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,NER,2012
15,BRA,Raising of cattle industry,XAM,1.9978262818966305e-05,NER,2012
16,BRA,Growing wheat industry,XEU,1.0325842441059256e-06,NER,2012
17,BRA,Growing maize industry,XEU,8.391051248739844e-06,NER,2012
18,BRA,Growing cereals n.e.c industry,XEU,6.888114084518794e-07,NER,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,2.6344057814642224e-05,NER,2012
20,BRA,Growing rice industry,XEU,7.298800191168111e-10,NER,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.561513812740533e-09,NER,2012
22,BRA,Growing sugar beet and cane industry,XEU,2.640136348829442e-06,NER,2012
23,BRA,Growing tobacco industry,XEU,3.214455672555032e-09,NER,2012
24,BRA,Growing fibre crops industry,XEU,3.1005585043422914e-06,NER,2012
25,BRA,Growing crops n.e.c. industry,XEU,6.295767645769339e-07,NER,2012
26,BRA,Growing grapes industry,XEU,7.437343758037742e-11,NER,2012
27,BRA,Growing fruits and nuts industry,XEU,3.194074517796409e-08,NER,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,NER,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,NER,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,NER,2012
31,BRA,Raising of cattle industry,XEU,7.224290271880565e-06,NER,2012
32,BRA,Growing wheat industry,XAF,1.2160958646062447e-06,NER,2012
33,BRA,Growing maize industry,XAF,1.3856314468605323e-05,NER,2012
34,BRA,Growing cereals n.e.c industry,XAF,6.398312928573552e-07,NER,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,4.673515519461923e-05,NER,2012
36,BRA,Growing rice industry,XAF,1.5021140936424188e-09,NER,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.9774882727036852e-08,NER,2012
38,BRA,Growing sugar beet and cane industry,XAF,2.921663886596253e-06,NER,2012
39,BRA,Growing tobacco industry,XAF,7.893719410621918e-09,NER,2012
40,BRA,Growing fibre crops industry,XAF,6.838959176385472e-06,NER,2012
41,BRA,Growing crops n.e.c. industry,XAF,3.055126884884597e-07,NER,2012
42,BRA,Growing grapes industry,XAF,1.7353582797867484e-10,NER,2012
43,BRA,Growing fruits and nuts industry,XAF,5.4654051026732394e-08,NER,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,NER,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,NER,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,NER,2012
47,BRA,Raising of cattle industry,XAF,6.159106505648312e-06,NER,2012
48,BRA,Growing wheat industry,XAS,1.445007614915132e-06,NER,2012
49,BRA,Growing maize industry,XAS,2.002718211909269e-05,NER,2012
50,BRA,Growing cereals n.e.c industry,XAS,1.1872458706379511e-06,NER,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,6.218802484340089e-05,NER,2012
52,BRA,Growing rice industry,XAS,2.051869838786088e-09,NER,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.9755137075570527e-08,NER,2012
54,BRA,Growing sugar beet and cane industry,XAS,4.839950528903744e-06,NER,2012
55,BRA,Growing tobacco industry,XAS,1.1275559079355555e-08,NER,2012
56,BRA,Growing fibre crops industry,XAS,7.776975521389762e-06,NER,2012
57,BRA,Growing crops n.e.c. industry,XAS,6.773447588851333e-07,NER,2012
58,BRA,Growing grapes industry,XAS,2.8298782062985955e-10,NER,2012
59,BRA,Growing fruits and nuts industry,XAS,8.978425816416286e-08,NER,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,NER,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,NER,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,NER,2012
63,BRA,Raising of cattle industry,XAS,1.1202852768842229e-05,NER,2012
64,BRA,Growing wheat industry,AFG,6.767346900527699e-07,NER,2012
65,BRA,Growing maize industry,AFG,4.964674447709092e-06,NER,2012
66,BRA,Growing cereals n.e.c industry,AFG,2.4842169318698183e-07,NER,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,1.6877294675245327e-05,NER,2012
68,BRA,Growing rice industry,AFG,4.4124777826095713e-10,NER,2012
69,BRA,"Growing vegetables, roots, tubers industry",AFG,7.330725882251703e-09,NER,2012
70,BRA,Growing sugar beet and cane industry,AFG,1.2765155950926714e-06,NER,2012
71,BRA,Growing tobacco industry,AFG,2.307015396208284e-09,NER,2012
72,BRA,Growing fibre crops industry,AFG,1.9947065034140108e-06,NER,2012
73,BRA,Growing crops n.e.c. industry,AFG,9.760873307825655e-08,NER,2012
74,BRA,Growing grapes industry,AFG,5.266373898973356e-11,NER,2012
75,BRA,Growing fruits and nuts industry,AFG,1.8249390089583388e-08,NER,2012
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,NER,2012
