,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,2.523210945329699e-06,TCD,2012
1,BRA,Growing maize industry,XAM,3.1429155063050325e-05,TCD,2012
2,BRA,Growing cereals n.e.c industry,XAM,1.1977564775383452e-05,TCD,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00018763383020571153,TCD,2012
4,BRA,Growing rice industry,XAM,3.566288573323986e-09,TCD,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.6587018267100816e-08,TCD,2012
6,BRA,Growing sugar beet and cane industry,XAM,5.2405905358749156e-05,TCD,2012
7,BRA,Growing tobacco industry,XAM,1.179113050212598e-08,TCD,2012
8,BRA,Growing fibre crops industry,XAM,7.944327897373835e-06,TCD,2012
9,BRA,Growing crops n.e.c. industry,XAM,1.7492474753958966e-07,TCD,2012
10,BRA,Growing grapes industry,XAM,1.5511548794927145e-10,TCD,2012
11,BRA,Growing fruits and nuts industry,XAM,1.482008916388226e-07,TCD,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,TCD,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,TCD,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,TCD,2012
15,BRA,Raising of cattle industry,XAM,7.305323226057904e-05,TCD,2012
16,BRA,Growing wheat industry,XEU,8.530247136403218e-07,TCD,2012
17,BRA,Growing maize industry,XEU,5.383838040672468e-06,TCD,2012
18,BRA,Growing cereals n.e.c industry,XEU,1.5611731913758108e-06,TCD,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.090303328110251e-05,TCD,2012
20,BRA,Growing rice industry,XEU,5.80608729687821e-10,TCD,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,5.353840887723346e-09,TCD,2012
22,BRA,Growing sugar beet and cane industry,XEU,6.9356087943005074e-06,TCD,2012
23,BRA,Growing tobacco industry,XEU,2.8087419150440663e-09,TCD,2012
24,BRA,Growing fibre crops industry,XEU,1.6586031966330733e-06,TCD,2012
25,BRA,Growing crops n.e.c. industry,XEU,3.1968976529845643e-08,TCD,2012
26,BRA,Growing grapes industry,XEU,3.623291364730451e-11,TCD,2012
27,BRA,Growing fruits and nuts industry,XEU,4.8074287118331336e-08,TCD,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,TCD,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,TCD,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,TCD,2012
31,BRA,Raising of cattle industry,XEU,9.762597229001578e-06,TCD,2012
32,BRA,Growing wheat industry,XAF,1.9688801443116898e-06,TCD,2012
33,BRA,Growing maize industry,XAF,1.6116802639841184e-05,TCD,2012
34,BRA,Growing cereals n.e.c industry,XAF,4.238077424478687e-06,TCD,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,9.401726931559721e-05,TCD,2012
36,BRA,Growing rice industry,XAF,1.7717455714146823e-09,TCD,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.7657786628541308e-08,TCD,2012
38,BRA,Growing sugar beet and cane industry,XAF,1.878997127439328e-05,TCD,2012
39,BRA,Growing tobacco industry,XAF,7.940498977645782e-09,TCD,2012
40,BRA,Growing fibre crops industry,XAF,5.7968471846455215e-06,TCD,2012
41,BRA,Growing crops n.e.c. industry,XAF,1.0055652485064495e-07,TCD,2012
42,BRA,Growing grapes industry,XAF,1.2047786227662613e-10,TCD,2012
43,BRA,Growing fruits and nuts industry,XAF,1.1878685819409467e-07,TCD,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,TCD,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,TCD,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,TCD,2012
47,BRA,Raising of cattle industry,XAF,2.8245550493633494e-05,TCD,2012
48,BRA,Growing wheat industry,XAS,0.00015982812731186064,TCD,2012
49,BRA,Growing maize industry,XAS,0.0008572234476148834,TCD,2012
50,BRA,Growing cereals n.e.c industry,XAS,4.669868364526594e-05,TCD,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.002624975431488849,TCD,2012
52,BRA,Growing rice industry,XAS,7.800973269496426e-08,TCD,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,9.4118411421475e-07,TCD,2012
54,BRA,Growing sugar beet and cane industry,XAS,0.0002902887214566373,TCD,2012
55,BRA,Growing tobacco industry,XAS,6.617070286680853e-07,TCD,2012
56,BRA,Growing fibre crops industry,XAS,0.00032106254186434744,TCD,2012
57,BRA,Growing crops n.e.c. industry,XAS,5.387843935936955e-06,TCD,2012
58,BRA,Growing grapes industry,XAS,1.0297804617325068e-08,TCD,2012
59,BRA,Growing fruits and nuts industry,XAS,9.860230025718083e-06,TCD,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,TCD,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,TCD,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,TCD,2012
63,BRA,Raising of cattle industry,XAS,0.0004986567017099344,TCD,2012
64,BRA,Growing wheat industry,AFG,6.527262457400283e-07,TCD,2012
