,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,4.029744566723174e-06,KGZ,2013
1,BRA,Growing maize industry,XAM,1.8316423802519834e-05,KGZ,2013
2,BRA,Growing cereals n.e.c industry,XAM,1.1669082194462083e-06,KGZ,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00013294142318821835,KGZ,2013
4,BRA,Growing rice industry,XAM,0.0,KGZ,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,3.646137046324932e-08,KGZ,2013
6,BRA,Growing sugar beet and cane industry,XAM,8.458034390272015e-06,KGZ,2013
7,BRA,Growing tobacco industry,XAM,2.0044050545697687e-08,KGZ,2013
8,BRA,Growing fibre crops industry,XAM,1.231525758872681e-06,KGZ,2013
9,BRA,Growing crops n.e.c. industry,XAM,1.0703695405174675e-07,KGZ,2013
10,BRA,Growing grapes industry,XAM,4.905810983839146e-11,KGZ,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,KGZ,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,KGZ,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2037599624812925e-10,KGZ,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,KGZ,2013
15,BRA,Raising of cattle industry,XAM,4.6103192317648594e-06,KGZ,2013
16,BRA,Growing wheat industry,XEU,9.919140901400595e-07,KGZ,2013
17,BRA,Growing maize industry,XEU,3.843169407092782e-06,KGZ,2013
18,BRA,Growing cereals n.e.c industry,XEU,3.018622003558043e-07,KGZ,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.6462127719847865e-05,KGZ,2013
20,BRA,Growing rice industry,XEU,0.0,KGZ,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.289137881185656e-09,KGZ,2013
22,BRA,Growing sugar beet and cane industry,XEU,2.169827086563238e-06,KGZ,2013
23,BRA,Growing tobacco industry,XEU,4.3100120388252655e-09,KGZ,2013
24,BRA,Growing fibre crops industry,XEU,2.8228508608683494e-07,KGZ,2013
25,BRA,Growing crops n.e.c. industry,XEU,2.675909052010638e-08,KGZ,2013
26,BRA,Growing grapes industry,XEU,1.21012663793051e-11,KGZ,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,KGZ,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,KGZ,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.270818159293419e-11,KGZ,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,KGZ,2013
31,BRA,Raising of cattle industry,XEU,1.2082134284100014e-06,KGZ,2013
32,BRA,Growing wheat industry,XAF,1.762900331010262e-06,KGZ,2013
33,BRA,Growing maize industry,XAF,7.916601709920098e-06,KGZ,2013
34,BRA,Growing cereals n.e.c industry,XAF,6.130681781787054e-07,KGZ,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,6.613927708767875e-05,KGZ,2013
36,BRA,Growing rice industry,XAF,0.0,KGZ,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.5901962312406226e-08,KGZ,2013
38,BRA,Growing sugar beet and cane industry,XAF,4.443122523172482e-06,KGZ,2013
39,BRA,Growing tobacco industry,XAF,8.695121293643688e-09,KGZ,2013
40,BRA,Growing fibre crops industry,XAF,5.510133151176134e-07,KGZ,2013
41,BRA,Growing crops n.e.c. industry,XAF,5.3494409676554144e-08,KGZ,2013
42,BRA,Growing grapes industry,XAF,2.3210081052497937e-11,KGZ,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,KGZ,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,KGZ,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.933453851862413e-11,KGZ,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,KGZ,2013
47,BRA,Raising of cattle industry,XAF,2.2994461653389733e-06,KGZ,2013
48,BRA,Growing wheat industry,XAS,2.158832122056576e-06,KGZ,2013
49,BRA,Growing maize industry,XAS,9.935657466985255e-06,KGZ,2013
50,BRA,Growing cereals n.e.c industry,XAS,7.336302252292309e-07,KGZ,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,7.421460758601384e-05,KGZ,2013
52,BRA,Growing rice industry,XAS,0.0,KGZ,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.1929706849272477e-08,KGZ,2013
54,BRA,Growing sugar beet and cane industry,XAS,5.340831438680172e-06,KGZ,2013
55,BRA,Growing tobacco industry,XAS,1.1941896061017281e-08,KGZ,2013
