,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0005215196414552361,LBY,2013
1,BRA,Growing maize industry,XAM,0.00026785418554431693,LBY,2013
2,BRA,Growing cereals n.e.c industry,XAM,4.8857147028646655e-06,LBY,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0015069432158490803,LBY,2013
4,BRA,Growing rice industry,XAM,0.0,LBY,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.265714032853755e-06,LBY,2013
6,BRA,Growing sugar beet and cane industry,XAM,3.372117880648637e-05,LBY,2013
7,BRA,Growing tobacco industry,XAM,1.7124547857536927e-07,LBY,2013
8,BRA,Growing fibre crops industry,XAM,1.7907382666357846e-05,LBY,2013
9,BRA,Growing crops n.e.c. industry,XAM,8.536847842161005e-07,LBY,2013
10,BRA,Growing grapes industry,XAM,1.0793544642622086e-09,LBY,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,LBY,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,LBY,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.830322714875823e-09,LBY,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,LBY,2013
15,BRA,Raising of cattle industry,XAM,5.036163561449961e-05,LBY,2013
16,BRA,Growing wheat industry,XEU,0.0008481458250421111,LBY,2013
17,BRA,Growing maize industry,XEU,0.0003980366620642929,LBY,2013
18,BRA,Growing cereals n.e.c industry,XEU,6.103918867207209e-06,LBY,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00203915204999814,LBY,2013
20,BRA,Growing rice industry,XEU,0.0,LBY,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.3421198901301527e-06,LBY,2013
22,BRA,Growing sugar beet and cane industry,XEU,4.795542032588374e-05,LBY,2013
23,BRA,Growing tobacco industry,XEU,2.02990241110199e-07,LBY,2013
24,BRA,Growing fibre crops industry,XEU,2.5298224166786795e-05,LBY,2013
25,BRA,Growing crops n.e.c. industry,XEU,1.2696617080741068e-06,LBY,2013
26,BRA,Growing grapes industry,XEU,1.4705374415100554e-09,LBY,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,LBY,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,LBY,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2564569791661007e-08,LBY,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,LBY,2013
31,BRA,Raising of cattle industry,XEU,6.965051908514429e-05,LBY,2013
32,BRA,Growing wheat industry,XAF,0.0005964517224381339,LBY,2013
33,BRA,Growing maize industry,XAF,0.0004352614247504484,LBY,2013
34,BRA,Growing cereals n.e.c industry,XAF,6.7755707492124355e-06,LBY,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.002446775789543545,LBY,2013
36,BRA,Growing rice industry,XAF,0.0,LBY,2013
