,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,4.271333683304325e-05,MKD,2014
1,BRA,Growing maize industry,XAM,9.588686830024473e-05,MKD,2014
2,BRA,Growing cereals n.e.c industry,XAM,5.4410347239632e-06,MKD,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0012178790793681664,MKD,2014
4,BRA,Growing rice industry,XAM,0.0,MKD,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.3207400679863473e-06,MKD,2014
6,BRA,Growing sugar beet and cane industry,XAM,1.9321381629609763e-05,MKD,2014
7,BRA,Growing tobacco industry,XAM,1.48648221276681e-07,MKD,2014
8,BRA,Growing fibre crops industry,XAM,1.1948020522454961e-05,MKD,2014
9,BRA,Growing crops n.e.c. industry,XAM,6.240366994280683e-07,MKD,2014
10,BRA,Growing grapes industry,XAM,0.0,MKD,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,MKD,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,MKD,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.2794569617428734e-08,MKD,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,MKD,2014
15,BRA,Raising of cattle industry,XAM,3.1321843236225014e-05,MKD,2014
16,BRA,Growing wheat industry,XEU,1.4610104618220122e-05,MKD,2014
17,BRA,Growing maize industry,XEU,5.798841699203827e-05,MKD,2014
18,BRA,Growing cereals n.e.c industry,XEU,1.9230168465232334e-06,MKD,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003418343159693139,MKD,2014
20,BRA,Growing rice industry,XEU,0.0,MKD,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,5.866677791047798e-07,MKD,2014
22,BRA,Growing sugar beet and cane industry,XEU,6.664801045277526e-06,MKD,2014
23,BRA,Growing tobacco industry,XEU,4.4555989163579114e-08,MKD,2014
24,BRA,Growing fibre crops industry,XEU,3.848975695091054e-06,MKD,2014
25,BRA,Growing crops n.e.c. industry,XEU,2.2569765089744574e-07,MKD,2014
26,BRA,Growing grapes industry,XEU,0.0,MKD,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,MKD,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,MKD,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.168589267014496e-09,MKD,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,MKD,2014
31,BRA,Raising of cattle industry,XEU,1.0602019759711387e-05,MKD,2014
32,BRA,Growing wheat industry,XAF,1.0615148427371611e-05,MKD,2014
33,BRA,Growing maize industry,XAF,2.7628345443625467e-05,MKD,2014
34,BRA,Growing cereals n.e.c industry,XAF,1.2839277508232677e-06,MKD,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00026031981765752335,MKD,2014
36,BRA,Growing rice industry,XAF,0.0,MKD,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,5.768432226432328e-07,MKD,2014
38,BRA,Growing sugar beet and cane industry,XAF,4.553713399983797e-06,MKD,2014
39,BRA,Growing tobacco industry,XAF,4.3747503658035604e-08,MKD,2014
40,BRA,Growing fibre crops industry,XAF,3.056634181959769e-06,MKD,2014
41,BRA,Growing crops n.e.c. industry,XAF,1.6649780639963628e-07,MKD,2014
42,BRA,Growing grapes industry,XAF,0.0,MKD,2014
43,BRA,Growing fruits and nuts industry,XAF,0.0,MKD,2014
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,MKD,2014
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.852391977719953e-09,MKD,2014
46,BRA,Seeds and plant propagation industry,XAF,0.0,MKD,2014
47,BRA,Raising of cattle industry,XAF,9.117690514698368e-06,MKD,2014
48,BRA,Growing wheat industry,XAS,1.3573736823776718e-05,MKD,2014
49,BRA,Growing maize industry,XAS,5.1373940280396104e-05,MKD,2014
50,BRA,Growing cereals n.e.c industry,XAS,1.689292590564664e-06,MKD,2014
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0003291985622165107,MKD,2014
52,BRA,Growing rice industry,XAS,0.0,MKD,2014
53,BRA,"Growing vegetables, roots, tubers industry",XAS,7.938893491182837e-07,MKD,2014
54,BRA,Growing sugar beet and cane industry,XAS,6.115878906550897e-06,MKD,2014
55,BRA,Growing tobacco industry,XAS,5.50077848900707e-08,MKD,2014
56,BRA,Growing fibre crops industry,XAS,3.737272465009894e-06,MKD,2014
57,BRA,Growing crops n.e.c. industry,XAS,2.0177576408838057e-07,MKD,2014
58,BRA,Growing grapes industry,XAS,0.0,MKD,2014
59,BRA,Growing fruits and nuts industry,XAS,0.0,MKD,2014
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,MKD,2014
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.638898316189334e-09,MKD,2014
62,BRA,Seeds and plant propagation industry,XAS,0.0,MKD,2014
63,BRA,Raising of cattle industry,XAS,1.3906843121501201e-05,MKD,2014
