,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.02102835577240099,SAU,2014
1,BRA,Growing maize industry,XAM,0.002805300304719876,SAU,2014
2,BRA,Growing cereals n.e.c industry,XAM,7.474725473286872e-05,SAU,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.017395624344767987,SAU,2014
4,BRA,Growing rice industry,XAM,0.0,SAU,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.1733223246575127e-05,SAU,2014
6,BRA,Growing sugar beet and cane industry,XAM,0.00029068868157361953,SAU,2014
7,BRA,Growing tobacco industry,XAM,4.9739401433607526e-05,SAU,2014
8,BRA,Growing fibre crops industry,XAM,0.004875547423734221,SAU,2014
9,BRA,Growing crops n.e.c. industry,XAM,1.0430153858202693e-05,SAU,2014
10,BRA,Growing grapes industry,XAM,0.0,SAU,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,SAU,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,SAU,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.555970524162304e-07,SAU,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,SAU,2014
15,BRA,Raising of cattle industry,XAM,0.001670940286254656,SAU,2014
16,BRA,Growing wheat industry,XEU,0.006324630475718871,SAU,2014
17,BRA,Growing maize industry,XEU,0.0009303438058375956,SAU,2014
18,BRA,Growing cereals n.e.c industry,XEU,2.325826709227e-05,SAU,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0039899260556662906,SAU,2014
20,BRA,Growing rice industry,XEU,0.0,SAU,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.8722654373837537e-06,SAU,2014
22,BRA,Growing sugar beet and cane industry,XEU,8.878946065341895e-05,SAU,2014
23,BRA,Growing tobacco industry,XEU,1.1694589840872392e-05,SAU,2014
24,BRA,Growing fibre crops industry,XEU,0.001172940369778929,SAU,2014
25,BRA,Growing crops n.e.c. industry,XEU,2.8608509331014964e-06,SAU,2014
26,BRA,Growing grapes industry,XEU,0.0,SAU,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,SAU,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,SAU,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.0593940996961495e-08,SAU,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,SAU,2014
31,BRA,Raising of cattle industry,XEU,0.00041535443277470534,SAU,2014
32,BRA,Growing wheat industry,XAF,0.05657924591134028,SAU,2014
33,BRA,Growing maize industry,XAF,0.005842189853423027,SAU,2014
34,BRA,Growing cereals n.e.c industry,XAF,0.00010268406020154809,SAU,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.04001599337422374,SAU,2014
36,BRA,Growing rice industry,XAF,0.0,SAU,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.1470936594347028e-05,SAU,2014
38,BRA,Growing sugar beet and cane industry,XAF,0.00045990543398851183,SAU,2014
39,BRA,Growing tobacco industry,XAF,4.3029557875943254e-05,SAU,2014
40,BRA,Growing fibre crops industry,XAF,0.004204501434635787,SAU,2014
41,BRA,Growing crops n.e.c. industry,XAF,1.5504361517818234e-05,SAU,2014
42,BRA,Growing grapes industry,XAF,0.0,SAU,2014
43,BRA,Growing fruits and nuts industry,XAF,0.0,SAU,2014
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,SAU,2014
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.4502865469583884e-07,SAU,2014
46,BRA,Seeds and plant propagation industry,XAF,0.0,SAU,2014
47,BRA,Raising of cattle industry,XAF,0.010877453366253552,SAU,2014
48,BRA,Growing wheat industry,XAS,0.1346649383415247,SAU,2014
49,BRA,Growing maize industry,XAS,0.004866636920713281,SAU,2014
50,BRA,Growing cereals n.e.c industry,XAS,0.00013145905420873483,SAU,2014
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.05777413497618908,SAU,2014
52,BRA,Growing rice industry,XAS,0.0,SAU,2014
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.7462667153585062e-05,SAU,2014
54,BRA,Growing sugar beet and cane industry,XAS,0.0005698891095599652,SAU,2014
55,BRA,Growing tobacco industry,XAS,6.010799554909568e-05,SAU,2014
56,BRA,Growing fibre crops industry,XAS,0.005734953472620304,SAU,2014
57,BRA,Growing crops n.e.c. industry,XAS,1.8037686144947995e-05,SAU,2014
58,BRA,Growing grapes industry,XAS,0.0,SAU,2014
59,BRA,Growing fruits and nuts industry,XAS,0.0,SAU,2014
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,SAU,2014
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.260683199507375e-07,SAU,2014
62,BRA,Seeds and plant propagation industry,XAS,0.0,SAU,2014
63,BRA,Raising of cattle industry,XAS,0.01510161806655853,SAU,2014
64,BRA,Growing wheat industry,AFG,0.04957735384333184,SAU,2014
65,BRA,Growing maize industry,AFG,0.0031460530202755367,SAU,2014
66,BRA,Growing cereals n.e.c industry,AFG,0.00010796883417329442,SAU,2014
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.033196835101914096,SAU,2014
68,BRA,Growing rice industry,AFG,0.0,SAU,2014
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.1238376528573382e-05,SAU,2014
70,BRA,Growing sugar beet and cane industry,AFG,0.00044306047107363334,SAU,2014
71,BRA,Growing tobacco industry,AFG,2.5415100939820335e-05,SAU,2014
72,BRA,Growing fibre crops industry,AFG,0.002484916818376273,SAU,2014
73,BRA,Growing crops n.e.c. industry,AFG,1.4031628309620606e-05,SAU,2014
74,BRA,Growing grapes industry,AFG,0.0,SAU,2014
75,BRA,Growing fruits and nuts industry,AFG,0.0,SAU,2014
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,SAU,2014
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.1455986840099128e-07,SAU,2014
78,BRA,Seeds and plant propagation industry,AFG,0.0,SAU,2014
79,BRA,Raising of cattle industry,AFG,0.013419250054087178,SAU,2014
80,BRA,Growing wheat industry,AGO,0.34860491890918377,SAU,2014
81,BRA,Growing maize industry,AGO,0.009747385433865474,SAU,2014
82,BRA,Growing cereals n.e.c industry,AGO,0.00023930331217111994,SAU,2014
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.08860068008664712,SAU,2014
84,BRA,Growing rice industry,AGO,0.0,SAU,2014
85,BRA,"Growing vegetables, roots, tubers industry",AGO,2.879512301743754e-05,SAU,2014
86,BRA,Growing sugar beet and cane industry,AGO,0.000970296996637896,SAU,2014
87,BRA,Growing tobacco industry,AGO,8.399086429158231e-05,SAU,2014
88,BRA,Growing fibre crops industry,AGO,0.00827582965847934,SAU,2014
89,BRA,Growing crops n.e.c. industry,AGO,3.34178012078851e-05,SAU,2014
90,BRA,Growing grapes industry,AGO,0.0,SAU,2014
91,BRA,Growing fruits and nuts industry,AGO,0.0,SAU,2014
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,SAU,2014
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.292440889513746e-06,SAU,2014
94,BRA,Seeds and plant propagation industry,AGO,0.0,SAU,2014
95,BRA,Raising of cattle industry,AGO,0.006550083641768529,SAU,2014
96,BRA,Growing wheat industry,ALB,0.010994685636663212,SAU,2014
97,BRA,Growing maize industry,ALB,0.00146167350679269,SAU,2014
98,BRA,Growing cereals n.e.c industry,ALB,3.620772928835586e-05,SAU,2014
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.008018864169937275,SAU,2014
100,BRA,Growing rice industry,ALB,0.0,SAU,2014
101,BRA,"Growing vegetables, roots, tubers industry",ALB,4.927351250882341e-06,SAU,2014
102,BRA,Growing sugar beet and cane industry,ALB,0.0001411314272373681,SAU,2014
103,BRA,Growing tobacco industry,ALB,2.0781775487948918e-05,SAU,2014
104,BRA,Growing fibre crops industry,ALB,0.0020906699160856738,SAU,2014
105,BRA,Growing crops n.e.c. industry,ALB,4.668071544071644e-06,SAU,2014
