,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0001727903760937982,TKM,2014
1,BRA,Growing maize industry,XAM,0.0018055003332486162,TKM,2014
2,BRA,Growing cereals n.e.c industry,XAM,4.206856959746497e-06,TKM,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0013655486330775408,TKM,2014
4,BRA,Growing rice industry,XAM,0.0,TKM,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,5.848104473562623e-07,TKM,2014
6,BRA,Growing sugar beet and cane industry,XAM,1.6220168282320456e-05,TKM,2014
7,BRA,Growing tobacco industry,XAM,2.930049512920744e-07,TKM,2014
8,BRA,Growing fibre crops industry,XAM,2.3289346812695617e-05,TKM,2014
9,BRA,Growing crops n.e.c. industry,XAM,1.4953543907216863e-06,TKM,2014
10,BRA,Growing grapes industry,XAM,0.0,TKM,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,TKM,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,TKM,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.0402786544671695e-08,TKM,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,TKM,2014
15,BRA,Raising of cattle industry,XAM,4.968183142116581e-05,TKM,2014
16,BRA,Growing wheat industry,XEU,6.443661114206766e-05,TKM,2014
17,BRA,Growing maize industry,XEU,0.0006428598425096148,TKM,2014
18,BRA,Growing cereals n.e.c industry,XEU,1.4365884406933747e-06,TKM,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0004905567655560573,TKM,2014
20,BRA,Growing rice industry,XEU,0.0,TKM,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.0214024374529973e-07,TKM,2014
22,BRA,Growing sugar beet and cane industry,XEU,5.674139889624068e-06,TKM,2014
23,BRA,Growing tobacco industry,XEU,9.768336327822069e-08,TKM,2014
24,BRA,Growing fibre crops industry,XEU,7.927288757388728e-06,TKM,2014
25,BRA,Growing crops n.e.c. industry,XEU,5.02265903437886e-07,TKM,2014
26,BRA,Growing grapes industry,XEU,0.0,TKM,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,TKM,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,TKM,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.7332002957240454e-08,TKM,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,TKM,2014
31,BRA,Raising of cattle industry,XEU,1.7892064126723734e-05,TKM,2014
32,BRA,Growing wheat industry,XAF,0.00019940552844492299,TKM,2014
33,BRA,Growing maize industry,XAF,0.001322083086377051,TKM,2014
34,BRA,Growing cereals n.e.c industry,XAF,7.96807371604355e-06,TKM,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0021233274002505796,TKM,2014
36,BRA,Growing rice industry,XAF,0.0,TKM,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.0589533303806963e-06,TKM,2014
38,BRA,Growing sugar beet and cane industry,XAF,3.092069496174852e-05,TKM,2014
39,BRA,Growing tobacco industry,XAF,9.523623005207682e-07,TKM,2014
40,BRA,Growing fibre crops industry,XAF,4.064871405068881e-05,TKM,2014
41,BRA,Growing crops n.e.c. industry,XAF,1.472447162985579e-06,TKM,2014
42,BRA,Growing grapes industry,XAF,0.0,TKM,2014
