,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0010715167609371052,AGO,2015
1,BRA,Growing maize industry,XAM,0.00010555926843035575,AGO,2015
2,BRA,Growing cereals n.e.c industry,XAM,0.00011260338528461536,AGO,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00900003364081807,AGO,2015
4,BRA,Growing rice industry,XAM,0.0,AGO,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,4.4002899460069785e-06,AGO,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.00042876335268759286,AGO,2015
7,BRA,Growing tobacco industry,XAM,1.7590055974574944e-06,AGO,2015
8,BRA,Growing fibre crops industry,XAM,0.0001527382918472127,AGO,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.2986899097843556e-05,AGO,2015
10,BRA,Growing grapes industry,XAM,0.0,AGO,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,AGO,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.7803673497523517e-05,AGO,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.0357640083088075e-07,AGO,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,AGO,2015
15,BRA,Raising of cattle industry,XAM,0.00038133679112780343,AGO,2015
16,BRA,Growing wheat industry,XEU,0.0001603722059908553,AGO,2015
17,BRA,Growing maize industry,XEU,1.6593484149471384e-05,AGO,2015
18,BRA,Growing cereals n.e.c industry,XEU,1.583310004288272e-05,AGO,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.001379072986234739,AGO,2015
20,BRA,Growing rice industry,XEU,0.0,AGO,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,7.001777988543726e-07,AGO,2015
22,BRA,Growing sugar beet and cane industry,XEU,5.968050545997325e-05,AGO,2015
23,BRA,Growing tobacco industry,XEU,3.0333589400154594e-07,AGO,2015
24,BRA,Growing fibre crops industry,XEU,2.4336238147665713e-05,AGO,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.583586157311967e-06,AGO,2015
26,BRA,Growing grapes industry,XEU,0.0,AGO,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,AGO,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,4.450145927089032e-06,AGO,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.473469261504612e-08,AGO,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,AGO,2015
31,BRA,Raising of cattle industry,XEU,5.5507008684696316e-05,AGO,2015
32,BRA,Growing wheat industry,XAF,0.0033250631014056006,AGO,2015
33,BRA,Growing maize industry,XAF,0.0003979162584503522,AGO,2015
34,BRA,Growing cereals n.e.c industry,XAF,0.00033307249165751674,AGO,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.015791138514304904,AGO,2015
36,BRA,Growing rice industry,XAF,0.0,AGO,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,5.632557459464104e-06,AGO,2015
38,BRA,Growing sugar beet and cane industry,XAF,0.0008784526087322339,AGO,2015
39,BRA,Growing tobacco industry,XAF,4.493988340957817e-06,AGO,2015
40,BRA,Growing fibre crops industry,XAF,0.00017694732022974753,AGO,2015
41,BRA,Growing crops n.e.c. industry,XAF,8.588725532525569e-05,AGO,2015
42,BRA,Growing grapes industry,XAF,0.0,AGO,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,AGO,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,3.223524577218364e-05,AGO,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.628527570770143e-07,AGO,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,AGO,2015
47,BRA,Raising of cattle industry,XAF,0.0007637038485970402,AGO,2015
48,BRA,Growing wheat industry,XAS,0.0005141318720018604,AGO,2015
49,BRA,Growing maize industry,XAS,3.571648698469749e-05,AGO,2015
50,BRA,Growing cereals n.e.c industry,XAS,4.6894605677463426e-05,AGO,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0028244388878245997,AGO,2015
52,BRA,Growing rice industry,XAS,0.0,AGO,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.445369980170111e-06,AGO,2015
54,BRA,Growing sugar beet and cane industry,XAS,0.00014358154859221958,AGO,2015
55,BRA,Growing tobacco industry,XAS,5.874166048420609e-07,AGO,2015
56,BRA,Growing fibre crops industry,XAS,4.409417661045887e-05,AGO,2015
57,BRA,Growing crops n.e.c. industry,XAS,1.2701972405038206e-05,AGO,2015
58,BRA,Growing grapes industry,XAS,0.0,AGO,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,AGO,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.02766226756377e-06,AGO,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.1927527258146228e-07,AGO,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,AGO,2015
63,BRA,Raising of cattle industry,XAS,0.00012163323823670686,AGO,2015
64,BRA,Growing wheat industry,AFG,0.0001414025695071804,AGO,2015
65,BRA,Growing maize industry,AFG,9.050000136717441e-06,AGO,2015
66,BRA,Growing cereals n.e.c industry,AFG,1.0330058002001943e-05,AGO,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0007066561357450808,AGO,2015
68,BRA,Growing rice industry,AFG,0.0,AGO,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,3.8501239342552874e-07,AGO,2015
70,BRA,Growing sugar beet and cane industry,AFG,3.3662799789982476e-05,AGO,2015
71,BRA,Growing tobacco industry,AFG,1.537578366904214e-07,AGO,2015
72,BRA,Growing fibre crops industry,AFG,1.0746279039278685e-05,AGO,2015
73,BRA,Growing crops n.e.c. industry,AFG,3.271558212259882e-06,AGO,2015
74,BRA,Growing grapes industry,AFG,0.0,AGO,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,AGO,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,1.8203344840482278e-06,AGO,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.044332282676046e-08,AGO,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,AGO,2015
79,BRA,Raising of cattle industry,AFG,3.531313712810287e-05,AGO,2015
80,BRA,Growing wheat industry,AGO,0.0,AGO,2015
81,BRA,Growing maize industry,AGO,0.0,AGO,2015
82,BRA,Growing cereals n.e.c industry,AGO,0.0,AGO,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0,AGO,2015
84,BRA,Growing rice industry,AGO,0.0,AGO,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,AGO,2015
86,BRA,Growing sugar beet and cane industry,AGO,0.0,AGO,2015
87,BRA,Growing tobacco industry,AGO,0.0,AGO,2015
88,BRA,Growing fibre crops industry,AGO,0.0,AGO,2015
89,BRA,Growing crops n.e.c. industry,AGO,0.0,AGO,2015
90,BRA,Growing grapes industry,AGO,0.0,AGO,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,AGO,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,AGO,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0,AGO,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,AGO,2015
95,BRA,Raising of cattle industry,AGO,0.0,AGO,2015
96,BRA,Growing wheat industry,ALB,0.00031308084844109,AGO,2015
97,BRA,Growing maize industry,ALB,1.5004728800819411e-05,AGO,2015
98,BRA,Growing cereals n.e.c industry,ALB,5.054609377673851e-05,AGO,2015
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0012226262305612056,AGO,2015
100,BRA,Growing rice industry,ALB,0.0,AGO,2015
101,BRA,"Growing vegetables, roots, tubers industry",ALB,4.111564477389483e-07,AGO,2015
102,BRA,Growing sugar beet and cane industry,ALB,0.00010788269148815536,AGO,2015
103,BRA,Growing tobacco industry,ALB,1.593302505972537e-07,AGO,2015
104,BRA,Growing fibre crops industry,ALB,1.3405695902780721e-05,AGO,2015
