,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.000490136790209165,BLZ,2015
1,BRA,Growing maize industry,XAM,0.0006324365128451105,BLZ,2015
2,BRA,Growing cereals n.e.c industry,XAM,2.4969044092326213e-05,BLZ,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.004024245982201498,BLZ,2015
4,BRA,Growing rice industry,XAM,0.0,BLZ,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.0565316549190846e-05,BLZ,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.00013867695070873836,BLZ,2015
7,BRA,Growing tobacco industry,XAM,4.601381458556864e-07,BLZ,2015
8,BRA,Growing fibre crops industry,XAM,4.24803633009652e-05,BLZ,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.491654262885399e-05,BLZ,2015
10,BRA,Growing grapes industry,XAM,0.0,BLZ,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,BLZ,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.94991254150719e-06,BLZ,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.6345028194626565e-07,BLZ,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,BLZ,2015
15,BRA,Raising of cattle industry,XAM,0.0002256616224848902,BLZ,2015
16,BRA,Growing wheat industry,XEU,3.148133667433563e-05,BLZ,2015
17,BRA,Growing maize industry,XEU,2.6875085895948804e-05,BLZ,2015
18,BRA,Growing cereals n.e.c industry,XEU,2.511355845751202e-06,BLZ,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003544565257618716,BLZ,2015
20,BRA,Growing rice industry,XEU,0.0,BLZ,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.3196273171252505e-06,BLZ,2015
22,BRA,Growing sugar beet and cane industry,XEU,1.3822702142949948e-05,BLZ,2015
23,BRA,Growing tobacco industry,XEU,5.3059252270871475e-08,BLZ,2015
24,BRA,Growing fibre crops industry,XEU,5.225327625786061e-06,BLZ,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.27906401128608e-06,BLZ,2015
26,BRA,Growing grapes industry,XEU,0.0,BLZ,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,BLZ,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,4.866846450612759e-07,BLZ,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.7624705783962774e-08,BLZ,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,BLZ,2015
31,BRA,Raising of cattle industry,XEU,1.8844643403536576e-05,BLZ,2015
32,BRA,Growing wheat industry,XAF,3.3602541362801412e-06,BLZ,2015
33,BRA,Growing maize industry,XAF,3.3404998417892346e-06,BLZ,2015
34,BRA,Growing cereals n.e.c industry,XAF,2.3044115542911952e-07,BLZ,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,4.178121049743039e-05,BLZ,2015
36,BRA,Growing rice industry,XAF,0.0,BLZ,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.1396911186049529e-07,BLZ,2015
38,BRA,Growing sugar beet and cane industry,XAF,1.2429309315189841e-06,BLZ,2015
39,BRA,Growing tobacco industry,XAF,7.353884537756882e-09,BLZ,2015
40,BRA,Growing fibre crops industry,XAF,7.19324694824758e-07,BLZ,2015
41,BRA,Growing crops n.e.c. industry,XAF,2.152899938952018e-07,BLZ,2015
42,BRA,Growing grapes industry,XAF,0.0,BLZ,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,BLZ,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,8.217220472428071e-08,BLZ,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.8017646282133136e-09,BLZ,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,BLZ,2015
47,BRA,Raising of cattle industry,XAF,1.9300850671099755e-06,BLZ,2015
48,BRA,Growing wheat industry,XAS,6.0492297477245215e-06,BLZ,2015
49,BRA,Growing maize industry,XAS,3.4474261027863365e-06,BLZ,2015
50,BRA,Growing cereals n.e.c industry,XAS,6.417965044047732e-07,BLZ,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00010686437369575278,BLZ,2015
52,BRA,Growing rice industry,XAS,0.0,BLZ,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,4.7679592362201935e-07,BLZ,2015
54,BRA,Growing sugar beet and cane industry,XAS,3.597529064687252e-06,BLZ,2015
55,BRA,Growing tobacco industry,XAS,2.8877815746576924e-08,BLZ,2015
56,BRA,Growing fibre crops industry,XAS,2.14760100338281e-06,BLZ,2015
57,BRA,Growing crops n.e.c. industry,XAS,3.464865078061544e-07,BLZ,2015
58,BRA,Growing grapes industry,XAS,0.0,BLZ,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,BLZ,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,1.8428381936348065e-07,BLZ,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.109840304045784e-09,BLZ,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,BLZ,2015
63,BRA,Raising of cattle industry,XAS,4.741216299204093e-06,BLZ,2015
64,BRA,Growing wheat industry,AFG,1.4893222462278416e-06,BLZ,2015
65,BRA,Growing maize industry,AFG,1.1629499807212229e-06,BLZ,2015
66,BRA,Growing cereals n.e.c industry,AFG,2.859290412289187e-07,BLZ,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,2.931627911645703e-05,BLZ,2015
68,BRA,Growing rice industry,AFG,0.0,BLZ,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,6.921380179016847e-08,BLZ,2015
70,BRA,Growing sugar beet and cane industry,AFG,2.9488588363053905e-06,BLZ,2015
71,BRA,Growing tobacco industry,AFG,5.2572828002980385e-09,BLZ,2015
72,BRA,Growing fibre crops industry,AFG,4.579045538472168e-07,BLZ,2015
73,BRA,Growing crops n.e.c. industry,AFG,1.299201011038995e-07,BLZ,2015
74,BRA,Growing grapes industry,AFG,0.0,BLZ,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,BLZ,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,4.082215857871975e-08,BLZ,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.2357907766658356e-09,BLZ,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,BLZ,2015
79,BRA,Raising of cattle industry,AFG,1.8219839879469982e-06,BLZ,2015
80,BRA,Growing wheat industry,AGO,1.7252077718880793e-05,BLZ,2015
81,BRA,Growing maize industry,AGO,1.6809793508032808e-05,BLZ,2015
82,BRA,Growing cereals n.e.c industry,AGO,1.1425779205307145e-06,BLZ,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0002392150418682349,BLZ,2015
84,BRA,Growing rice industry,AGO,0.0,BLZ,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,5.946943531212126e-07,BLZ,2015
86,BRA,Growing sugar beet and cane industry,AGO,6.666325271435694e-06,BLZ,2015
87,BRA,Growing tobacco industry,AGO,5.230241849180653e-08,BLZ,2015
88,BRA,Growing fibre crops industry,AGO,4.6066165646552406e-06,BLZ,2015
89,BRA,Growing crops n.e.c. industry,AGO,8.627731158643402e-07,BLZ,2015
90,BRA,Growing grapes industry,AGO,0.0,BLZ,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,BLZ,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,2.7340007104349704e-07,BLZ,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.1659499046769362e-08,BLZ,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,BLZ,2015
95,BRA,Raising of cattle industry,AGO,9.443963057406449e-06,BLZ,2015
