,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.2607058812749785e-05,BTN,2015
1,BRA,Growing maize industry,XAM,7.44026177078517e-07,BTN,2015
2,BRA,Growing cereals n.e.c industry,XAM,6.036085504776755e-08,BTN,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,4.205019631365663e-05,BTN,2015
4,BRA,Growing rice industry,XAM,0.0,BTN,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,6.754582757283717e-08,BTN,2015
6,BRA,Growing sugar beet and cane industry,XAM,3.3947665957772784e-07,BTN,2015
7,BRA,Growing tobacco industry,XAM,2.3259585211491092e-08,BTN,2015
8,BRA,Growing fibre crops industry,XAM,1.1955882868625467e-06,BTN,2015
9,BRA,Growing crops n.e.c. industry,XAM,5.626889932986814e-08,BTN,2015
10,BRA,Growing grapes industry,XAM,0.0,BTN,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,BTN,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,7.073808217165423e-08,BTN,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2129231630269465e-09,BTN,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,BTN,2015
15,BRA,Raising of cattle industry,XAM,5.359971361908651e-07,BTN,2015
16,BRA,Growing wheat industry,XEU,2.4876395230785704e-06,BTN,2015
17,BRA,Growing maize industry,XEU,1.4130026691566685e-07,BTN,2015
18,BRA,Growing cereals n.e.c industry,XEU,1.138682627211701e-08,BTN,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,7.782344021769282e-06,BTN,2015
20,BRA,Growing rice industry,XEU,0.0,BTN,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.2906323555192181e-08,BTN,2015
22,BRA,Growing sugar beet and cane industry,XEU,6.42021143001199e-08,BTN,2015
23,BRA,Growing tobacco industry,XEU,4.5085950564731465e-09,BTN,2015
24,BRA,Growing fibre crops industry,XEU,2.2155914364726687e-07,BTN,2015
25,BRA,Growing crops n.e.c. industry,XEU,1.0685618150906721e-08,BTN,2015
26,BRA,Growing grapes industry,XEU,0.0,BTN,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,BTN,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.3645188341451784e-08,BTN,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.1669734911828756e-10,BTN,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,BTN,2015
31,BRA,Raising of cattle industry,XEU,1.0090392462757946e-07,BTN,2015
32,BRA,Growing wheat industry,XAF,7.641749756614917e-06,BTN,2015
33,BRA,Growing maize industry,XAF,7.120391087029874e-07,BTN,2015
34,BRA,Growing cereals n.e.c industry,XAF,7.384701690083654e-08,BTN,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,5.344940344294459e-05,BTN,2015
36,BRA,Growing rice industry,XAF,0.0,BTN,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,5.604922322014416e-08,BTN,2015
38,BRA,Growing sugar beet and cane industry,XAF,4.076268373293787e-07,BTN,2015
39,BRA,Growing tobacco industry,XAF,1.7611253217140326e-08,BTN,2015
40,BRA,Growing fibre crops industry,XAF,1.2630786777424742e-06,BTN,2015
41,BRA,Growing crops n.e.c. industry,XAF,7.372714278697621e-08,BTN,2015
42,BRA,Growing grapes industry,XAF,0.0,BTN,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,BTN,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,5.6493170416927374e-08,BTN,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.3264883927953725e-09,BTN,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,BTN,2015
47,BRA,Raising of cattle industry,XAF,6.44774437945183e-07,BTN,2015
48,BRA,Growing wheat industry,XAS,5.0416889178392835e-05,BTN,2015
49,BRA,Growing maize industry,XAS,2.979638750431353e-06,BTN,2015
50,BRA,Growing cereals n.e.c industry,XAS,3.74601367459298e-07,BTN,2015
