,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00014157860308822677,COD,2015
1,BRA,Growing maize industry,XAM,5.823746191042486e-06,COD,2015
2,BRA,Growing cereals n.e.c industry,XAM,2.3148646061908088e-06,COD,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.000659125043691155,COD,2015
4,BRA,Growing rice industry,XAM,0.0,COD,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.867786477281916e-07,COD,2015
6,BRA,Growing sugar beet and cane industry,XAM,8.741179500787206e-06,COD,2015
7,BRA,Growing tobacco industry,XAM,1.099173228857033e-07,COD,2015
8,BRA,Growing fibre crops industry,XAM,1.4251327948289044e-05,COD,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.244250195298311e-06,COD,2015
10,BRA,Growing grapes industry,XAM,0.0,COD,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,COD,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,6.605546214634099e-07,COD,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.886896993523498e-08,COD,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,COD,2015
15,BRA,Raising of cattle industry,XAM,1.9322653387908352e-05,COD,2015
16,BRA,Growing wheat industry,XEU,2.2140950879746105e-05,COD,2015
17,BRA,Growing maize industry,XEU,9.30982587523347e-07,COD,2015
18,BRA,Growing cereals n.e.c industry,XEU,3.481601904641975e-07,COD,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00010336973451400775,COD,2015
20,BRA,Growing rice industry,XEU,0.0,COD,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.930336017863173e-08,COD,2015
22,BRA,Growing sugar beet and cane industry,XEU,1.327009295176568e-06,COD,2015
23,BRA,Growing tobacco industry,XEU,1.7589228632513118e-08,COD,2015
24,BRA,Growing fibre crops industry,XEU,2.235590938486712e-06,COD,2015
25,BRA,Growing crops n.e.c. industry,XEU,3.0078973138145553e-07,COD,2015
26,BRA,Growing grapes industry,XEU,0.0,COD,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,COD,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0170635842890307e-07,COD,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.4955685774757092e-08,COD,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,COD,2015
31,BRA,Raising of cattle industry,XEU,2.4899701548845106e-06,COD,2015
32,BRA,Growing wheat industry,XAF,0.0008314265915092264,COD,2015
33,BRA,Growing maize industry,XAF,3.294511036563627e-05,COD,2015
34,BRA,Growing cereals n.e.c industry,XAF,1.1589371320135776e-05,COD,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00377026409091301,COD,2015
36,BRA,Growing rice industry,XAF,0.0,COD,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.1454430790425498e-06,COD,2015
38,BRA,Growing sugar beet and cane industry,XAF,4.8647899584700544e-05,COD,2015
39,BRA,Growing tobacco industry,XAF,6.75840075744513e-07,COD,2015
40,BRA,Growing fibre crops industry,XAF,8.936583255716559e-05,COD,2015
41,BRA,Growing crops n.e.c. industry,XAF,8.384524610871296e-06,COD,2015
42,BRA,Growing grapes industry,XAF,0.0,COD,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,COD,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,4.10239536532253e-06,COD,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.461925887501922e-07,COD,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,COD,2015
47,BRA,Raising of cattle industry,XAF,6.52648008626411e-05,COD,2015
48,BRA,Growing wheat industry,XAS,0.0001445881236404904,COD,2015
