,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00020607255390589399,GAB,2015
1,BRA,Growing maize industry,XAM,3.728391342748546e-05,GAB,2015
2,BRA,Growing cereals n.e.c industry,XAM,1.3538396896408891e-05,GAB,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0031142610796374886,GAB,2015
4,BRA,Growing rice industry,XAM,0.0,GAB,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.837822749572313e-06,GAB,2015
6,BRA,Growing sugar beet and cane industry,XAM,6.349748862635972e-05,GAB,2015
7,BRA,Growing tobacco industry,XAM,8.466422766033873e-07,GAB,2015
8,BRA,Growing fibre crops industry,XAM,9.216537286410471e-05,GAB,2015
9,BRA,Growing crops n.e.c. industry,XAM,5.404657879004821e-06,GAB,2015
10,BRA,Growing grapes industry,XAM,0.0,GAB,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,GAB,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.3077524834571272e-05,GAB,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2877521563433032e-07,GAB,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,GAB,2015
15,BRA,Raising of cattle industry,XAM,0.00015472075145986838,GAB,2015
16,BRA,Growing wheat industry,XEU,1.1214250433957544e-05,GAB,2015
17,BRA,Growing maize industry,XEU,1.9538875085283275e-06,GAB,2015
18,BRA,Growing cereals n.e.c industry,XEU,6.158665957695084e-07,GAB,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00019129286527241028,GAB,2015
20,BRA,Growing rice industry,XEU,0.0,GAB,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.0294245911462502e-07,GAB,2015
22,BRA,Growing sugar beet and cane industry,XEU,3.0889873953801574e-06,GAB,2015
23,BRA,Growing tobacco industry,XEU,4.888471294062509e-08,GAB,2015
24,BRA,Growing fibre crops industry,XEU,4.141878674782977e-06,GAB,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.2430443848999032e-07,GAB,2015
26,BRA,Growing grapes industry,XEU,0.0,GAB,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,GAB,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,5.700618616563749e-07,GAB,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.61800360374907e-09,GAB,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,GAB,2015
31,BRA,Raising of cattle industry,XEU,7.650929393544637e-06,GAB,2015
32,BRA,Growing wheat industry,XAF,0.00025333914778490914,GAB,2015
33,BRA,Growing maize industry,XAF,5.793472218494303e-05,GAB,2015
34,BRA,Growing cereals n.e.c industry,XAF,7.492872885096875e-06,GAB,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0024878880908576675,GAB,2015
36,BRA,Growing rice industry,XAF,0.0,GAB,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,7.075970484308737e-07,GAB,2015
38,BRA,Growing sugar beet and cane industry,XAF,5.134672562197407e-05,GAB,2015
39,BRA,Growing tobacco industry,XAF,3.32264055013249e-07,GAB,2015
40,BRA,Growing fibre crops industry,XAF,3.2991448225261774e-05,GAB,2015
41,BRA,Growing crops n.e.c. industry,XAF,5.48888956454659e-06,GAB,2015
42,BRA,Growing grapes industry,XAF,0.0,GAB,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,GAB,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,4.488138138863971e-06,GAB,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.895455911227256e-08,GAB,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,GAB,2015
47,BRA,Raising of cattle industry,XAF,0.0001433818718461013,GAB,2015
48,BRA,Growing wheat industry,XAS,1.5684449452886598e-05,GAB,2015
49,BRA,Growing maize industry,XAS,2.9546333075250896e-06,GAB,2015
50,BRA,Growing cereals n.e.c industry,XAS,8.620861128717394e-07,GAB,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0002339574614014003,GAB,2015
52,BRA,Growing rice industry,XAS,0.0,GAB,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.4126411054775092e-07,GAB,2015
54,BRA,Growing sugar beet and cane industry,XAS,4.51435590814567e-06,GAB,2015
55,BRA,Growing tobacco industry,XAS,7.379030928407267e-08,GAB,2015
56,BRA,Growing fibre crops industry,XAS,6.2711086634798465e-06,GAB,2015
57,BRA,Growing crops n.e.c. industry,XAS,2.9307478049789374e-07,GAB,2015
58,BRA,Growing grapes industry,XAS,0.0,GAB,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,GAB,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.6848502855238e-07,GAB,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4358094319850302e-08,GAB,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,GAB,2015
63,BRA,Raising of cattle industry,XAS,1.0849557077814294e-05,GAB,2015
64,BRA,Growing wheat industry,AFG,4.879267279111028e-06,GAB,2015
65,BRA,Growing maize industry,AFG,8.747445035704181e-07,GAB,2015
66,BRA,Growing cereals n.e.c industry,AFG,3.152220090200806e-07,GAB,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,6.978515238392531e-05,GAB,2015
68,BRA,Growing rice industry,AFG,0.0,GAB,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,4.227646687452447e-08,GAB,2015
70,BRA,Growing sugar beet and cane industry,AFG,1.4342923938577198e-06,GAB,2015
71,BRA,Growing tobacco industry,AFG,1.948163711721729e-08,GAB,2015
72,BRA,Growing fibre crops industry,AFG,2.138858222085874e-06,GAB,2015
73,BRA,Growing crops n.e.c. industry,AFG,1.233377609984055e-07,GAB,2015
74,BRA,Growing grapes industry,AFG,0.0,GAB,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,GAB,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,2.963669214397841e-07,GAB,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.912131950256333e-09,GAB,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,GAB,2015
79,BRA,Raising of cattle industry,AFG,3.4504715156282875e-06,GAB,2015
80,BRA,Growing wheat industry,AGO,0.0003849001491167953,GAB,2015
81,BRA,Growing maize industry,AGO,7.674969054810944e-05,GAB,2015
82,BRA,Growing cereals n.e.c industry,AGO,1.99800906586018e-05,GAB,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.007665104658106347,GAB,2015
84,BRA,Growing rice industry,AGO,0.0,GAB,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,4.680680152819876e-06,GAB,2015
86,BRA,Growing sugar beet and cane industry,AGO,9.666545440270394e-05,GAB,2015
87,BRA,Growing tobacco industry,AGO,3.827005865029483e-06,GAB,2015
88,BRA,Growing fibre crops industry,AGO,0.00020212184167916518,GAB,2015
89,BRA,Growing crops n.e.c. industry,AGO,6.017364509370276e-06,GAB,2015
90,BRA,Growing grapes industry,AGO,0.0,GAB,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,GAB,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,1.9369739020623187e-05,GAB,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,5.339126656945905e-07,GAB,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,GAB,2015
95,BRA,Raising of cattle industry,AGO,0.00018617896787314362,GAB,2015
96,BRA,Growing wheat industry,ALB,8.110957168170873e-06,GAB,2015
97,BRA,Growing maize industry,ALB,1.1644265581251788e-06,GAB,2015
98,BRA,Growing cereals n.e.c industry,ALB,3.585722152538058e-07,GAB,2015
99,BRA,Growing leguminous crops and oil seeds industry,ALB,9.613454375981174e-05,GAB,2015
100,BRA,Growing rice industry,ALB,0.0,GAB,2015
101,BRA,"Growing vegetables, roots, tubers industry",ALB,5.195643952618313e-08,GAB,2015
102,BRA,Growing sugar beet and cane industry,ALB,1.828291042647267e-06,GAB,2015
103,BRA,Growing tobacco industry,ALB,2.5117110903956153e-08,GAB,2015
104,BRA,Growing fibre crops industry,ALB,2.691546504459798e-06,GAB,2015
105,BRA,Growing crops n.e.c. industry,ALB,1.4969502115441433e-07,GAB,2015
106,BRA,Growing grapes industry,ALB,0.0,GAB,2015
107,BRA,Growing fruits and nuts industry,ALB,0.0,GAB,2015
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,3.7652780794041297e-07,GAB,2015
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,6.377214222236545e-09,GAB,2015
110,BRA,Seeds and plant propagation industry,ALB,0.0,GAB,2015
111,BRA,Raising of cattle industry,ALB,4.705458964662498e-06,GAB,2015
112,BRA,Growing wheat industry,ARE,0.00012471324621650778,GAB,2015
113,BRA,Growing maize industry,ARE,2.4350758236524334e-05,GAB,2015
114,BRA,Growing cereals n.e.c industry,ARE,6.278048060200625e-06,GAB,2015
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.0019072004428881961,GAB,2015
116,BRA,Growing rice industry,ARE,0.0,GAB,2015
117,BRA,"Growing vegetables, roots, tubers industry",ARE,1.1535335059683394e-06,GAB,2015
118,BRA,Growing sugar beet and cane industry,ARE,3.345567038470583e-05,GAB,2015
119,BRA,Growing tobacco industry,ARE,6.788137750938174e-07,GAB,2015
120,BRA,Growing fibre crops industry,ARE,4.713330573189347e-05,GAB,2015
121,BRA,Growing crops n.e.c. industry,ARE,2.263471004804048e-06,GAB,2015
122,BRA,Growing grapes industry,ARE,0.0,GAB,2015
123,BRA,Growing fruits and nuts industry,ARE,0.0,GAB,2015
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,5.9942649677386e-06,GAB,2015
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.1580622268245698e-07,GAB,2015
126,BRA,Seeds and plant propagation industry,ARE,0.0,GAB,2015
127,BRA,Raising of cattle industry,ARE,7.950422298849977e-05,GAB,2015
128,BRA,Growing wheat industry,ARG,6.477083170572822e-05,GAB,2015
129,BRA,Growing maize industry,ARG,1.1621161780144812e-05,GAB,2015
130,BRA,Growing cereals n.e.c industry,ARG,3.780775393143223e-06,GAB,2015
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0009718070273176422,GAB,2015
132,BRA,Growing rice industry,ARG,0.0,GAB,2015
133,BRA,"Growing vegetables, roots, tubers industry",ARG,5.612080125859539e-07,GAB,2015
134,BRA,Growing sugar beet and cane industry,ARG,1.8851432615885016e-05,GAB,2015
135,BRA,Growing tobacco industry,ARG,2.693398163148465e-07,GAB,2015
136,BRA,Growing fibre crops industry,ARG,2.745722801422245e-05,GAB,2015
137,BRA,Growing crops n.e.c. industry,ARG,1.3022081628247898e-06,GAB,2015
138,BRA,Growing grapes industry,ARG,0.0,GAB,2015
139,BRA,Growing fruits and nuts industry,ARG,0.0,GAB,2015
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,3.983752411367282e-06,GAB,2015
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.822922713716208e-08,GAB,2015
142,BRA,Seeds and plant propagation industry,ARG,0.0,GAB,2015
143,BRA,Raising of cattle industry,ARG,4.576444510840051e-05,GAB,2015
144,BRA,Growing wheat industry,ARM,6.216428550171787e-06,GAB,2015
145,BRA,Growing maize industry,ARM,8.449905021714907e-07,GAB,2015
146,BRA,Growing cereals n.e.c industry,ARM,2.5436737347659094e-07,GAB,2015
147,BRA,Growing leguminous crops and oil seeds industry,ARM,6.743811022565677e-05,GAB,2015
148,BRA,Growing rice industry,ARM,0.0,GAB,2015
149,BRA,"Growing vegetables, roots, tubers industry",ARM,3.680855213927823e-08,GAB,2015
150,BRA,Growing sugar beet and cane industry,ARM,1.306851686144422e-06,GAB,2015
151,BRA,Growing tobacco industry,ARM,1.796769582764724e-08,GAB,2015
152,BRA,Growing fibre crops industry,ARM,1.8119249353786994e-06,GAB,2015
153,BRA,Growing crops n.e.c. industry,ARM,1.1776668170232624e-07,GAB,2015
154,BRA,Growing grapes industry,ARM,0.0,GAB,2015
155,BRA,Growing fruits and nuts industry,ARM,0.0,GAB,2015
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,2.441140624508506e-07,GAB,2015
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,4.327508661153075e-09,GAB,2015
158,BRA,Seeds and plant propagation industry,ARM,0.0,GAB,2015
159,BRA,Raising of cattle industry,ARM,3.42122297783946e-06,GAB,2015
160,BRA,Growing wheat industry,AUS,0.00038947141214979846,GAB,2015
161,BRA,Growing maize industry,AUS,7.375111223861511e-05,GAB,2015
162,BRA,Growing cereals n.e.c industry,AUS,1.9579954946709687e-05,GAB,2015
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.00540827195627038,GAB,2015
164,BRA,Growing rice industry,AUS,0.0,GAB,2015
165,BRA,"Growing vegetables, roots, tubers industry",AUS,3.5055227455286934e-06,GAB,2015
166,BRA,Growing sugar beet and cane industry,AUS,0.00010438795380506924,GAB,2015
167,BRA,Growing tobacco industry,AUS,1.704021539528277e-06,GAB,2015
168,BRA,Growing fibre crops industry,AUS,0.0001649353269924062,GAB,2015
169,BRA,Growing crops n.e.c. industry,AUS,6.269516656164763e-06,GAB,2015
170,BRA,Growing grapes industry,AUS,0.0,GAB,2015
171,BRA,Growing fruits and nuts industry,AUS,0.0,GAB,2015
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,2.1984685995366237e-05,GAB,2015
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,3.4343289180729694e-07,GAB,2015
174,BRA,Seeds and plant propagation industry,AUS,0.0,GAB,2015
175,BRA,Raising of cattle industry,AUS,0.0002546859818813357,GAB,2015
176,BRA,Growing wheat industry,AUT,0.00013626695681912175,GAB,2015
177,BRA,Growing maize industry,AUT,2.960918545401288e-05,GAB,2015
178,BRA,Growing cereals n.e.c industry,AUT,6.580301335518002e-06,GAB,2015
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.0019836596190378627,GAB,2015
180,BRA,Growing rice industry,AUT,0.0,GAB,2015
181,BRA,"Growing vegetables, roots, tubers industry",AUT,1.0361270830360792e-06,GAB,2015
182,BRA,Growing sugar beet and cane industry,AUT,3.886502771340915e-05,GAB,2015
183,BRA,Growing tobacco industry,AUT,5.314108724012588e-07,GAB,2015
184,BRA,Growing fibre crops industry,AUT,5.0875725041730115e-05,GAB,2015
185,BRA,Growing crops n.e.c. industry,AUT,2.398194315794635e-06,GAB,2015
186,BRA,Growing grapes industry,AUT,0.0,GAB,2015
187,BRA,Growing fruits and nuts industry,AUT,0.0,GAB,2015
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,6.712175832803815e-06,GAB,2015
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,1.641370771083752e-07,GAB,2015
190,BRA,Seeds and plant propagation industry,AUT,0.0,GAB,2015
191,BRA,Raising of cattle industry,AUT,8.44112751095479e-05,GAB,2015
192,BRA,Growing wheat industry,AZE,7.121706506262267e-06,GAB,2015
193,BRA,Growing maize industry,AZE,1.2320433533037323e-06,GAB,2015
194,BRA,Growing cereals n.e.c industry,AZE,3.7989530397240935e-07,GAB,2015
195,BRA,Growing leguminous crops and oil seeds industry,AZE,0.00010363269050023652,GAB,2015
196,BRA,Growing rice industry,AZE,0.0,GAB,2015
197,BRA,"Growing vegetables, roots, tubers industry",AZE,5.9321734393597266e-08,GAB,2015
198,BRA,Growing sugar beet and cane industry,AZE,1.963119581268725e-06,GAB,2015
199,BRA,Growing tobacco industry,AZE,3.0537140691795177e-08,GAB,2015
200,BRA,Growing fibre crops industry,AZE,2.6162424774159858e-06,GAB,2015
201,BRA,Growing crops n.e.c. industry,AZE,1.432609927859756e-07,GAB,2015
202,BRA,Growing grapes industry,AZE,0.0,GAB,2015
203,BRA,Growing fruits and nuts industry,AZE,0.0,GAB,2015
204,BRA,"Growing beverage crops (coffee, tea etc) industry",AZE,3.579286328819979e-07,GAB,2015
205,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,6.167584732476917e-09,GAB,2015
206,BRA,Seeds and plant propagation industry,AZE,0.0,GAB,2015
207,BRA,Raising of cattle industry,AZE,4.833197240760434e-06,GAB,2015
208,BRA,Growing wheat industry,BDI,2.1741390704650005e-06,GAB,2015
209,BRA,Growing maize industry,BDI,3.895699246129179e-07,GAB,2015
210,BRA,Growing cereals n.e.c industry,BDI,1.2941188215350698e-07,GAB,2015
211,BRA,Growing leguminous crops and oil seeds industry,BDI,3.328430780882154e-05,GAB,2015
212,BRA,Growing rice industry,BDI,0.0,GAB,2015
213,BRA,"Growing vegetables, roots, tubers industry",BDI,2.3544229523955535e-08,GAB,2015
214,BRA,Growing sugar beet and cane industry,BDI,6.393019519443178e-07,GAB,2015
215,BRA,Growing tobacco industry,BDI,1.075260875308849e-08,GAB,2015
216,BRA,Growing fibre crops industry,BDI,9.398996147299335e-07,GAB,2015
217,BRA,Growing crops n.e.c. industry,BDI,4.0369865979841576e-08,GAB,2015
218,BRA,Growing grapes industry,BDI,0.0,GAB,2015
219,BRA,Growing fruits and nuts industry,BDI,0.0,GAB,2015
220,BRA,"Growing beverage crops (coffee, tea etc) industry",BDI,1.1531986499729332e-07,GAB,2015
221,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",BDI,2.1631966195680446e-09,GAB,2015
222,BRA,Seeds and plant propagation industry,BDI,0.0,GAB,2015
223,BRA,Raising of cattle industry,BDI,1.3862035006360012e-06,GAB,2015
224,BRA,Growing wheat industry,BEL,0.0003658558356024474,GAB,2015
225,BRA,Growing maize industry,BEL,6.781399209128972e-05,GAB,2015
226,BRA,Growing cereals n.e.c industry,BEL,1.938766703483992e-05,GAB,2015
227,BRA,Growing leguminous crops and oil seeds industry,BEL,0.005420742340313911,GAB,2015
228,BRA,Growing rice industry,BEL,0.0,GAB,2015
229,BRA,"Growing vegetables, roots, tubers industry",BEL,2.9648854349421082e-06,GAB,2015
230,BRA,Growing sugar beet and cane industry,BEL,9.945475658840289e-05,GAB,2015
231,BRA,Growing tobacco industry,BEL,1.877286796622096e-06,GAB,2015
232,BRA,Growing fibre crops industry,BEL,0.00014652200935752247,GAB,2015
233,BRA,Growing crops n.e.c. industry,BEL,7.908340068146878e-06,GAB,2015
234,BRA,Growing grapes industry,BEL,0.0,GAB,2015
235,BRA,Growing fruits and nuts industry,BEL,0.0,GAB,2015
236,BRA,"Growing beverage crops (coffee, tea etc) industry",BEL,1.9251647285218673e-05,GAB,2015
237,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",BEL,3.6404348078224503e-07,GAB,2015
238,BRA,Seeds and plant propagation industry,BEL,0.0,GAB,2015
