,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.006486564167982597,IND,2015
1,BRA,Growing maize industry,XAM,0.0016825891677235958,IND,2015
2,BRA,Growing cereals n.e.c industry,XAM,0.00022621536386469954,IND,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.2316859330510942,IND,2015
4,BRA,Growing rice industry,XAM,0.0,IND,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0001021957693951091,IND,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.001438155640482719,IND,2015
7,BRA,Growing tobacco industry,XAM,3.039988960274672e-05,IND,2015
8,BRA,Growing fibre crops industry,XAM,0.00651538100096998,IND,2015
9,BRA,Growing crops n.e.c. industry,XAM,0.00017322398605345684,IND,2015
10,BRA,Growing grapes industry,XAM,0.0,IND,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,IND,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,8.265109683820615e-05,IND,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.290200680338806e-05,IND,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,IND,2015
15,BRA,Raising of cattle industry,XAM,0.0033104687833198057,IND,2015
16,BRA,Growing wheat industry,XEU,0.0009096015412349093,IND,2015
17,BRA,Growing maize industry,XEU,0.0002448497885322211,IND,2015
18,BRA,Growing cereals n.e.c industry,XEU,3.327988452018695e-05,IND,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.025356736910505665,IND,2015
20,BRA,Growing rice industry,XEU,0.0,IND,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.5311123907665256e-05,IND,2015
22,BRA,Growing sugar beet and cane industry,XEU,0.00023723403620704521,IND,2015
23,BRA,Growing tobacco industry,XEU,4.223093191345608e-06,IND,2015
24,BRA,Growing fibre crops industry,XEU,0.0006938534991430064,IND,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.5505512563540166e-05,IND,2015
