,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,5.2374500834130614e-05,ZMB,2015
1,BRA,Growing maize industry,XAM,5.2800236471182485e-06,ZMB,2015
2,BRA,Growing cereals n.e.c industry,XAM,3.2882142794813548e-06,ZMB,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0005763723887301118,ZMB,2015
4,BRA,Growing rice industry,XAM,0.0,ZMB,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,3.437427270342674e-07,ZMB,2015
6,BRA,Growing sugar beet and cane industry,XAM,1.0216609229183e-05,ZMB,2015
7,BRA,Growing tobacco industry,XAM,1.4148360673643384e-07,ZMB,2015
8,BRA,Growing fibre crops industry,XAM,1.12343844114333e-05,ZMB,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.2796295441015133e-06,ZMB,2015
10,BRA,Growing grapes industry,XAM,0.0,ZMB,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,ZMB,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,4.081531216038577e-07,ZMB,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.79665318038094e-08,ZMB,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,ZMB,2015
15,BRA,Raising of cattle industry,XAM,1.6164717360775867e-05,ZMB,2015
16,BRA,Growing wheat industry,XEU,9.294615732387407e-06,ZMB,2015
17,BRA,Growing maize industry,XEU,7.27091305581393e-07,ZMB,2015
18,BRA,Growing cereals n.e.c industry,XEU,2.62848103964793e-07,ZMB,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,7.262007846327253e-05,ZMB,2015
20,BRA,Growing rice industry,XEU,0.0,ZMB,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,4.221121071959664e-08,ZMB,2015
22,BRA,Growing sugar beet and cane industry,XEU,1.1047341782164308e-06,ZMB,2015
23,BRA,Growing tobacco industry,XEU,1.765892584764617e-08,ZMB,2015
24,BRA,Growing fibre crops industry,XEU,1.349988189308327e-06,ZMB,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.0082066757556397e-07,ZMB,2015
26,BRA,Growing grapes industry,XEU,0.0,ZMB,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,ZMB,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,5.717107428384559e-08,ZMB,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.317685243556119e-09,ZMB,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,ZMB,2015
31,BRA,Raising of cattle industry,XEU,2.066044894107663e-06,ZMB,2015
32,BRA,Growing wheat industry,XAF,0.006980608948081572,ZMB,2015
33,BRA,Growing maize industry,XAF,0.00026179998428300135,ZMB,2015
34,BRA,Growing cereals n.e.c industry,XAF,9.675826148099525e-05,ZMB,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.013239801675819304,ZMB,2015
36,BRA,Growing rice industry,XAF,0.0,ZMB,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,6.447692373633875e-06,ZMB,2015
38,BRA,Growing sugar beet and cane industry,XAF,0.0002988899596691387,ZMB,2015
39,BRA,Growing tobacco industry,XAF,1.90947253844435e-06,ZMB,2015
40,BRA,Growing fibre crops industry,XAF,0.00018079382030951522,ZMB,2015
41,BRA,Growing crops n.e.c. industry,XAF,0.00012161483460723063,ZMB,2015
42,BRA,Growing grapes industry,XAF,0.0,ZMB,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,ZMB,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,6.403738250343194e-06,ZMB,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.005682022915142e-07,ZMB,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,ZMB,2015
47,BRA,Raising of cattle industry,XAF,0.0010004956851295311,ZMB,2015
48,BRA,Growing wheat industry,XAS,1.9427400289343764e-05,ZMB,2015
49,BRA,Growing maize industry,XAS,2.6508462016951158e-06,ZMB,2015
50,BRA,Growing cereals n.e.c industry,XAS,1.1029470394957592e-06,ZMB,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0002885064656371574,ZMB,2015
52,BRA,Growing rice industry,XAS,0.0,ZMB,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.9399294342133898e-07,ZMB,2015
54,BRA,Growing sugar beet and cane industry,XAS,4.558898877962157e-06,ZMB,2015
55,BRA,Growing tobacco industry,XAS,8.536703412488409e-08,ZMB,2015
56,BRA,Growing fibre crops industry,XAS,6.165290307509716e-06,ZMB,2015
57,BRA,Growing crops n.e.c. industry,XAS,6.832767159225916e-07,ZMB,2015
58,BRA,Growing grapes industry,XAS,0.0,ZMB,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,ZMB,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,2.046861768907157e-07,ZMB,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.835049651191003e-08,ZMB,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,ZMB,2015
63,BRA,Raising of cattle industry,XAS,7.851900940699643e-06,ZMB,2015
64,BRA,Growing wheat industry,AFG,1.5579701093626762e-05,ZMB,2015
65,BRA,Growing maize industry,AFG,1.087897181388898e-06,ZMB,2015
