,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,BHR,2016
1,BRA,Growing maize industry,XAM,0.005455517423965388,BHR,2016
2,BRA,Growing cereals n.e.c industry,XAM,0.0006990874712785544,BHR,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.025520547123285567,BHR,2016
4,BRA,Growing rice industry,XAM,6.506417507010546e-07,BHR,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.9129432790966904e-06,BHR,2016
6,BRA,Growing sugar beet and cane industry,XAM,0.00025440861371142626,BHR,2016
7,BRA,Growing tobacco industry,XAM,9.527128051637807e-06,BHR,2016
8,BRA,Growing fibre crops industry,XAM,0.0,BHR,2016
9,BRA,Growing crops n.e.c. industry,XAM,4.196206663577773e-05,BHR,2016
10,BRA,Growing grapes industry,XAM,0.0,BHR,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,BHR,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.56864722725611e-05,BHR,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.1985376238839763e-06,BHR,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,BHR,2016
15,BRA,Raising of cattle industry,XAM,0.0009529689966566634,BHR,2016
16,BRA,Growing wheat industry,XEU,0.0,BHR,2016
17,BRA,Growing maize industry,XEU,0.0006111804843389113,BHR,2016
18,BRA,Growing cereals n.e.c industry,XEU,6.312358647560648e-05,BHR,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.002260933053905376,BHR,2016
20,BRA,Growing rice industry,XEU,7.454445410896183e-08,BHR,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.3204168073129213e-07,BHR,2016
22,BRA,Growing sugar beet and cane industry,XEU,2.4251056863421153e-05,BHR,2016
23,BRA,Growing tobacco industry,XEU,1.0578333801931642e-06,BHR,2016
24,BRA,Growing fibre crops industry,XEU,0.0,BHR,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.6365690729173756e-06,BHR,2016
26,BRA,Growing grapes industry,XEU,0.0,BHR,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,BHR,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,3.0451946637980913e-06,BHR,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.410398364971557e-07,BHR,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,BHR,2016
31,BRA,Raising of cattle industry,XEU,9.053942313571244e-05,BHR,2016
32,BRA,Growing wheat industry,XAF,0.0,BHR,2016
33,BRA,Growing maize industry,XAF,0.0034688027937316377,BHR,2016
34,BRA,Growing cereals n.e.c industry,XAF,0.00024274344627128156,BHR,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.008179527199824219,BHR,2016
36,BRA,Growing rice industry,XAF,2.9456838895642783e-07,BHR,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,8.39440096562566e-07,BHR,2016
38,BRA,Growing sugar beet and cane industry,XAF,9.934046421023424e-05,BHR,2016
39,BRA,Growing tobacco industry,XAF,6.9432421504551e-06,BHR,2016
40,BRA,Growing fibre crops industry,XAF,0.0,BHR,2016
