,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,BHS,2016
1,BRA,Growing maize industry,XAM,0.0002878342685229989,BHS,2016
2,BRA,Growing cereals n.e.c industry,XAM,3.913590713555871e-05,BHS,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0031887203519570524,BHS,2016
4,BRA,Growing rice industry,XAM,1.0159344576333401e-07,BHS,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.6528321558193506e-07,BHS,2016
6,BRA,Growing sugar beet and cane industry,XAM,1.516285847808924e-05,BHS,2016
7,BRA,Growing tobacco industry,XAM,2.075910418147994e-06,BHS,2016
8,BRA,Growing fibre crops industry,XAM,0.0,BHS,2016
9,BRA,Growing crops n.e.c. industry,XAM,2.1996638970239495e-06,BHS,2016
10,BRA,Growing grapes industry,XAM,0.0,BHS,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,BHS,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.6279963881588904e-06,BHS,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.3076601195553796e-07,BHS,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,BHS,2016
15,BRA,Raising of cattle industry,XAM,7.037401630523543e-05,BHS,2016
16,BRA,Growing wheat industry,XEU,0.0,BHS,2016
17,BRA,Growing maize industry,XEU,5.074633841668176e-05,BHS,2016
18,BRA,Growing cereals n.e.c industry,XEU,7.290864530168266e-06,BHS,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003447893460358397,BHS,2016
20,BRA,Growing rice industry,XEU,1.4887248425093956e-08,BHS,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.9965548103150594e-08,BHS,2016
22,BRA,Growing sugar beet and cane industry,XEU,3.1763648265985616e-06,BHS,2016
23,BRA,Growing tobacco industry,XEU,2.3606833245897262e-07,BHS,2016
24,BRA,Growing fibre crops industry,XEU,0.0,BHS,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.217827225864521e-07,BHS,2016
26,BRA,Growing grapes industry,XEU,0.0,BHS,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,BHS,2016
