,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,JPN,2016
1,BRA,Growing maize industry,XAM,0.2529063849173712,JPN,2016
2,BRA,Growing cereals n.e.c industry,XAM,0.005269919779926279,JPN,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.4115472356777451,JPN,2016
4,BRA,Growing rice industry,XAM,7.00490772616108e-05,JPN,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.00010890829671515419,JPN,2016
6,BRA,Growing sugar beet and cane industry,XAM,0.0017915948077268035,JPN,2016
7,BRA,Growing tobacco industry,XAM,0.0048982664359906985,JPN,2016
8,BRA,Growing fibre crops industry,XAM,0.0,JPN,2016
9,BRA,Growing crops n.e.c. industry,XAM,0.00034928012915874304,JPN,2016
10,BRA,Growing grapes industry,XAM,0.0,JPN,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,JPN,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0008049192284571794,JPN,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.077501250694472e-05,JPN,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,JPN,2016
15,BRA,Raising of cattle industry,XAM,0.0071393341093141756,JPN,2016
16,BRA,Growing wheat industry,XEU,0.0,JPN,2016
17,BRA,Growing maize industry,XEU,0.019130651310358498,JPN,2016
18,BRA,Growing cereals n.e.c industry,XEU,0.0005152073137914579,JPN,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.03244377404661062,JPN,2016
20,BRA,Growing rice industry,XEU,4.910900516788438e-06,JPN,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,6.123629477698372e-06,JPN,2016
22,BRA,Growing sugar beet and cane industry,XEU,0.0001810197065947253,JPN,2016
23,BRA,Growing tobacco industry,XEU,0.00033523571061155053,JPN,2016
24,BRA,Growing fibre crops industry,XEU,0.0,JPN,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.5176821237320864e-05,JPN,2016
26,BRA,Growing grapes industry,XEU,0.0,JPN,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,JPN,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,8.064265030809416e-05,JPN,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.384129310360665e-06,JPN,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,JPN,2016
31,BRA,Raising of cattle industry,XEU,0.000693075894490803,JPN,2016
32,BRA,Growing wheat industry,XAF,0.0,JPN,2016
33,BRA,Growing maize industry,XAF,0.05973151103167252,JPN,2016
34,BRA,Growing cereals n.e.c industry,XAF,0.0013411874619209247,JPN,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.10954343644794245,JPN,2016
36,BRA,Growing rice industry,XAF,1.541178352270455e-05,JPN,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,2.1830151222520904e-05,JPN,2016
38,BRA,Growing sugar beet and cane industry,XAF,0.000418975028776983,JPN,2016
39,BRA,Growing tobacco industry,XAF,0.0011035364944506655,JPN,2016
40,BRA,Growing fibre crops industry,XAF,0.0,JPN,2016
41,BRA,Growing crops n.e.c. industry,XAF,0.00010152303545881368,JPN,2016
42,BRA,Growing grapes industry,XAF,0.0,JPN,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,JPN,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.00020188767887895036,JPN,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.2035642878642926e-05,JPN,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,JPN,2016
47,BRA,Raising of cattle industry,XAF,0.001634157402296163,JPN,2016
48,BRA,Growing wheat industry,XAS,0.0,JPN,2016
49,BRA,Growing maize industry,XAS,0.14160998981976464,JPN,2016
50,BRA,Growing cereals n.e.c industry,XAS,0.0032866780166253425,JPN,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.29560642072732773,JPN,2016
52,BRA,Growing rice industry,XAS,3.6920765736392424e-05,JPN,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,4.3450864670821284e-05,JPN,2016
54,BRA,Growing sugar beet and cane industry,XAS,0.0010221599149703136,JPN,2016
55,BRA,Growing tobacco industry,XAS,0.0027471030175293836,JPN,2016
56,BRA,Growing fibre crops industry,XAS,0.0,JPN,2016
57,BRA,Growing crops n.e.c. industry,XAS,0.0002477124505463062,JPN,2016
58,BRA,Growing grapes industry,XAS,0.0,JPN,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,JPN,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0011848527398607709,JPN,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.424718392327752e-05,JPN,2016
62,BRA,Seeds and plant propagation industry,XAS,0.0,JPN,2016
63,BRA,Raising of cattle industry,XAS,0.0039399855412008316,JPN,2016
64,BRA,Growing wheat industry,AFG,0.0,JPN,2016
65,BRA,Growing maize industry,AFG,0.02966099916555663,JPN,2016
66,BRA,Growing cereals n.e.c industry,AFG,0.0007299094158214766,JPN,2016
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.05259796455172306,JPN,2016
68,BRA,Growing rice industry,AFG,8.702913488948928e-06,JPN,2016
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.0289674148354207e-05,JPN,2016
70,BRA,Growing sugar beet and cane industry,AFG,0.00024158798160795212,JPN,2016
71,BRA,Growing tobacco industry,AFG,0.0006389302797528948,JPN,2016
72,BRA,Growing fibre crops industry,AFG,0.0,JPN,2016
73,BRA,Growing crops n.e.c. industry,AFG,4.461573868718847e-05,JPN,2016
74,BRA,Growing grapes industry,AFG,0.0,JPN,2016
75,BRA,Growing fruits and nuts industry,AFG,0.0,JPN,2016
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.00012247805565581904,JPN,2016
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.572983838902384e-06,JPN,2016
78,BRA,Seeds and plant propagation industry,AFG,0.0,JPN,2016
79,BRA,Raising of cattle industry,AFG,0.0009159264176678706,JPN,2016
80,BRA,Growing wheat industry,AGO,0.0,JPN,2016
81,BRA,Growing maize industry,AGO,0.3558145599409003,JPN,2016
82,BRA,Growing cereals n.e.c industry,AGO,0.00816175224060285,JPN,2016
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.605545047380222,JPN,2016
84,BRA,Growing rice industry,AGO,9.652217792293464e-05,JPN,2016
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.00012308853347424502,JPN,2016
86,BRA,Growing sugar beet and cane industry,AGO,0.0027604336560367484,JPN,2016
87,BRA,Growing tobacco industry,AGO,0.00693825978784901,JPN,2016
88,BRA,Growing fibre crops industry,AGO,0.0,JPN,2016
89,BRA,Growing crops n.e.c. industry,AGO,0.0004690370967698255,JPN,2016
90,BRA,Growing grapes industry,AGO,0.0,JPN,2016
91,BRA,Growing fruits and nuts industry,AGO,0.0,JPN,2016
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0013281293582302041,JPN,2016
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,7.031118145448188e-05,JPN,2016
94,BRA,Seeds and plant propagation industry,AGO,0.0,JPN,2016
95,BRA,Raising of cattle industry,AGO,0.010615867226483808,JPN,2016
96,BRA,Growing wheat industry,ALB,0.0,JPN,2016
