,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,URY,2016
1,BRA,Growing maize industry,XAM,0.010923029354508234,URY,2016
2,BRA,Growing cereals n.e.c industry,XAM,0.012672850008811347,URY,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.04093357479087804,URY,2016
4,BRA,Growing rice industry,XAM,6.593552652338115e-05,URY,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.2736730551093742e-05,URY,2016
6,BRA,Growing sugar beet and cane industry,XAM,0.0034868514776293775,URY,2016
7,BRA,Growing tobacco industry,XAM,0.003829811060878205,URY,2016
8,BRA,Growing fibre crops industry,XAM,0.0,URY,2016
9,BRA,Growing crops n.e.c. industry,XAM,0.0002652067215396504,URY,2016
10,BRA,Growing grapes industry,XAM,0.0,URY,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,URY,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0005152583612520104,URY,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.3590765702418486e-06,URY,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,URY,2016
15,BRA,Raising of cattle industry,XAM,0.15711516236093478,URY,2016
16,BRA,Growing wheat industry,XEU,0.0,URY,2016
17,BRA,Growing maize industry,XEU,0.0015316536592694875,URY,2016
18,BRA,Growing cereals n.e.c industry,XEU,0.0009942563937951224,URY,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.008020867836279245,URY,2016
20,BRA,Growing rice industry,XEU,1.9723209809478087e-06,URY,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,7.93122711954736e-07,URY,2016
22,BRA,Growing sugar beet and cane industry,XEU,0.00031567127402537233,URY,2016
23,BRA,Growing tobacco industry,XEU,1.6845729285242505e-06,URY,2016
24,BRA,Growing fibre crops industry,XEU,0.0,URY,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.1410273174207196e-05,URY,2016
26,BRA,Growing grapes industry,XEU,0.0,URY,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,URY,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,3.195954891732148e-05,URY,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.863602796550592e-07,URY,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,URY,2016
31,BRA,Raising of cattle industry,XEU,0.001673924886631738,URY,2016
32,BRA,Growing wheat industry,XAF,0.0,URY,2016
33,BRA,Growing maize industry,XAF,0.0007536482005238085,URY,2016
34,BRA,Growing cereals n.e.c industry,XAF,0.0006548106005379225,URY,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0038075655748019107,URY,2016
36,BRA,Growing rice industry,XAF,1.0401565027094448e-05,URY,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.8910101996184823e-06,URY,2016
38,BRA,Growing sugar beet and cane industry,XAF,0.00028570860857769694,URY,2016
39,BRA,Growing tobacco industry,XAF,2.71721210960253e-05,URY,2016
40,BRA,Growing fibre crops industry,XAF,0.0,URY,2016
41,BRA,Growing crops n.e.c. industry,XAF,7.124617377868978e-05,URY,2016
42,BRA,Growing grapes industry,XAF,0.0,URY,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,URY,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,3.831893506662382e-05,URY,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.3125838914763604e-07,URY,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,URY,2016
47,BRA,Raising of cattle industry,XAF,0.003112119860571454,URY,2016
48,BRA,Growing wheat industry,XAS,0.0,URY,2016
49,BRA,Growing maize industry,XAS,0.0010058944012558252,URY,2016
50,BRA,Growing cereals n.e.c industry,XAS,0.0014607619875022326,URY,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.004596179668036226,URY,2016
52,BRA,Growing rice industry,XAS,1.3046161648039367e-05,URY,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,7.3870836387808535e-06,URY,2016
54,BRA,Growing sugar beet and cane industry,XAS,0.00031774417427854153,URY,2016
55,BRA,Growing tobacco industry,XAS,6.865115809066996e-07,URY,2016
56,BRA,Growing fibre crops industry,XAS,0.0,URY,2016
57,BRA,Growing crops n.e.c. industry,XAS,0.0001256107902719824,URY,2016
58,BRA,Growing grapes industry,XAS,0.0,URY,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,URY,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.00014469382139178122,URY,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.7702082535880353e-07,URY,2016
62,BRA,Seeds and plant propagation industry,XAS,0.0,URY,2016
63,BRA,Raising of cattle industry,XAS,0.002901351378853824,URY,2016
64,BRA,Growing wheat industry,AFG,0.0,URY,2016
65,BRA,Growing maize industry,AFG,0.00022678883304044797,URY,2016
66,BRA,Growing cereals n.e.c industry,AFG,0.0001953320394006253,URY,2016
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0014708132839842884,URY,2016
68,BRA,Growing rice industry,AFG,6.294199360707317e-07,URY,2016
69,BRA,"Growing vegetables, roots, tubers industry",AFG,2.9713738674123506e-07,URY,2016
70,BRA,Growing sugar beet and cane industry,AFG,6.891785203923954e-05,URY,2016
71,BRA,Growing tobacco industry,AFG,1.4063883624120066e-07,URY,2016
72,BRA,Growing fibre crops industry,AFG,0.0,URY,2016
73,BRA,Growing crops n.e.c. industry,AFG,2.3398254118213917e-05,URY,2016
74,BRA,Growing grapes industry,AFG,0.0,URY,2016
75,BRA,Growing fruits and nuts industry,AFG,0.0,URY,2016
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,4.500189448650262e-06,URY,2016
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.438134790019425e-07,URY,2016
78,BRA,Seeds and plant propagation industry,AFG,0.0,URY,2016
79,BRA,Raising of cattle industry,AFG,0.0010031698203408089,URY,2016
80,BRA,Growing wheat industry,AGO,0.0,URY,2016
81,BRA,Growing maize industry,AGO,0.005704302135387754,URY,2016
82,BRA,Growing cereals n.e.c industry,AGO,0.005954595520668166,URY,2016
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.02598902848320938,URY,2016
84,BRA,Growing rice industry,AGO,0.00020863802715878152,URY,2016
85,BRA,"Growing vegetables, roots, tubers industry",AGO,3.969647700031141e-05,URY,2016
86,BRA,Growing sugar beet and cane industry,AGO,0.001391724264185353,URY,2016
87,BRA,Growing tobacco industry,AGO,5.476651577022371e-06,URY,2016
88,BRA,Growing fibre crops industry,AGO,0.0,URY,2016
89,BRA,Growing crops n.e.c. industry,AGO,0.0002096820951886719,URY,2016
90,BRA,Growing grapes industry,AGO,0.0,URY,2016
91,BRA,Growing fruits and nuts industry,AGO,0.0,URY,2016
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.002846963855825564,URY,2016
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.6975244093546247e-06,URY,2016
94,BRA,Seeds and plant propagation industry,AGO,0.0,URY,2016
95,BRA,Raising of cattle industry,AGO,0.021712491358010313,URY,2016
96,BRA,Growing wheat industry,ALB,0.0,URY,2016
97,BRA,Growing maize industry,ALB,0.00028347860947392867,URY,2016
98,BRA,Growing cereals n.e.c industry,ALB,0.0002920079038221114,URY,2016
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.00128780090205767,URY,2016
100,BRA,Growing rice industry,ALB,2.311146498216056e-06,URY,2016
101,BRA,"Growing vegetables, roots, tubers industry",ALB,6.883076719861699e-07,URY,2016
102,BRA,Growing sugar beet and cane industry,ALB,8.047602818332761e-05,URY,2016
103,BRA,Growing tobacco industry,ALB,1.4063320786394816e-07,URY,2016
104,BRA,Growing fibre crops industry,ALB,0.0,URY,2016
105,BRA,Growing crops n.e.c. industry,ALB,3.302139350812372e-05,URY,2016
106,BRA,Growing grapes industry,ALB,0.0,URY,2016
107,BRA,Growing fruits and nuts industry,ALB,0.0,URY,2016
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,1.2214192365873492e-05,URY,2016
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.882362067805865e-07,URY,2016
110,BRA,Seeds and plant propagation industry,ALB,0.0,URY,2016
111,BRA,Raising of cattle industry,ALB,0.0006618048245361658,URY,2016
112,BRA,Growing wheat industry,ARE,0.0,URY,2016
113,BRA,Growing maize industry,ARE,0.006748872678368628,URY,2016
114,BRA,Growing cereals n.e.c industry,ARE,0.0065889252870873685,URY,2016
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.026784641131052334,URY,2016
116,BRA,Growing rice industry,ARE,5.239936680318767e-05,URY,2016
117,BRA,"Growing vegetables, roots, tubers industry",ARE,2.4616381220369826e-05,URY,2016
118,BRA,Growing sugar beet and cane industry,ARE,0.0017415017708866665,URY,2016
119,BRA,Growing tobacco industry,ARE,3.2734500456483e-05,URY,2016
120,BRA,Growing fibre crops industry,ARE,0.0,URY,2016
121,BRA,Growing crops n.e.c. industry,ARE,0.0006613875372734856,URY,2016
122,BRA,Growing grapes industry,ARE,0.0,URY,2016
123,BRA,Growing fruits and nuts industry,ARE,0.0,URY,2016
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0004419366866587747,URY,2016
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.8942784286482749e-06,URY,2016
