,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.020385087226841053,ARE,2017
1,BRA,Growing maize industry,XAM,0.013530484494993148,ARE,2017
2,BRA,Growing cereals n.e.c industry,XAM,0.001460317529147231,ARE,2017
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.02742930115024642,ARE,2017
4,BRA,Growing rice industry,XAM,1.7095604364020768e-06,ARE,2017
5,BRA,"Growing vegetables, roots, tubers industry",XAM,5.804642443006762e-06,ARE,2017
6,BRA,Growing sugar beet and cane industry,XAM,0.001110455247302697,ARE,2017
7,BRA,Growing tobacco industry,XAM,0.00022164884728372041,ARE,2017
8,BRA,Growing fibre crops industry,XAM,0.0013263105289936486,ARE,2017
9,BRA,Growing crops n.e.c. industry,XAM,6.274454200509575e-05,ARE,2017
10,BRA,Growing grapes industry,XAM,0.0,ARE,2017
11,BRA,Growing fruits and nuts industry,XAM,0.0,ARE,2017
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00028765094886592965,ARE,2017
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.015417779441604e-05,ARE,2017
14,BRA,Seeds and plant propagation industry,XAM,0.0,ARE,2017
15,BRA,Raising of cattle industry,XAM,0.002060007732204798,ARE,2017
16,BRA,Growing wheat industry,XEU,0.002685114699448112,ARE,2017
17,BRA,Growing maize industry,XEU,0.0033902493462523507,ARE,2017
18,BRA,Growing cereals n.e.c industry,XEU,0.0002887082900765333,ARE,2017
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.010884103566325031,ARE,2017
20,BRA,Growing rice industry,XEU,6.193859959874069e-07,ARE,2017
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.573732113795625e-06,ARE,2017
22,BRA,Growing sugar beet and cane industry,XEU,0.00014423871556160412,ARE,2017
23,BRA,Growing tobacco industry,XEU,7.986684417222506e-06,ARE,2017
24,BRA,Growing fibre crops industry,XEU,0.0003968263798232607,ARE,2017
25,BRA,Growing crops n.e.c. industry,XEU,1.0726705159771236e-05,ARE,2017
26,BRA,Growing grapes industry,XEU,0.0,ARE,2017
27,BRA,Growing fruits and nuts industry,XEU,0.0,ARE,2017
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00011216389080740349,ARE,2017
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.553313163997116e-06,ARE,2017
30,BRA,Seeds and plant propagation industry,XEU,0.0,ARE,2017
31,BRA,Raising of cattle industry,XEU,0.00029359496864501,ARE,2017
32,BRA,Growing wheat industry,XAF,0.235549203809123,ARE,2017
33,BRA,Growing maize industry,XAF,0.03327744612056313,ARE,2017
34,BRA,Growing cereals n.e.c industry,XAF,0.003115545829070893,ARE,2017
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.04690834759049551,ARE,2017
36,BRA,Growing rice industry,XAF,2.045500537958397e-06,ARE,2017
37,BRA,"Growing vegetables, roots, tubers industry",XAF,6.8594941616731706e-06,ARE,2017
38,BRA,Growing sugar beet and cane industry,XAF,0.003278145031951083,ARE,2017
39,BRA,Growing tobacco industry,XAF,4.123600374570154e-05,ARE,2017
