,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,5.706800489070417e-07,BDI,2019
1,BRA,Growing maize industry,XAM,9.010965125959307e-07,BDI,2019
2,BRA,Growing cereals n.e.c industry,XAM,3.5180616752413463e-08,BDI,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,1.458201818603601e-06,BDI,2019
4,BRA,Growing rice industry,XAM,0.0,BDI,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,BDI,2019
6,BRA,Growing sugar beet and cane industry,XAM,1.3932693679439729e-08,BDI,2019
7,BRA,Growing tobacco industry,XAM,7.542036735382671e-10,BDI,2019
8,BRA,Growing fibre crops industry,XAM,5.437911574119838e-07,BDI,2019
9,BRA,Growing crops n.e.c. industry,XAM,1.7695621984645428e-09,BDI,2019
10,BRA,Growing grapes industry,XAM,3.4274623095039096e-12,BDI,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,BDI,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.833426499253572e-08,BDI,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.7671898086277907e-10,BDI,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,BDI,2019
15,BRA,Raising of cattle industry,XAM,5.267970729393315e-08,BDI,2019
16,BRA,Growing wheat industry,XEU,3.647498013496535e-07,BDI,2019
17,BRA,Growing maize industry,XEU,5.022682273164125e-07,BDI,2019
18,BRA,Growing cereals n.e.c industry,XEU,2.280723627999051e-08,BDI,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,9.273884360075101e-07,BDI,2019
20,BRA,Growing rice industry,XEU,0.0,BDI,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,BDI,2019
22,BRA,Growing sugar beet and cane industry,XEU,9.540696456421914e-09,BDI,2019
23,BRA,Growing tobacco industry,XEU,4.5982318650203617e-10,BDI,2019
24,BRA,Growing fibre crops industry,XEU,3.234720338949934e-07,BDI,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.0520613113619115e-09,BDI,2019
26,BRA,Growing grapes industry,XEU,2.2616975697527093e-12,BDI,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,BDI,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,2.354162509053745e-08,BDI,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2214172464793036e-10,BDI,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,BDI,2019
31,BRA,Raising of cattle industry,XEU,3.1638648491381604e-08,BDI,2019
32,BRA,Growing wheat industry,XAF,7.799858013876056e-07,BDI,2019
33,BRA,Growing maize industry,XAF,1.7781504032789385e-06,BDI,2019
34,BRA,Growing cereals n.e.c industry,XAF,1.322329276381674e-07,BDI,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,3.6272357185368765e-06,BDI,2019
36,BRA,Growing rice industry,XAF,0.0,BDI,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,BDI,2019
38,BRA,Growing sugar beet and cane industry,XAF,4.584764593386266e-08,BDI,2019
39,BRA,Growing tobacco industry,XAF,1.7006944207527615e-09,BDI,2019
40,BRA,Growing fibre crops industry,XAF,1.0156158063730435e-06,BDI,2019
41,BRA,Growing crops n.e.c. industry,XAF,4.292558845588275e-09,BDI,2019
42,BRA,Growing grapes industry,XAF,6.719348767372809e-12,BDI,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,BDI,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,5.8209581225956784e-08,BDI,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.0684003184412555e-10,BDI,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,BDI,2019
47,BRA,Raising of cattle industry,XAF,1.8044301330890759e-07,BDI,2019
48,BRA,Growing wheat industry,XAS,7.206123087543714e-07,BDI,2019
49,BRA,Growing maize industry,XAS,1.8602086101604173e-06,BDI,2019
50,BRA,Growing cereals n.e.c industry,XAS,6.488350602483871e-08,BDI,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,2.620443248254084e-06,BDI,2019
52,BRA,Growing rice industry,XAS,0.0,BDI,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,BDI,2019
54,BRA,Growing sugar beet and cane industry,XAS,2.341500456149177e-08,BDI,2019
55,BRA,Growing tobacco industry,XAS,1.466725304221995e-09,BDI,2019
56,BRA,Growing fibre crops industry,XAS,1.151492766676899e-06,BDI,2019
57,BRA,Growing crops n.e.c. industry,XAS,3.378805018219639e-09,BDI,2019
58,BRA,Growing grapes industry,XAS,8.03480635833363e-12,BDI,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,BDI,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,4.7209200237075384e-08,BDI,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.1427303333437916e-10,BDI,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,BDI,2019
63,BRA,Raising of cattle industry,XAS,1.2358314843285592e-07,BDI,2019
64,BRA,Growing wheat industry,AFG,4.1050424900133194e-07,BDI,2019
65,BRA,Growing maize industry,AFG,1.2076284705041566e-06,BDI,2019
66,BRA,Growing cereals n.e.c industry,AFG,5.0002323803528747e-08,BDI,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,1.7956238849978555e-06,BDI,2019
68,BRA,Growing rice industry,AFG,0.0,BDI,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,BDI,2019
70,BRA,Growing sugar beet and cane industry,AFG,1.8720777306859226e-08,BDI,2019
71,BRA,Growing tobacco industry,AFG,9.40643034859501e-10,BDI,2019
72,BRA,Growing fibre crops industry,AFG,7.889629932353191e-07,BDI,2019
73,BRA,Growing crops n.e.c. industry,AFG,2.15277243204727e-09,BDI,2019
74,BRA,Growing grapes industry,AFG,5.657777252835069e-12,BDI,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,BDI,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,2.800196833499444e-08,BDI,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.946631281293377e-10,BDI,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,BDI,2019
79,BRA,Raising of cattle industry,AFG,7.568961301805212e-08,BDI,2019
80,BRA,Growing wheat industry,AGO,1.821833658376177e-06,BDI,2019
81,BRA,Growing maize industry,AGO,2.7852733470282234e-06,BDI,2019
82,BRA,Growing cereals n.e.c industry,AGO,1.124275749356665e-07,BDI,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,4.579777312502103e-06,BDI,2019
84,BRA,Growing rice industry,AGO,0.0,BDI,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,BDI,2019
86,BRA,Growing sugar beet and cane industry,AGO,4.298054394337171e-08,BDI,2019
87,BRA,Growing tobacco industry,AGO,2.2711751693750582e-09,BDI,2019
88,BRA,Growing fibre crops industry,AGO,1.6796252751046607e-06,BDI,2019
89,BRA,Growing crops n.e.c. industry,AGO,5.532040886290238e-09,BDI,2019
90,BRA,Growing grapes industry,AGO,1.0675298629094142e-11,BDI,2019
91,BRA,Growing fruits and nuts industry,AGO,0.0,BDI,2019
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,1.1104015295579864e-07,BDI,2019
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,5.287349427947391e-10,BDI,2019
94,BRA,Seeds and plant propagation industry,AGO,0.0,BDI,2019
95,BRA,Raising of cattle industry,AGO,1.7705784561653984e-07,BDI,2019
96,BRA,Growing wheat industry,ALB,1.4967205892405926e-07,BDI,2019
97,BRA,Growing maize industry,ALB,2.7455203006306926e-07,BDI,2019
98,BRA,Growing cereals n.e.c industry,ALB,1.6925937339290077e-08,BDI,2019
99,BRA,Growing leguminous crops and oil seeds industry,ALB,6.361483803207284e-07,BDI,2019
100,BRA,Growing rice industry,ALB,0.0,BDI,2019
101,BRA,"Growing vegetables, roots, tubers industry",ALB,0.0,BDI,2019
102,BRA,Growing sugar beet and cane industry,ALB,7.25277255253166e-09,BDI,2019
103,BRA,Growing tobacco industry,ALB,2.1377499741059497e-10,BDI,2019
104,BRA,Growing fibre crops industry,ALB,1.5311112996041357e-07,BDI,2019
105,BRA,Growing crops n.e.c. industry,ALB,7.174689544256371e-10,BDI,2019
106,BRA,Growing grapes industry,ALB,9.899240257517856e-13,BDI,2019
107,BRA,Growing fruits and nuts industry,ALB,0.0,BDI,2019
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,8.551448328338027e-09,BDI,2019
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,5.977287500962778e-11,BDI,2019
110,BRA,Seeds and plant propagation industry,ALB,0.0,BDI,2019
111,BRA,Raising of cattle industry,ALB,2.5771669866563162e-08,BDI,2019
112,BRA,Growing wheat industry,ARE,4.679752219719443e-05,BDI,2019
113,BRA,Growing maize industry,ARE,0.00016734683526316253,BDI,2019
114,BRA,Growing cereals n.e.c industry,ARE,6.650309804259938e-06,BDI,2019
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.00025888390998756795,BDI,2019
116,BRA,Growing rice industry,ARE,0.0,BDI,2019
117,BRA,"Growing vegetables, roots, tubers industry",ARE,0.0,BDI,2019
118,BRA,Growing sugar beet and cane industry,ARE,2.3164854098492235e-06,BDI,2019
119,BRA,Growing tobacco industry,ARE,1.4985805482457596e-07,BDI,2019
120,BRA,Growing fibre crops industry,ARE,0.00011016085957451193,BDI,2019
121,BRA,Growing crops n.e.c. industry,ARE,3.3045545199187344e-07,BDI,2019
122,BRA,Growing grapes industry,ARE,8.242822691643667e-10,BDI,2019
123,BRA,Growing fruits and nuts industry,ARE,0.0,BDI,2019
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,2.9209364723127043e-06,BDI,2019
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,3.157886060849714e-08,BDI,2019
126,BRA,Seeds and plant propagation industry,ARE,0.0,BDI,2019
127,BRA,Raising of cattle industry,ARE,1.349083839193682e-05,BDI,2019
128,BRA,Growing wheat industry,ARG,1.2518552413173271e-06,BDI,2019
129,BRA,Growing maize industry,ARG,2.975642031718841e-06,BDI,2019
130,BRA,Growing cereals n.e.c industry,ARG,1.7535933804338694e-07,BDI,2019
131,BRA,Growing leguminous crops and oil seeds industry,ARG,7.749133477572075e-06,BDI,2019
132,BRA,Growing rice industry,ARG,0.0,BDI,2019
133,BRA,"Growing vegetables, roots, tubers industry",ARG,0.0,BDI,2019
134,BRA,Growing sugar beet and cane industry,ARG,6.071182580896368e-08,BDI,2019
135,BRA,Growing tobacco industry,ARG,2.101114765019624e-09,BDI,2019
136,BRA,Growing fibre crops industry,ARG,2.4916648486591786e-06,BDI,2019
137,BRA,Growing crops n.e.c. industry,ARG,7.677170326770165e-09,BDI,2019
138,BRA,Growing grapes industry,ARG,9.75042665397976e-12,BDI,2019
139,BRA,Growing fruits and nuts industry,ARG,0.0,BDI,2019
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,1.9139293534545244e-07,BDI,2019
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.947728864244106e-10,BDI,2019
142,BRA,Seeds and plant propagation industry,ARG,0.0,BDI,2019
143,BRA,Raising of cattle industry,ARG,1.7790356336437508e-07,BDI,2019
144,BRA,Growing wheat industry,ARM,2.400442804402789e-07,BDI,2019
145,BRA,Growing maize industry,ARM,3.4302716452056655e-07,BDI,2019
146,BRA,Growing cereals n.e.c industry,ARM,1.5358538293059146e-08,BDI,2019
147,BRA,Growing leguminous crops and oil seeds industry,ARM,6.990857415625042e-07,BDI,2019
148,BRA,Growing rice industry,ARM,0.0,BDI,2019
