,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00020349358057402943,EGY,2019
1,BRA,Growing maize industry,XAM,0.0005666841643573627,EGY,2019
2,BRA,Growing cereals n.e.c industry,XAM,1.1683256610019627e-05,EGY,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0005624250218673899,EGY,2019
4,BRA,Growing rice industry,XAM,0.0,EGY,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,EGY,2019
6,BRA,Growing sugar beet and cane industry,XAM,5.998850578288247e-06,EGY,2019
7,BRA,Growing tobacco industry,XAM,2.0729477867850303e-07,EGY,2019
8,BRA,Growing fibre crops industry,XAM,0.0001333788751329513,EGY,2019
9,BRA,Growing crops n.e.c. industry,XAM,3.8893142407122584e-07,EGY,2019
10,BRA,Growing grapes industry,XAM,1.4659798332012738e-09,EGY,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,EGY,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.721691430858513e-06,EGY,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.4819477249626846e-07,EGY,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,EGY,2019
15,BRA,Raising of cattle industry,XAM,4.892721579473313e-05,EGY,2019
16,BRA,Growing wheat industry,XEU,4.6812003541282615e-05,EGY,2019
17,BRA,Growing maize industry,XEU,0.0001293791537681917,EGY,2019
18,BRA,Growing cereals n.e.c industry,XEU,2.9949346637455236e-06,EGY,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00016492123937649606,EGY,2019
20,BRA,Growing rice industry,XEU,0.0,EGY,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,EGY,2019
22,BRA,Growing sugar beet and cane industry,XEU,1.9486763308165838e-06,EGY,2019
23,BRA,Growing tobacco industry,XEU,5.707283656540399e-08,EGY,2019
24,BRA,Growing fibre crops industry,XEU,4.132206310869184e-05,EGY,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.3510049183383596e-07,EGY,2019
26,BRA,Growing grapes industry,XEU,5.056938481576048e-10,EGY,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,EGY,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,8.181439913258491e-07,EGY,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.9930260517353378e-08,EGY,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,EGY,2019
31,BRA,Raising of cattle industry,XEU,2.4457944813261305e-05,EGY,2019
32,BRA,Growing wheat industry,XAF,0.0013487644337082483,EGY,2019
33,BRA,Growing maize industry,XAF,0.003916465991203889,EGY,2019
34,BRA,Growing cereals n.e.c industry,XAF,2.346863867206569e-05,EGY,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.001731039824477559,EGY,2019
36,BRA,Growing rice industry,XAF,0.0,EGY,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,EGY,2019
38,BRA,Growing sugar beet and cane industry,XAF,2.6465579546643577e-05,EGY,2019
39,BRA,Growing tobacco industry,XAF,5.434709315665134e-07,EGY,2019
40,BRA,Growing fibre crops industry,XAF,0.0003353275967362497,EGY,2019
41,BRA,Growing crops n.e.c. industry,XAF,1.7477226516423846e-06,EGY,2019
42,BRA,Growing grapes industry,XAF,3.7777851370000396e-09,EGY,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,EGY,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,6.405105316485324e-06,EGY,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.3172758102390418e-07,EGY,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,EGY,2019
47,BRA,Raising of cattle industry,XAF,0.0005694252853291443,EGY,2019
48,BRA,Growing wheat industry,XAS,0.0006113525802875275,EGY,2019
49,BRA,Growing maize industry,XAS,0.001450384382277277,EGY,2019
50,BRA,Growing cereals n.e.c industry,XAS,8.36372076571711e-06,EGY,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0004994685108361576,EGY,2019
52,BRA,Growing rice industry,XAS,0.0,EGY,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,EGY,2019
54,BRA,Growing sugar beet and cane industry,XAS,6.7450147622511e-06,EGY,2019
55,BRA,Growing tobacco industry,XAS,1.5070775821713988e-07,EGY,2019
56,BRA,Growing fibre crops industry,XAS,0.00012212224535237138,EGY,2019
57,BRA,Growing crops n.e.c. industry,XAS,3.8757910067521194e-07,EGY,2019
58,BRA,Growing grapes industry,XAS,1.2540152444443925e-09,EGY,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,EGY,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,2.0555514083318643e-06,EGY,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.0573368019069898e-07,EGY,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,EGY,2019
63,BRA,Raising of cattle industry,XAS,0.00013900894737452422,EGY,2019
64,BRA,Growing wheat industry,AFG,0.00014163554844130505,EGY,2019
65,BRA,Growing maize industry,AFG,0.00036553340212300685,EGY,2019
66,BRA,Growing cereals n.e.c industry,AFG,8.065839470379413e-06,EGY,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0003462515842182193,EGY,2019
68,BRA,Growing rice industry,AFG,0.0,EGY,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,EGY,2019
70,BRA,Growing sugar beet and cane industry,AFG,4.453351733996771e-06,EGY,2019
71,BRA,Growing tobacco industry,AFG,1.447755944639177e-07,EGY,2019
72,BRA,Growing fibre crops industry,AFG,8.525324847973103e-05,EGY,2019
73,BRA,Growing crops n.e.c. industry,AFG,2.297836388641829e-07,EGY,2019
74,BRA,Growing grapes industry,AFG,9.829768908297505e-10,EGY,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,EGY,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,1.5567903403229806e-06,EGY,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.9143280781804624e-07,EGY,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,EGY,2019
79,BRA,Raising of cattle industry,AFG,5.169257064687096e-05,EGY,2019
80,BRA,Growing wheat industry,AGO,0.008316490397302229,EGY,2019
81,BRA,Growing maize industry,AGO,0.015298366866414316,EGY,2019
82,BRA,Growing cereals n.e.c industry,AGO,0.00011449971287032664,EGY,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.005717188452104321,EGY,2019
84,BRA,Growing rice industry,AGO,0.0,EGY,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,EGY,2019
86,BRA,Growing sugar beet and cane industry,AGO,7.908009782828934e-05,EGY,2019
87,BRA,Growing tobacco industry,AGO,2.166340476629352e-06,EGY,2019
88,BRA,Growing fibre crops industry,AGO,0.0011630875288910576,EGY,2019
89,BRA,Growing crops n.e.c. industry,AGO,3.9211004470409854e-06,EGY,2019
90,BRA,Growing grapes industry,AGO,1.3499518763866938e-08,EGY,2019
91,BRA,Growing fruits and nuts industry,AGO,0.0,EGY,2019
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,2.611531184725867e-05,EGY,2019
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,6.499780817455879e-07,EGY,2019
94,BRA,Seeds and plant propagation industry,AGO,0.0,EGY,2019
95,BRA,Raising of cattle industry,AGO,0.0013762246214265932,EGY,2019
96,BRA,Growing wheat industry,ALB,0.0007913196970658863,EGY,2019
97,BRA,Growing maize industry,ALB,0.0020853853621310534,EGY,2019
98,BRA,Growing cereals n.e.c industry,ALB,6.224358798411716e-05,EGY,2019
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0019654951023554217,EGY,2019
100,BRA,Growing rice industry,ALB,0.0,EGY,2019
101,BRA,"Growing vegetables, roots, tubers industry",ALB,0.0,EGY,2019
102,BRA,Growing sugar beet and cane industry,ALB,3.72021779248329e-05,EGY,2019
103,BRA,Growing tobacco industry,ALB,1.1067551875883162e-06,EGY,2019
104,BRA,Growing fibre crops industry,ALB,0.0003728284610355234,EGY,2019
105,BRA,Growing crops n.e.c. industry,ALB,1.7728787855823926e-06,EGY,2019
106,BRA,Growing grapes industry,ALB,4.672311305706195e-09,EGY,2019
107,BRA,Growing fruits and nuts industry,ALB,0.0,EGY,2019
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,9.893919886452416e-06,EGY,2019
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,3.0406799487800526e-07,EGY,2019
110,BRA,Seeds and plant propagation industry,ALB,0.0,EGY,2019
111,BRA,Raising of cattle industry,ALB,0.00046375234014874695,EGY,2019
112,BRA,Growing wheat industry,ARE,0.010625233994583311,EGY,2019
113,BRA,Growing maize industry,ARE,0.02779790789198392,EGY,2019
114,BRA,Growing cereals n.e.c industry,ARE,0.00024162140219502666,EGY,2019
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.010516172911516384,EGY,2019
116,BRA,Growing rice industry,ARE,0.0,EGY,2019
117,BRA,"Growing vegetables, roots, tubers industry",ARE,0.0,EGY,2019
118,BRA,Growing sugar beet and cane industry,ARE,0.0005732807248700773,EGY,2019
119,BRA,Growing tobacco industry,ARE,2.6261016734997945e-06,EGY,2019
120,BRA,Growing fibre crops industry,ARE,0.0017690277253204565,EGY,2019
121,BRA,Growing crops n.e.c. industry,ARE,2.2301368015009145e-05,EGY,2019
122,BRA,Growing grapes industry,ARE,3.855459136741192e-08,EGY,2019
123,BRA,Growing fruits and nuts industry,ARE,0.0,EGY,2019
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,5.112285265750661e-05,EGY,2019
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.4160069150253094e-06,EGY,2019
126,BRA,Seeds and plant propagation industry,ARE,0.0,EGY,2019
127,BRA,Raising of cattle industry,ARE,0.015876887495689447,EGY,2019
128,BRA,Growing wheat industry,ARG,0.00017994673169865428,EGY,2019
129,BRA,Growing maize industry,ARG,0.000694917245115898,EGY,2019
130,BRA,Growing cereals n.e.c industry,ARG,2.5582783265706682e-05,EGY,2019
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0014869675647076813,EGY,2019
132,BRA,Growing rice industry,ARG,0.0,EGY,2019
133,BRA,"Growing vegetables, roots, tubers industry",ARG,0.0,EGY,2019
134,BRA,Growing sugar beet and cane industry,ARG,1.1826158441537922e-05,EGY,2019
135,BRA,Growing tobacco industry,ARG,5.082920075780722e-07,EGY,2019
136,BRA,Growing fibre crops industry,ARG,0.0003841778131266334,EGY,2019
137,BRA,Growing crops n.e.c. industry,ARG,1.253789062388037e-06,EGY,2019
138,BRA,Growing grapes industry,ARG,3.691756189167645e-09,EGY,2019
139,BRA,Growing fruits and nuts industry,ARG,0.0,EGY,2019
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,6.151998352233783e-06,EGY,2019
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,2.8240641057572337e-07,EGY,2019
142,BRA,Seeds and plant propagation industry,ARG,0.0,EGY,2019
143,BRA,Raising of cattle industry,ARG,5.599690695437468e-05,EGY,2019
144,BRA,Growing wheat industry,ARM,0.00019907482780650277,EGY,2019
145,BRA,Growing maize industry,ARM,0.0004883697714035389,EGY,2019
146,BRA,Growing cereals n.e.c industry,ARM,1.009344435625166e-05,EGY,2019
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.0003493078243336419,EGY,2019
148,BRA,Growing rice industry,ARM,0.0,EGY,2019
149,BRA,"Growing vegetables, roots, tubers industry",ARM,0.0,EGY,2019
150,BRA,Growing sugar beet and cane industry,ARM,4.78949132198833e-06,EGY,2019
151,BRA,Growing tobacco industry,ARM,1.6911180506512748e-07,EGY,2019
152,BRA,Growing fibre crops industry,ARM,7.522090116704694e-05,EGY,2019
153,BRA,Growing crops n.e.c. industry,ARM,1.9295533740626747e-07,EGY,2019
