,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00042431595467959724,PAK,2019
1,BRA,Growing maize industry,XAM,0.0005038196846815046,PAK,2019
2,BRA,Growing cereals n.e.c industry,XAM,8.817160925352827e-06,PAK,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0033224312666962795,PAK,2019
4,BRA,Growing rice industry,XAM,0.0,PAK,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,PAK,2019
6,BRA,Growing sugar beet and cane industry,XAM,4.454047534072997e-06,PAK,2019
7,BRA,Growing tobacco industry,XAM,3.8009591343739296e-07,PAK,2019
8,BRA,Growing fibre crops industry,XAM,0.00047271891573256894,PAK,2019
9,BRA,Growing crops n.e.c. industry,XAM,9.246803638273047e-07,PAK,2019
10,BRA,Growing grapes industry,XAM,1.5397446458595482e-09,PAK,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,PAK,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,4.5218516888928455e-06,PAK,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.344134052385168e-07,PAK,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,PAK,2019
15,BRA,Raising of cattle industry,XAM,2.3163183549276776e-05,PAK,2019
16,BRA,Growing wheat industry,XEU,0.00010471513201439477,PAK,2019
17,BRA,Growing maize industry,XEU,8.464307019512786e-05,PAK,2019
18,BRA,Growing cereals n.e.c industry,XEU,1.8766117664763252e-06,PAK,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0005239791275773925,PAK,2019
20,BRA,Growing rice industry,XEU,0.0,PAK,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,PAK,2019
22,BRA,Growing sugar beet and cane industry,XEU,8.958548290528089e-07,PAK,2019
23,BRA,Growing tobacco industry,XEU,8.642203708334428e-08,PAK,2019
24,BRA,Growing fibre crops industry,XEU,7.904761777235635e-05,PAK,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.6013212008705035e-07,PAK,2019
26,BRA,Growing grapes industry,XEU,2.8520302750916284e-10,PAK,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,PAK,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,8.66562970437299e-07,PAK,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.877100819801319e-07,PAK,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,PAK,2019
31,BRA,Raising of cattle industry,XEU,4.055058623864377e-06,PAK,2019
32,BRA,Growing wheat industry,XAF,0.0018757367493455461,PAK,2019
33,BRA,Growing maize industry,XAF,0.0006208670577076127,PAK,2019
34,BRA,Growing cereals n.e.c industry,XAF,1.0959935022881227e-05,PAK,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.003138962544269968,PAK,2019
36,BRA,Growing rice industry,XAF,0.0,PAK,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,PAK,2019
38,BRA,Growing sugar beet and cane industry,XAF,5.23055477253179e-06,PAK,2019
39,BRA,Growing tobacco industry,XAF,3.089067293880287e-07,PAK,2019
40,BRA,Growing fibre crops industry,XAF,0.0006541699673801192,PAK,2019
41,BRA,Growing crops n.e.c. industry,XAF,1.2809471326250495e-06,PAK,2019
42,BRA,Growing grapes industry,XAF,1.6803072000221173e-09,PAK,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,PAK,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,4.9394760507966735e-06,PAK,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.681741279441182e-07,PAK,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,PAK,2019
47,BRA,Raising of cattle industry,XAF,4.319478362523252e-05,PAK,2019
48,BRA,Growing wheat industry,XAS,0.0013719446090202769,PAK,2019
49,BRA,Growing maize industry,XAS,0.0006245054411747348,PAK,2019
50,BRA,Growing cereals n.e.c industry,XAS,1.1793128761001675e-05,PAK,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0028502138054900374,PAK,2019
52,BRA,Growing rice industry,XAS,0.0,PAK,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,PAK,2019
54,BRA,Growing sugar beet and cane industry,XAS,5.379719590060109e-06,PAK,2019
55,BRA,Growing tobacco industry,XAS,3.9230643122182646e-07,PAK,2019
56,BRA,Growing fibre crops industry,XAS,0.000756939016056044,PAK,2019
57,BRA,Growing crops n.e.c. industry,XAS,1.2045974853072739e-06,PAK,2019
58,BRA,Growing grapes industry,XAS,1.7591161000383053e-09,PAK,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,PAK,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,4.801776611742917e-06,PAK,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.066247898776789e-06,PAK,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,PAK,2019
63,BRA,Raising of cattle industry,XAS,2.6990947954765792e-05,PAK,2019
64,BRA,Growing wheat industry,AFG,0.06618307995578679,PAK,2019
65,BRA,Growing maize industry,AFG,0.016373875087491108,PAK,2019
66,BRA,Growing cereals n.e.c industry,AFG,0.00023852903157469234,PAK,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.04028256911616711,PAK,2019
68,BRA,Growing rice industry,AFG,0.0,PAK,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,PAK,2019
70,BRA,Growing sugar beet and cane industry,AFG,0.00010579584795511163,PAK,2019
71,BRA,Growing tobacco industry,AFG,7.3937996072596615e-06,PAK,2019
72,BRA,Growing fibre crops industry,AFG,0.019296820728683904,PAK,2019
73,BRA,Growing crops n.e.c. industry,AFG,2.8083143801316468e-05,PAK,2019
74,BRA,Growing grapes industry,AFG,4.1799927273796654e-08,PAK,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,PAK,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,9.074927247388394e-05,PAK,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.0780473527508204e-05,PAK,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,PAK,2019
79,BRA,Raising of cattle industry,AFG,0.00046611759070303905,PAK,2019
80,BRA,Growing wheat industry,AGO,0.032667540938567864,PAK,2019
81,BRA,Growing maize industry,AGO,0.003346398678227402,PAK,2019
82,BRA,Growing cereals n.e.c industry,AGO,4.2894448050629075e-05,PAK,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.008719892859237204,PAK,2019
84,BRA,Growing rice industry,AGO,0.0,PAK,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,PAK,2019
86,BRA,Growing sugar beet and cane industry,AGO,1.9685173396046242e-05,PAK,2019
