,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,5.501466317464818e-05,SLV,2019
1,BRA,Growing maize industry,XAM,0.0005479377236726742,SLV,2019
2,BRA,Growing cereals n.e.c industry,XAM,0.00021665794168539116,SLV,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0033322194409105494,SLV,2019
4,BRA,Growing rice industry,XAM,0.0,SLV,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,SLV,2019
6,BRA,Growing sugar beet and cane industry,XAM,6.713862725344788e-05,SLV,2019
7,BRA,Growing tobacco industry,XAM,1.1628638848026232e-06,SLV,2019
8,BRA,Growing fibre crops industry,XAM,0.00046836688900975867,SLV,2019
9,BRA,Growing crops n.e.c. industry,XAM,2.497231285639382e-06,SLV,2019
10,BRA,Growing grapes industry,XAM,2.9567926717546777e-09,SLV,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,SLV,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00021420309621297606,SLV,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.88445122074979e-07,SLV,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,SLV,2019
15,BRA,Raising of cattle industry,XAM,0.00015797422927564468,SLV,2019
16,BRA,Growing wheat industry,XEU,5.062739069696078e-06,SLV,2019
17,BRA,Growing maize industry,XEU,4.7250820355844206e-05,SLV,2019
18,BRA,Growing cereals n.e.c industry,XEU,1.9851325601397996e-05,SLV,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003639081336271649,SLV,2019
20,BRA,Growing rice industry,XEU,0.0,SLV,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,SLV,2019
22,BRA,Growing sugar beet and cane industry,XEU,6.248305065688257e-06,SLV,2019
23,BRA,Growing tobacco industry,XEU,9.44587061379114e-08,SLV,2019
24,BRA,Growing fibre crops industry,XEU,5.2064462690756404e-05,SLV,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.9903732923653563e-07,SLV,2019
26,BRA,Growing grapes industry,XEU,3.1743164530359674e-10,SLV,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,SLV,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,2.019150563376647e-05,SLV,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.007645135445e-07,SLV,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,SLV,2019
31,BRA,Raising of cattle industry,XEU,1.690441853175929e-05,SLV,2019
32,BRA,Growing wheat industry,XAF,7.237598683944025e-07,SLV,2019
33,BRA,Growing maize industry,XAF,7.2360849804695665e-06,SLV,2019
34,BRA,Growing cereals n.e.c industry,XAF,1.9646668115802603e-06,SLV,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,5.014073996921013e-05,SLV,2019
36,BRA,Growing rice industry,XAF,0.0,SLV,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,SLV,2019
38,BRA,Growing sugar beet and cane industry,XAF,5.603963704458959e-07,SLV,2019
39,BRA,Growing tobacco industry,XAF,2.163915606123187e-08,SLV,2019
40,BRA,Growing fibre crops industry,XAF,8.659736874742796e-06,SLV,2019
41,BRA,Growing crops n.e.c. industry,XAF,3.514709091363519e-08,SLV,2019
42,BRA,Growing grapes industry,XAF,4.6629973294261214e-11,SLV,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,SLV,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,2.5559834906655233e-06,SLV,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.9508750324561555e-09,SLV,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,SLV,2019
47,BRA,Raising of cattle industry,XAF,1.4638498401910532e-06,SLV,2019
48,BRA,Growing wheat industry,XAS,1.3054489548732992e-06,SLV,2019
49,BRA,Growing maize industry,XAS,1.1653636948051516e-05,SLV,2019
50,BRA,Growing cereals n.e.c industry,XAS,5.111536353333217e-06,SLV,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0001084263580919798,SLV,2019
52,BRA,Growing rice industry,XAS,0.0,SLV,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,SLV,2019
54,BRA,Growing sugar beet and cane industry,XAS,1.3425471123156636e-06,SLV,2019
55,BRA,Growing tobacco industry,XAS,3.146604379832411e-08,SLV,2019
56,BRA,Growing fibre crops industry,XAS,1.532469927632411e-05,SLV,2019
57,BRA,Growing crops n.e.c. industry,XAS,5.3767697217600813e-08,SLV,2019
