,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.9696970811829e-08,ALB,2012
1,COD,Growing maize industry,XAM,2.619543834159138e-06,ALB,2012
2,COD,Growing cereals n.e.c industry,XAM,1.0762948697450013e-08,ALB,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,6.633307745375237e-07,ALB,2012
4,COD,Growing rice industry,XAM,1.9690782244943442e-06,ALB,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.871176684402156e-07,ALB,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,ALB,2012
7,COD,Growing tobacco industry,XAM,6.574242055643562e-09,ALB,2012
8,COD,Growing fibre crops industry,XAM,4.793275336337015e-07,ALB,2012
9,COD,Growing crops n.e.c. industry,XAM,3.641968426932588e-09,ALB,2012
10,COD,Growing grapes industry,XAM,0.0,ALB,2012
11,COD,Growing fruits and nuts industry,XAM,1.453611377214722e-06,ALB,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.067184862633622e-08,ALB,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.1683544178722116e-09,ALB,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,ALB,2012
15,COD,Raising of cattle industry,XAM,2.7087770225399397e-05,ALB,2012
16,COD,Growing wheat industry,XEU,3.262176010875953e-08,ALB,2012
17,COD,Growing maize industry,XEU,1.476959805035624e-06,ALB,2012
18,COD,Growing cereals n.e.c industry,XEU,6.964049537413028e-09,ALB,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.2609067109025356e-07,ALB,2012
20,COD,Growing rice industry,XEU,1.299454758115176e-06,ALB,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.371726294068235e-07,ALB,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,ALB,2012
23,COD,Growing tobacco industry,XEU,3.7173083889812906e-09,ALB,2012
24,COD,Growing fibre crops industry,XEU,2.900742903859105e-07,ALB,2012
25,COD,Growing crops n.e.c. industry,XEU,2.368628701928051e-09,ALB,2012
26,COD,Growing grapes industry,XEU,0.0,ALB,2012
27,COD,Growing fruits and nuts industry,XEU,8.157015221233362e-07,ALB,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1223168225844897e-08,ALB,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1935931492040856e-09,ALB,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,ALB,2012
31,COD,Raising of cattle industry,XEU,1.6618411583027933e-05,ALB,2012
32,COD,Growing wheat industry,XAF,1.7521667100385242e-08,ALB,2012
33,COD,Growing maize industry,XAF,1.0500136353446665e-06,ALB,2012
34,COD,Growing cereals n.e.c industry,XAF,3.929699007946699e-09,ALB,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.4035366877388776e-07,ALB,2012
36,COD,Growing rice industry,XAF,6.745468639950947e-07,ALB,2012
