,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.711433559726562e-06,CAN,2012
1,COD,Growing maize industry,XAM,0.0017514074838893066,CAN,2012
2,COD,Growing cereals n.e.c industry,XAM,1.3261162198275446e-06,CAN,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.011822418691123068,CAN,2012
4,COD,Growing rice industry,XAM,0.00018432295052921944,CAN,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.004864012500866144,CAN,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,CAN,2012
7,COD,Growing tobacco industry,XAM,9.014837002630522e-07,CAN,2012
8,COD,Growing fibre crops industry,XAM,0.00046942052314540483,CAN,2012
9,COD,Growing crops n.e.c. industry,XAM,4.145292317091042e-07,CAN,2012
10,COD,Growing grapes industry,XAM,0.0,CAN,2012
11,COD,Growing fruits and nuts industry,XAM,0.005734468576540311,CAN,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.4903093225531904e-05,CAN,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2750844813514513e-06,CAN,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,CAN,2012
15,COD,Raising of cattle industry,XAM,0.001846310573149156,CAN,2012
16,COD,Growing wheat industry,XEU,1.568236208674401e-07,CAN,2012
17,COD,Growing maize industry,XEU,3.2741693517652516e-05,CAN,2012
18,COD,Growing cereals n.e.c industry,XEU,3.370452186730126e-08,CAN,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.731974080016017e-05,CAN,2012
20,COD,Growing rice industry,XEU,4.832978390753301e-06,CAN,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.2712605378602676e-05,CAN,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,CAN,2012
23,COD,Growing tobacco industry,XEU,2.816316169560839e-08,CAN,2012
24,COD,Growing fibre crops industry,XEU,4.70279450952674e-06,CAN,2012
25,COD,Growing crops n.e.c. industry,XEU,1.2110970715894888e-08,CAN,2012
26,COD,Growing grapes industry,XEU,0.0,CAN,2012
27,COD,Growing fruits and nuts industry,XEU,5.615724301425488e-05,CAN,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.895371032731977e-07,CAN,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.047883687004972e-08,CAN,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,CAN,2012
31,COD,Raising of cattle industry,XEU,5.369323945918145e-05,CAN,2012
32,COD,Growing wheat industry,XAF,1.332031835950457e-07,CAN,2012
33,COD,Growing maize industry,XAF,2.698575183372406e-05,CAN,2012
34,COD,Growing cereals n.e.c industry,XAF,2.9274185539106223e-08,CAN,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.526135177166382e-05,CAN,2012
36,COD,Growing rice industry,XAF,3.959118056822312e-06,CAN,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.542550079661098e-05,CAN,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,CAN,2012
39,COD,Growing tobacco industry,XAF,2.0042936817525852e-08,CAN,2012
40,COD,Growing fibre crops industry,XAF,4.572481183567938e-06,CAN,2012
41,COD,Growing crops n.e.c. industry,XAF,1.0639959977988617e-08,CAN,2012
42,COD,Growing grapes industry,XAF,0.0,CAN,2012
43,COD,Growing fruits and nuts industry,XAF,5.278596601356152e-05,CAN,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.479674723858028e-07,CAN,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.336782742571894e-08,CAN,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,CAN,2012
47,COD,Raising of cattle industry,XAF,4.3603513590296474e-05,CAN,2012
48,COD,Growing wheat industry,XAS,3.016324671362361e-07,CAN,2012
49,COD,Growing maize industry,XAS,6.974544710580413e-05,CAN,2012
50,COD,Growing cereals n.e.c industry,XAS,6.931802249154641e-08,CAN,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.00018157141850774574,CAN,2012
52,COD,Growing rice industry,XAS,8.978082170662657e-06,CAN,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,8.339491371325082e-05,CAN,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,CAN,2012
55,COD,Growing tobacco industry,XAS,4.5042687558375016e-08,CAN,2012
56,COD,Growing fibre crops industry,XAS,9.649109891243354e-06,CAN,2012
57,COD,Growing crops n.e.c. industry,XAS,2.3717298676788684e-08,CAN,2012
58,COD,Growing grapes industry,XAS,0.0,CAN,2012
59,COD,Growing fruits and nuts industry,XAS,0.00012071093160549826,CAN,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.660625532091882e-07,CAN,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.134407043306969e-08,CAN,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,CAN,2012
63,COD,Raising of cattle industry,XAS,9.953222969869165e-05,CAN,2012
64,COD,Growing wheat industry,AFG,1.4080532400004387e-07,CAN,2012
65,COD,Growing maize industry,AFG,2.180157705219756e-05,CAN,2012
66,COD,Growing cereals n.e.c industry,AFG,3.043441476602415e-08,CAN,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,4.748649954504039e-05,CAN,2012
68,COD,Growing rice industry,AFG,4.116759737411575e-06,CAN,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.2118192307322787e-05,CAN,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,CAN,2012
71,COD,Growing tobacco industry,AFG,2.67499191683424e-08,CAN,2012
72,COD,Growing fibre crops industry,AFG,3.807881266755925e-06,CAN,2012
73,COD,Growing crops n.e.c. industry,AFG,1.1878674366447548e-08,CAN,2012
74,COD,Growing grapes industry,AFG,0.0,CAN,2012
75,COD,Growing fruits and nuts industry,AFG,3.399030832435292e-05,CAN,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.8021221096046267e-07,CAN,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.1927797831556667e-08,CAN,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,CAN,2012
79,COD,Raising of cattle industry,AFG,5.134191937856426e-05,CAN,2012
80,COD,Growing wheat industry,AGO,1.1588769273809735e-06,CAN,2012
81,COD,Growing maize industry,AGO,0.00021290648941140735,CAN,2012
82,COD,Growing cereals n.e.c industry,AGO,2.715578147267153e-07,CAN,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,0.0005049839036065861,CAN,2012
84,COD,Growing rice industry,AGO,3.370694657345261e-05,CAN,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,0.0002320639372213727,CAN,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,CAN,2012
87,COD,Growing tobacco industry,AGO,2.051101108284388e-07,CAN,2012
88,COD,Growing fibre crops industry,AGO,3.7826654945724716e-05,CAN,2012
89,COD,Growing crops n.e.c. industry,AGO,1.0074837679190419e-07,CAN,2012
90,COD,Growing grapes industry,AGO,0.0,CAN,2012
91,COD,Growing fruits and nuts industry,AGO,0.0003656111315655678,CAN,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.8120138933958493e-06,CAN,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.176864354634021e-07,CAN,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,CAN,2012
95,COD,Raising of cattle industry,AGO,0.000396875607423052,CAN,2012
96,COD,Growing wheat industry,ALB,1.2070630597513696e-07,CAN,2012
97,COD,Growing maize industry,ALB,2.6697104872358785e-05,CAN,2012
98,COD,Growing cereals n.e.c industry,ALB,2.7770692407786627e-08,CAN,2012
99,COD,Growing leguminous crops and oil seeds industry,ALB,8.016353663535793e-05,CAN,2012
100,COD,Growing rice industry,ALB,3.605429616273425e-06,CAN,2012
101,COD,"Growing vegetables, roots, tubers industry",ALB,3.454148534336281e-05,CAN,2012
102,COD,Growing sugar beet and cane industry,ALB,0.0,CAN,2012
103,COD,Growing tobacco industry,ALB,1.7912796046084665e-08,CAN,2012
104,COD,Growing fibre crops industry,ALB,4.025443426706615e-06,CAN,2012
105,COD,Growing crops n.e.c. industry,ALB,1.0117890404577594e-08,CAN,2012
106,COD,Growing grapes industry,ALB,0.0,CAN,2012
107,COD,Growing fruits and nuts industry,ALB,4.7571651736874025e-05,CAN,2012
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.1922596837860623e-07,CAN,2012
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.344303532423983e-08,CAN,2012
110,COD,Seeds and plant propagation industry,ALB,0.0,CAN,2012
111,COD,Raising of cattle industry,ALB,4.0761333158768766e-05,CAN,2012
112,COD,Growing wheat industry,ARE,1.6002194930745199e-06,CAN,2012
113,COD,Growing maize industry,ARE,0.0004959779303200572,CAN,2012
114,COD,Growing cereals n.e.c industry,ARE,3.805789781132542e-07,CAN,2012
