,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.701684245050504e-08,ERI,2012
1,COD,Growing maize industry,XAM,6.361335781209625e-07,ERI,2012
2,COD,Growing cereals n.e.c industry,XAM,2.9537827494812835e-09,ERI,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.1038071924135918e-07,ERI,2012
4,COD,Growing rice industry,XAM,8.362924707234129e-07,ERI,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.6446846436642844e-07,ERI,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,ERI,2012
7,COD,Growing tobacco industry,XAM,1.799736933875789e-09,ERI,2012
8,COD,Growing fibre crops industry,XAM,1.0723654247384144e-07,ERI,2012
9,COD,Growing crops n.e.c. industry,XAM,1.2721813475841637e-09,ERI,2012
10,COD,Growing grapes industry,XAM,0.0,ERI,2012
11,COD,Growing fruits and nuts industry,XAM,1.825571734799015e-07,ERI,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.169044544136551e-09,ERI,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.496548074850817e-10,ERI,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,ERI,2012
15,COD,Raising of cattle industry,XAM,8.520914509460953e-06,ERI,2012
16,COD,Growing wheat industry,XEU,5.626086059664738e-09,ERI,2012
17,COD,Growing maize industry,XEU,2.05955070767782e-07,ERI,2012
18,COD,Growing cereals n.e.c industry,XEU,9.989830723996975e-10,ERI,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,6.639203159709306e-08,ERI,2012
20,COD,Growing rice industry,XEU,3.6572675256033056e-07,ERI,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.923620196947659e-08,ERI,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,ERI,2012
23,COD,Growing tobacco industry,XEU,5.476779333456538e-10,ERI,2012
24,COD,Growing fibre crops industry,XEU,3.205811087867314e-08,ERI,2012
25,COD,Growing crops n.e.c. industry,XEU,4.20944920337482e-10,ERI,2012
26,COD,Growing grapes industry,XEU,0.0,ERI,2012
27,COD,Growing fruits and nuts industry,XEU,3.113462011654194e-08,ERI,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.137293742521099e-10,ERI,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1563672707969945e-10,ERI,2012
