,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.7115618587498654e-08,HTI,2012
1,COD,Growing maize industry,XAM,9.130594841623594e-07,HTI,2012
2,COD,Growing cereals n.e.c industry,XAM,4.598323926867758e-09,HTI,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.4259874648255283e-07,HTI,2012
4,COD,Growing rice industry,XAM,1.0386125461451229e-06,HTI,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.2788677400112122e-07,HTI,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,HTI,2012
7,COD,Growing tobacco industry,XAM,1.6092160673244568e-09,HTI,2012
8,COD,Growing fibre crops industry,XAM,2.3195490406243312e-07,HTI,2012
9,COD,Growing crops n.e.c. industry,XAM,1.8855640181896122e-09,HTI,2012
10,COD,Growing grapes industry,XAM,0.0,HTI,2012
11,COD,Growing fruits and nuts industry,XAM,2.79480545837507e-07,HTI,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.4570841218417193e-09,HTI,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.559100178739742e-10,HTI,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,HTI,2012
15,COD,Raising of cattle industry,XAM,8.668621600462488e-06,HTI,2012
16,COD,Growing wheat industry,XEU,4.4489687942952445e-09,HTI,2012
17,COD,Growing maize industry,XEU,1.400652828897226e-07,HTI,2012
18,COD,Growing cereals n.e.c industry,XEU,7.379973195400664e-10,HTI,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.610953381840988e-08,HTI,2012
20,COD,Growing rice industry,XEU,1.6686480825462445e-07,HTI,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.767519091577544e-08,HTI,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,HTI,2012
23,COD,Growing tobacco industry,XEU,2.753313855977695e-10,HTI,2012
24,COD,Growing fibre crops industry,XEU,6.640248440031525e-08,HTI,2012
25,COD,Growing crops n.e.c. industry,XEU,3.0621791276046766e-10,HTI,2012
26,COD,Growing grapes industry,XEU,0.0,HTI,2012
27,COD,Growing fruits and nuts industry,XEU,5.249770980974232e-08,HTI,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.544877218032384e-10,HTI,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1630993269331208e-10,HTI,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,HTI,2012
31,COD,Raising of cattle industry,XEU,1.3881927891568598e-06,HTI,2012
32,COD,Growing wheat industry,XAF,6.5582395720069385e-09,HTI,2012
33,COD,Growing maize industry,XAF,1.519994023471261e-07,HTI,2012
34,COD,Growing cereals n.e.c industry,XAF,1.111236373013283e-09,HTI,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.672827587652612e-08,HTI,2012
36,COD,Growing rice industry,XAF,2.633746432224054e-07,HTI,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.5343227575468507e-08,HTI,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,HTI,2012
39,COD,Growing tobacco industry,XAF,3.516648356984648e-10,HTI,2012
40,COD,Growing fibre crops industry,XAF,3.4274236169489376e-08,HTI,2012
41,COD,Growing crops n.e.c. industry,XAF,4.568614694675605e-10,HTI,2012
42,COD,Growing grapes industry,XAF,0.0,HTI,2012
43,COD,Growing fruits and nuts industry,XAF,2.6676618737072346e-08,HTI,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.3232547723047913e-10,HTI,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.206682214390408e-11,HTI,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,HTI,2012
47,COD,Raising of cattle industry,XAF,2.1225035451996974e-06,HTI,2012
48,COD,Growing wheat industry,XAS,8.226790590055521e-09,HTI,2012
49,COD,Growing maize industry,XAS,1.8836889017321414e-07,HTI,2012
50,COD,Growing cereals n.e.c industry,XAS,1.3970336158864096e-09,HTI,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.862398314988158e-08,HTI,2012
52,COD,Growing rice industry,XAS,3.3022949800593944e-07,HTI,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.7610440009789e-08,HTI,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,HTI,2012
55,COD,Growing tobacco industry,XAS,4.5119494944550237e-10,HTI,2012
56,COD,Growing fibre crops industry,XAS,7.454767975960395e-08,HTI,2012
57,COD,Growing crops n.e.c. industry,XAS,5.777197714865324e-10,HTI,2012
58,COD,Growing grapes industry,XAS,0.0,HTI,2012
59,COD,Growing fruits and nuts industry,XAS,6.013391696623087e-08,HTI,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,6.12892403662157e-10,HTI,2012
