,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.0674400803060216e-06,ISR,2012
1,COD,Growing maize industry,XAM,6.101307684111603e-05,ISR,2012
2,COD,Growing cereals n.e.c industry,XAM,1.0427400052654888e-07,ISR,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.223152343694917e-05,ISR,2012
4,COD,Growing rice industry,XAM,2.146027098289034e-05,ISR,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00043206548299359985,ISR,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,ISR,2012
7,COD,Growing tobacco industry,XAM,1.1235505530361789e-07,ISR,2012
8,COD,Growing fibre crops industry,XAM,5.40443730690199e-06,ISR,2012
9,COD,Growing crops n.e.c. industry,XAM,2.9261673651713823e-08,ISR,2012
10,COD,Growing grapes industry,XAM,0.0,ISR,2012
11,COD,Growing fruits and nuts industry,XAM,0.00015578161495089426,ISR,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.613195666033722e-06,ISR,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.1591710260255617e-06,ISR,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,ISR,2012
15,COD,Raising of cattle industry,XAM,0.00019570161740936658,ISR,2012
16,COD,Growing wheat industry,XEU,3.4281159265351577e-07,ISR,2012
17,COD,Growing maize industry,XEU,3.105057791231959e-05,ISR,2012
18,COD,Growing cereals n.e.c industry,XEU,4.211831088166189e-08,ISR,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.898074642783624e-05,ISR,2012
20,COD,Growing rice industry,XEU,7.589637199537339e-06,ISR,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.51569428919116e-05,ISR,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,ISR,2012
23,COD,Growing tobacco industry,XEU,3.477323555836812e-08,ISR,2012
24,COD,Growing fibre crops industry,XEU,5.022822337436517e-06,ISR,2012
25,COD,Growing crops n.e.c. industry,XEU,7.275147320080079e-09,ISR,2012
26,COD,Growing grapes industry,XEU,0.0,ISR,2012
27,COD,Growing fruits and nuts industry,XEU,4.6718238625415064e-05,ISR,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.65972850876219e-07,ISR,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.41079508140221e-07,ISR,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,ISR,2012
31,COD,Raising of cattle industry,XEU,4.4499299626740515e-05,ISR,2012
32,COD,Growing wheat industry,XAF,9.964401030592135e-07,ISR,2012
33,COD,Growing maize industry,XAF,4.6827913982990316e-05,ISR,2012
34,COD,Growing cereals n.e.c industry,XAF,7.914038702929258e-08,ISR,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.6374788546214114e-05,ISR,2012
36,COD,Growing rice industry,XAF,1.8809669829362684e-05,ISR,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00047567895484719116,ISR,2012
