,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.0553091030171605e-07,NIC,2012
1,COD,Growing maize industry,XAM,2.4868965400282386e-05,NIC,2012
2,COD,Growing cereals n.e.c industry,XAM,3.907625831307284e-08,NIC,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.180957208672871e-06,NIC,2012
4,COD,Growing rice industry,XAM,6.874991254920478e-06,NIC,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,6.243570749712496e-06,NIC,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,NIC,2012
7,COD,Growing tobacco industry,XAM,2.1974024722584315e-08,NIC,2012
8,COD,Growing fibre crops industry,XAM,5.178844786786573e-06,NIC,2012
9,COD,Growing crops n.e.c. industry,XAM,1.6293287890424167e-08,NIC,2012
10,COD,Growing grapes industry,XAM,0.0,NIC,2012
11,COD,Growing fruits and nuts industry,XAM,1.5657599374061995e-05,NIC,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.277157676296464e-07,NIC,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.8943229818048247e-08,NIC,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,NIC,2012
15,COD,Raising of cattle industry,XAM,6.610201721347638e-05,NIC,2012
16,COD,Growing wheat industry,XEU,5.3607412090708974e-08,NIC,2012
17,COD,Growing maize industry,XEU,2.0792118304009704e-06,NIC,2012
18,COD,Growing cereals n.e.c industry,XEU,9.470236705992493e-09,NIC,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,7.811573410497028e-07,NIC,2012
20,COD,Growing rice industry,XEU,2.151532394207364e-06,NIC,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.78476817204304e-07,NIC,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,NIC,2012
23,COD,Growing tobacco industry,XEU,3.4261701474808082e-09,NIC,2012
24,COD,Growing fibre crops industry,XEU,4.205414797622867e-07,NIC,2012
25,COD,Growing crops n.e.c. industry,XEU,3.930055028885629e-09,NIC,2012
26,COD,Growing grapes industry,XEU,0.0,NIC,2012
27,COD,Growing fruits and nuts industry,XEU,9.402675126866492e-07,NIC,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.23719971101555e-09,NIC,2012
