,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.388859110684881e-08,SDN,2012
1,COD,Growing maize industry,XAM,2.8392659203749685e-06,SDN,2012
2,COD,Growing cereals n.e.c industry,XAM,5.061415059337507e-09,SDN,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.4745385171076397e-06,SDN,2012
4,COD,Growing rice industry,XAM,1.1044549570548466e-06,SDN,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.8290467446431362e-06,SDN,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,SDN,2012
7,COD,Growing tobacco industry,XAM,8.03402656511583e-09,SDN,2012
8,COD,Growing fibre crops industry,XAM,3.2379790166729153e-07,SDN,2012
9,COD,Growing crops n.e.c. industry,XAM,1.853986624011364e-09,SDN,2012
10,COD,Growing grapes industry,XAM,0.0,SDN,2012
11,COD,Growing fruits and nuts industry,XAM,2.9987088922601643e-06,SDN,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.5233122048156833e-06,SDN,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.014043816769597e-09,SDN,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,SDN,2012
15,COD,Raising of cattle industry,XAM,8.05883292711023e-06,SDN,2012
16,COD,Growing wheat industry,XEU,3.305419015094644e-08,SDN,2012
17,COD,Growing maize industry,XEU,2.57846525992573e-06,SDN,2012
18,COD,Growing cereals n.e.c industry,XEU,6.477603456803462e-09,SDN,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.8003550384547471e-06,SDN,2012
20,COD,Growing rice industry,XEU,1.0483758656210395e-06,SDN,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.524108807222382e-06,SDN,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,SDN,2012
23,COD,Growing tobacco industry,XEU,9.404932238553777e-09,SDN,2012
24,COD,Growing fibre crops industry,XEU,1.0506843260302836e-06,SDN,2012
25,COD,Growing crops n.e.c. industry,XEU,2.7680254998856268e-09,SDN,2012
26,COD,Growing grapes industry,XEU,0.0,SDN,2012
27,COD,Growing fruits and nuts industry,XEU,2.5334219584694146e-06,SDN,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.475076280791716e-06,SDN,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.9817283387858525e-09,SDN,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,SDN,2012
31,COD,Raising of cattle industry,XEU,1.0293551655453497e-05,SDN,2012
32,COD,Growing wheat industry,XAF,1.8663657999390845e-08,SDN,2012
33,COD,Growing maize industry,XAF,9.7619441450239e-07,SDN,2012
34,COD,Growing cereals n.e.c industry,XAF,3.7154201546538695e-09,SDN,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.7029444758416345e-06,SDN,2012
36,COD,Growing rice industry,XAF,8.562567082141353e-07,SDN,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.4235527530908843e-06,SDN,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,SDN,2012
39,COD,Growing tobacco industry,XAF,7.377211043597321e-09,SDN,2012
40,COD,Growing fibre crops industry,XAF,3.3650002660296487e-07,SDN,2012
41,COD,Growing crops n.e.c. industry,XAF,1.3596962017687839e-09,SDN,2012
42,COD,Growing grapes industry,XAF,0.0,SDN,2012
43,COD,Growing fruits and nuts industry,XAF,1.9661322318492503e-06,SDN,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.939995083577705e-06,SDN,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.407698127913616e-09,SDN,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,SDN,2012
47,COD,Raising of cattle industry,XAF,6.720815263585928e-06,SDN,2012
48,COD,Growing wheat industry,XAS,1.538671348304736e-08,SDN,2012
49,COD,Growing maize industry,XAS,7.659318961436141e-07,SDN,2012
50,COD,Growing cereals n.e.c industry,XAS,3.007353267850256e-09,SDN,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.3093847905450062e-06,SDN,2012
52,COD,Growing rice industry,XAS,6.845386157973658e-07,SDN,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.4708242588962882e-06,SDN,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,SDN,2012
55,COD,Growing tobacco industry,XAS,4.300138524170562e-09,SDN,2012
56,COD,Growing fibre crops industry,XAS,2.5799767487204174e-07,SDN,2012
57,COD,Growing crops n.e.c. industry,XAS,1.134985905189493e-09,SDN,2012
58,COD,Growing grapes industry,XAS,0.0,SDN,2012
