,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5643250330927815e-08,XAS,2012
1,COD,Growing maize industry,XAM,5.867375006293552e-06,XAS,2012
2,COD,Growing cereals n.e.c industry,XAM,3.5615973689290934e-09,XAS,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.04584872115911e-07,XAS,2012
4,COD,Growing rice industry,XAM,3.946824662609604e-07,XAS,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.0323133242066257e-06,XAS,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,XAS,2012
7,COD,Growing tobacco industry,XAM,1.266391030664898e-09,XAS,2012
8,COD,Growing fibre crops industry,XAM,3.047033292991709e-06,XAS,2012
9,COD,Growing crops n.e.c. industry,XAM,1.1936937891506584e-09,XAS,2012
10,COD,Growing grapes industry,XAM,0.0,XAS,2012
11,COD,Growing fruits and nuts industry,XAM,7.353768207365036e-06,XAS,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.4296473996029247e-07,XAS,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.7275003977242848e-08,XAS,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,XAS,2012
15,COD,Raising of cattle industry,XAM,4.339508767412836e-06,XAS,2012
16,COD,Growing wheat industry,XEU,2.1934074562249843e-09,XAS,2012
17,COD,Growing maize industry,XEU,3.808678309728373e-07,XAS,2012
18,COD,Growing cereals n.e.c industry,XEU,4.377822724166025e-10,XAS,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,6.957262429377053e-08,XAS,2012
20,COD,Growing rice industry,XEU,5.58913537660626e-08,XAS,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.721075748272322e-07,XAS,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,XAS,2012
23,COD,Growing tobacco industry,XEU,2.366650347405849e-10,XAS,2012
24,COD,Growing fibre crops industry,XEU,2.541849095013407e-07,XAS,2012
25,COD,Growing crops n.e.c. industry,XEU,1.8801813374565032e-10,XAS,2012
26,COD,Growing grapes industry,XEU,0.0,XAS,2012
27,COD,Growing fruits and nuts industry,XEU,7.928491173032793e-07,XAS,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.97184211060895e-08,XAS,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.107778948325314e-09,XAS,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,XAS,2012
31,COD,Raising of cattle industry,XEU,5.473465086716943e-07,XAS,2012
32,COD,Growing wheat industry,XAF,3.1640765074973645e-08,XAS,2012
33,COD,Growing maize industry,XAF,2.345726619334536e-05,XAS,2012
34,COD,Growing cereals n.e.c industry,XAF,1.0591241760229526e-08,XAS,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.1589017614865668e-06,XAS,2012
36,COD,Growing rice industry,XAF,1.0784132868722072e-06,XAS,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,9.574037315488053e-06,XAS,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,XAS,2012
39,COD,Growing tobacco industry,XAF,4.3078101721410015e-09,XAS,2012
40,COD,Growing fibre crops industry,XAF,3.0022007485550353e-06,XAS,2012
41,COD,Growing crops n.e.c. industry,XAF,2.4024580387553272e-09,XAS,2012
42,COD,Growing grapes industry,XAF,0.0,XAS,2012
43,COD,Growing fruits and nuts industry,XAF,1.634039269845088e-05,XAS,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.5161357877369908e-06,XAS,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.014083018029302e-07,XAS,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,XAS,2012
47,COD,Raising of cattle industry,XAF,9.149224074213885e-06,XAS,2012
48,COD,Growing wheat industry,XAS,0.0,XAS,2012
49,COD,Growing maize industry,XAS,0.0,XAS,2012
50,COD,Growing cereals n.e.c industry,XAS,0.0,XAS,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.0,XAS,2012
52,COD,Growing rice industry,XAS,0.0,XAS,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,0.0,XAS,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,XAS,2012
55,COD,Growing tobacco industry,XAS,0.0,XAS,2012
56,COD,Growing fibre crops industry,XAS,0.0,XAS,2012
57,COD,Growing crops n.e.c. industry,XAS,0.0,XAS,2012
58,COD,Growing grapes industry,XAS,0.0,XAS,2012
59,COD,Growing fruits and nuts industry,XAS,0.0,XAS,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,XAS,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,XAS,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,XAS,2012
63,COD,Raising of cattle industry,XAS,0.0,XAS,2012
64,COD,Growing wheat industry,AFG,1.5287407640286501e-09,XAS,2012
65,COD,Growing maize industry,AFG,2.5188599501754697e-07,XAS,2012
66,COD,Growing cereals n.e.c industry,AFG,2.6205039886015893e-10,XAS,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.9157157487467234e-08,XAS,2012
68,COD,Growing rice industry,AFG,4.216057725521303e-08,XAS,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.228312743861362e-08,XAS,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,XAS,2012
71,COD,Growing tobacco industry,AFG,8.364853459593934e-11,XAS,2012
72,COD,Growing fibre crops industry,AFG,1.443105196562566e-07,XAS,2012
73,COD,Growing crops n.e.c. industry,AFG,9.73501427713633e-11,XAS,2012
74,COD,Growing grapes industry,AFG,0.0,XAS,2012
75,COD,Growing fruits and nuts industry,AFG,9.800637176991534e-08,XAS,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,4.00496161163481e-09,XAS,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,7.882225040356786e-10,XAS,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,XAS,2012
79,COD,Raising of cattle industry,AFG,4.1812298425257073e-07,XAS,2012
80,COD,Growing wheat industry,AGO,1.9590648045586324e-08,XAS,2012
81,COD,Growing maize industry,AGO,4.5611138018726607e-07,XAS,2012
82,COD,Growing cereals n.e.c industry,AGO,3.129217128170505e-09,XAS,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,2.3128415286668993e-07,XAS,2012
84,COD,Growing rice industry,AGO,4.19900729717205e-07,XAS,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,1.3182676457842617e-07,XAS,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,XAS,2012
87,COD,Growing tobacco industry,AGO,1.035521166720855e-09,XAS,2012
88,COD,Growing fibre crops industry,AGO,1.485143693921724e-07,XAS,2012
89,COD,Growing crops n.e.c. industry,AGO,1.3199830266321137e-09,XAS,2012
90,COD,Growing grapes industry,AGO,0.0,XAS,2012
91,COD,Growing fruits and nuts industry,AGO,2.399503777119897e-07,XAS,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.1761293288406749e-08,XAS,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.1228151283315522e-09,XAS,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,XAS,2012
95,COD,Raising of cattle industry,AGO,6.054445088172375e-06,XAS,2012
96,COD,Growing wheat industry,ALB,7.917073471111404e-10,XAS,2012
97,COD,Growing maize industry,ALB,6.094594236662425e-08,XAS,2012
98,COD,Growing cereals n.e.c industry,ALB,1.283322649443817e-10,XAS,2012
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.0328002342554527e-08,XAS,2012
100,COD,Growing rice industry,ALB,1.9379705479079735e-08,XAS,2012
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.193611531258067e-08,XAS,2012
102,COD,Growing sugar beet and cane industry,ALB,0.0,XAS,2012
103,COD,Growing tobacco industry,ALB,4.556540016400341e-11,XAS,2012
104,COD,Growing fibre crops industry,ALB,2.884556406592927e-08,XAS,2012
105,COD,Growing crops n.e.c. industry,ALB,5.580389588940619e-11,XAS,2012
106,COD,Growing grapes industry,ALB,0.0,XAS,2012
107,COD,Growing fruits and nuts industry,ALB,6.714713624725537e-08,XAS,2012
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,1.1957378101129424e-09,XAS,2012
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.2591633144024242e-10,XAS,2012
110,COD,Seeds and plant propagation industry,ALB,0.0,XAS,2012
111,COD,Raising of cattle industry,ALB,2.3368341458248368e-07,XAS,2012
112,COD,Growing wheat industry,ARE,6.407729139873062e-08,XAS,2012
113,COD,Growing maize industry,ARE,2.198366247377932e-06,XAS,2012
114,COD,Growing cereals n.e.c industry,ARE,7.818398295840003e-09,XAS,2012
115,COD,Growing leguminous crops and oil seeds industry,ARE,6.194258636106173e-07,XAS,2012
116,COD,Growing rice industry,ARE,2.0295043079127435e-06,XAS,2012
117,COD,"Growing vegetables, roots, tubers industry",ARE,6.438826741577071e-07,XAS,2012
118,COD,Growing sugar beet and cane industry,ARE,0.0,XAS,2012
119,COD,Growing tobacco industry,ARE,2.7447419018937096e-09,XAS,2012
120,COD,Growing fibre crops industry,ARE,8.230463609971327e-07,XAS,2012
121,COD,Growing crops n.e.c. industry,ARE,3.3154223534559553e-09,XAS,2012
122,COD,Growing grapes industry,ARE,0.0,XAS,2012
123,COD,Growing fruits and nuts industry,ARE,1.928397633245633e-06,XAS,2012
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,7.270147999033467e-08,XAS,2012
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.1164656720798233e-08,XAS,2012
126,COD,Seeds and plant propagation industry,ARE,0.0,XAS,2012
127,COD,Raising of cattle industry,ARE,1.4541390023464514e-05,XAS,2012
128,COD,Growing wheat industry,ARG,1.5447374114462576e-08,XAS,2012
129,COD,Growing maize industry,ARG,3.203933862912872e-07,XAS,2012
130,COD,Growing cereals n.e.c industry,ARG,2.4476769458677773e-09,XAS,2012
131,COD,Growing leguminous crops and oil seeds industry,ARG,1.798208496654307e-07,XAS,2012
132,COD,Growing rice industry,ARG,3.312325186829833e-07,XAS,2012
133,COD,"Growing vegetables, roots, tubers industry",ARG,7.132487398221962e-08,XAS,2012
134,COD,Growing sugar beet and cane industry,ARG,0.0,XAS,2012
135,COD,Growing tobacco industry,ARG,8.126673364320174e-10,XAS,2012
136,COD,Growing fibre crops industry,ARG,1.0802643779276228e-07,XAS,2012
137,COD,Growing crops n.e.c. industry,ARG,1.0269389553795956e-09,XAS,2012
138,COD,Growing grapes industry,ARG,0.0,XAS,2012
139,COD,Growing fruits and nuts industry,ARG,1.6907155295868143e-07,XAS,2012
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,4.504524943755939e-09,XAS,2012
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.852103890236084e-10,XAS,2012
142,COD,Seeds and plant propagation industry,ARG,0.0,XAS,2012
143,COD,Raising of cattle industry,ARG,4.78051571790792e-06,XAS,2012
144,COD,Growing wheat industry,ARM,1.5925763482125592e-09,XAS,2012
145,COD,Growing maize industry,ARM,4.2670694955590855e-07,XAS,2012
146,COD,Growing cereals n.e.c industry,ARM,3.134709602321358e-10,XAS,2012
147,COD,Growing leguminous crops and oil seeds industry,ARM,2.738913394046561e-08,XAS,2012
148,COD,Growing rice industry,ARM,4.4059964945623454e-08,XAS,2012
149,COD,"Growing vegetables, roots, tubers industry",ARM,6.68893807062331e-08,XAS,2012
150,COD,Growing sugar beet and cane industry,ARM,0.0,XAS,2012
151,COD,Growing tobacco industry,ARM,1.1819358828740544e-10,XAS,2012
