,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.795795353191472e-07,CRI,2013
1,COD,Growing maize industry,XAM,2.7596186484748103e-05,CRI,2013
2,COD,Growing cereals n.e.c industry,XAM,7.418674752575906e-08,CRI,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.085000473814192e-06,CRI,2013
4,COD,Growing rice industry,XAM,1.930044681250277e-05,CRI,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.97635009498627e-06,CRI,2013
6,COD,Growing sugar beet and cane industry,XAM,1.1280448068804695e-06,CRI,2013
7,COD,Growing tobacco industry,XAM,7.366319970600986e-08,CRI,2013
8,COD,Growing fibre crops industry,XAM,3.117310470385955e-06,CRI,2013
9,COD,Growing crops n.e.c. industry,XAM,7.867574353110411e-07,CRI,2013
10,COD,Growing grapes industry,XAM,0.0,CRI,2013
11,COD,Growing fruits and nuts industry,XAM,6.300960574383105e-05,CRI,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.523435283141212e-09,CRI,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.2893930040380941e-08,CRI,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,CRI,2013
15,COD,Raising of cattle industry,XAM,9.611489099782415e-05,CRI,2013
16,COD,Growing wheat industry,XEU,2.9765026402703336e-08,CRI,2013
17,COD,Growing maize industry,XEU,1.2744898272497283e-06,CRI,2013
18,COD,Growing cereals n.e.c industry,XEU,3.844241062382442e-09,CRI,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.14738043505539e-07,CRI,2013
20,COD,Growing rice industry,XEU,1.0893418650369135e-06,CRI,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.7072629093631856e-07,CRI,2013
22,COD,Growing sugar beet and cane industry,XEU,4.4683560444506265e-08,CRI,2013
23,COD,Growing tobacco industry,XEU,4.858346439576585e-09,CRI,2013
24,COD,Growing fibre crops industry,XEU,1.7676729664754668e-07,CRI,2013
25,COD,Growing crops n.e.c. industry,XEU,4.071425717874498e-08,CRI,2013
26,COD,Growing grapes industry,XEU,0.0,CRI,2013
27,COD,Growing fruits and nuts industry,XEU,3.0124933329398423e-06,CRI,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.98303129200676e-10,CRI,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.916308103121291e-10,CRI,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,CRI,2013
31,COD,Raising of cattle industry,XEU,4.993142013620154e-06,CRI,2013
32,COD,Growing wheat industry,XAF,5.533977973035958e-09,CRI,2013
33,COD,Growing maize industry,XAF,3.24335436872673e-07,CRI,2013
