,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.846890554135942e-09,ETH,2013
1,COD,Growing maize industry,XAM,2.780496064641474e-07,ETH,2013
2,COD,Growing cereals n.e.c industry,XAM,1.1868209700492247e-09,ETH,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1861519014196833e-07,ETH,2013
4,COD,Growing rice industry,XAM,6.077728076707824e-07,ETH,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,4.1160106969877557e-07,ETH,2013
6,COD,Growing sugar beet and cane industry,XAM,1.603564019731788e-08,ETH,2013
7,COD,Growing tobacco industry,XAM,8.269348655944917e-10,ETH,2013
8,COD,Growing fibre crops industry,XAM,2.736519562947934e-08,ETH,2013
9,COD,Growing crops n.e.c. industry,XAM,1.7987421032834745e-08,ETH,2013
10,COD,Growing grapes industry,XAM,0.0,ETH,2013
11,COD,Growing fruits and nuts industry,XAM,1.132134755181956e-06,ETH,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.48487133624433e-10,ETH,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.5138346867505384e-09,ETH,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,ETH,2013
15,COD,Raising of cattle industry,XAM,1.7196339859797164e-06,ETH,2013
16,COD,Growing wheat industry,XEU,4.520050587548699e-09,ETH,2013
17,COD,Growing maize industry,XEU,9.22722602393973e-08,ETH,2013
18,COD,Growing cereals n.e.c industry,XEU,5.489688935066453e-10,ETH,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.8844256053482924e-08,ETH,2013
20,COD,Growing rice industry,XEU,2.782176045337006e-07,ETH,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.596547366951532e-08,ETH,2013
22,COD,Growing sugar beet and cane industry,XEU,7.200969818285516e-09,ETH,2013
23,COD,Growing tobacco industry,XEU,3.5049494982465174e-10,ETH,2013
24,COD,Growing fibre crops industry,XEU,1.4504601473398595e-08,ETH,2013
25,COD,Growing crops n.e.c. industry,XEU,8.851529972317141e-09,ETH,2013
26,COD,Growing grapes industry,XEU,0.0,ETH,2013
27,COD,Growing fruits and nuts industry,XEU,2.503241602855986e-07,ETH,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,8.671445237579869e-11,ETH,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.8598675999080536e-10,ETH,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,ETH,2013
31,COD,Raising of cattle industry,XEU,7.646232321762459e-07,ETH,2013
32,COD,Growing wheat industry,XAF,2.033060287896759e-08,ETH,2013
33,COD,Growing maize industry,XAF,6.760982914596827e-07,ETH,2013
34,COD,Growing cereals n.e.c industry,XAF,2.4288152068755145e-09,ETH,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.6621823090373587e-07,ETH,2013
36,COD,Growing rice industry,XAF,1.2304184784858933e-06,ETH,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,9.157133857886218e-07,ETH,2013
38,COD,Growing sugar beet and cane industry,XAF,3.6218969955010466e-08,ETH,2013
39,COD,Growing tobacco industry,XAF,1.9039833030695023e-09,ETH,2013
40,COD,Growing fibre crops industry,XAF,8.779496636678183e-08,ETH,2013
41,COD,Growing crops n.e.c. industry,XAF,3.512507620486735e-08,ETH,2013
42,COD,Growing grapes industry,XAF,0.0,ETH,2013
43,COD,Growing fruits and nuts industry,XAF,2.650056643383185e-06,ETH,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.074461337799409e-09,ETH,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.2455583641985817e-09,ETH,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,ETH,2013
47,COD,Raising of cattle industry,XAF,3.833043177715368e-06,ETH,2013
48,COD,Growing wheat industry,XAS,1.715458992384587e-08,ETH,2013
49,COD,Growing maize industry,XAS,7.986555735494141e-07,ETH,2013
50,COD,Growing cereals n.e.c industry,XAS,2.146102546542447e-09,ETH,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.2915205781473016e-07,ETH,2013
52,COD,Growing rice industry,XAS,9.754164141986435e-07,ETH,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.2210950316965817e-07,ETH,2013
54,COD,Growing sugar beet and cane industry,XAS,5.0898406979739115e-08,ETH,2013
55,COD,Growing tobacco industry,XAS,1.6017571620388214e-09,ETH,2013
56,COD,Growing fibre crops industry,XAS,6.817513373070584e-08,ETH,2013
57,COD,Growing crops n.e.c. industry,XAS,6.960772661967912e-08,ETH,2013
58,COD,Growing grapes industry,XAS,0.0,ETH,2013
59,COD,Growing fruits and nuts industry,XAS,1.9084644056734767e-06,ETH,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.797383276115753e-10,ETH,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.5996062087912735e-09,ETH,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,ETH,2013
63,COD,Raising of cattle industry,XAS,2.8012351584545075e-06,ETH,2013
64,COD,Growing wheat industry,AFG,8.102162135237476e-09,ETH,2013
65,COD,Growing maize industry,AFG,4.207834985755817e-07,ETH,2013
66,COD,Growing cereals n.e.c industry,AFG,1.0181987650858924e-09,ETH,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.1051790348904129e-07,ETH,2013
68,COD,Growing rice industry,AFG,4.868973058303355e-07,ETH,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.14838035244197e-07,ETH,2013
70,COD,Growing sugar beet and cane industry,AFG,2.7250359587559946e-08,ETH,2013
71,COD,Growing tobacco industry,AFG,6.577321065980362e-10,ETH,2013
72,COD,Growing fibre crops industry,AFG,1.7784831376096736e-08,ETH,2013
73,COD,Growing crops n.e.c. industry,AFG,3.9157859043665035e-08,ETH,2013
74,COD,Growing grapes industry,AFG,0.0,ETH,2013
75,COD,Growing fruits and nuts industry,AFG,4.2262640848699007e-07,ETH,2013
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.349728625415188e-10,ETH,2013
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.817230348095079e-10,ETH,2013
