,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.691111432568195e-08,JOR,2013
1,COD,Growing maize industry,XAM,2.8088732127866507e-06,JOR,2013
2,COD,Growing cereals n.e.c industry,XAM,7.474600530471849e-09,JOR,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.126299877248798e-07,JOR,2013
4,COD,Growing rice industry,XAM,2.741117357813005e-06,JOR,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.414007033799102e-06,JOR,2013
6,COD,Growing sugar beet and cane industry,XAM,1.5155640215743453e-07,JOR,2013
7,COD,Growing tobacco industry,XAM,1.374747892937645e-08,JOR,2013
8,COD,Growing fibre crops industry,XAM,5.323934603913677e-07,JOR,2013
9,COD,Growing crops n.e.c. industry,XAM,1.8446942013780013e-07,JOR,2013
10,COD,Growing grapes industry,XAM,0.0,JOR,2013
11,COD,Growing fruits and nuts industry,XAM,8.548975396577738e-06,JOR,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.970980757050751e-08,JOR,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.077682819080916e-09,JOR,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,JOR,2013
15,COD,Raising of cattle industry,XAM,8.244916028000744e-06,JOR,2013
16,COD,Growing wheat industry,XEU,1.3958630475083334e-08,JOR,2013
17,COD,Growing maize industry,XEU,4.6825182808494543e-07,JOR,2013
18,COD,Growing cereals n.e.c industry,XEU,1.7259502712808972e-09,JOR,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.9958848018032344e-07,JOR,2013
20,COD,Growing rice industry,XEU,7.052819068698726e-07,JOR,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.5469993975774986e-07,JOR,2013
22,COD,Growing sugar beet and cane industry,XEU,2.651553658282408e-08,JOR,2013
23,COD,Growing tobacco industry,XEU,2.955158577711119e-09,JOR,2013
24,COD,Growing fibre crops industry,XEU,8.574260881677473e-08,JOR,2013
25,COD,Growing crops n.e.c. industry,XEU,3.208788621060789e-08,JOR,2013
26,COD,Growing grapes industry,XEU,0.0,JOR,2013
27,COD,Growing fruits and nuts industry,XEU,1.73066760197581e-06,JOR,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.586390400560807e-09,JOR,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.75144041062801e-10,JOR,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,JOR,2013
31,COD,Raising of cattle industry,XEU,2.136684184523124e-06,JOR,2013
32,COD,Growing wheat industry,XAF,6.889668925745911e-08,JOR,2013
33,COD,Growing maize industry,XAF,3.5422987073385006e-06,JOR,2013
34,COD,Growing cereals n.e.c industry,XAF,9.046378871113831e-09,JOR,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.3188959804168721e-06,JOR,2013
36,COD,Growing rice industry,XAF,3.1190188855672757e-06,JOR,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.6411978504357064e-06,JOR,2013
38,COD,Growing sugar beet and cane industry,XAF,1.4082571356025193e-07,JOR,2013
39,COD,Growing tobacco industry,XAF,9.698221906930424e-08,JOR,2013
40,COD,Growing fibre crops industry,XAF,9.702298872817604e-07,JOR,2013
41,COD,Growing crops n.e.c. industry,XAF,1.3044529214551383e-07,JOR,2013
42,COD,Growing grapes industry,XAF,0.0,JOR,2013
43,COD,Growing fruits and nuts industry,XAF,1.6132885225986796e-05,JOR,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.0213283509091896e-08,JOR,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.598388510164666e-09,JOR,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,JOR,2013
47,COD,Raising of cattle industry,XAF,9.520699071591803e-06,JOR,2013
48,COD,Growing wheat industry,XAS,7.766852034816024e-08,JOR,2013
49,COD,Growing maize industry,XAS,2.52279346698512e-06,JOR,2013
50,COD,Growing cereals n.e.c industry,XAS,9.875647521660759e-09,JOR,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.1041195434583568e-06,JOR,2013
52,COD,Growing rice industry,XAS,4.461227673272736e-06,JOR,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.4088907318566863e-06,JOR,2013
54,COD,Growing sugar beet and cane industry,XAS,1.4984758273243725e-07,JOR,2013
55,COD,Growing tobacco industry,XAS,2.467574309516637e-08,JOR,2013
56,COD,Growing fibre crops industry,XAS,5.172061189097104e-07,JOR,2013
57,COD,Growing crops n.e.c. industry,XAS,1.7116545435365893e-07,JOR,2013
58,COD,Growing grapes industry,XAS,0.0,JOR,2013
59,COD,Growing fruits and nuts industry,XAS,1.0415393955865608e-05,JOR,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.959893988473377e-08,JOR,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.1604135982548516e-09,JOR,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,JOR,2013
63,COD,Raising of cattle industry,XAS,1.1366546202139434e-05,JOR,2013
64,COD,Growing wheat industry,AFG,2.850760817704806e-08,JOR,2013
65,COD,Growing maize industry,AFG,1.4576383739777687e-06,JOR,2013
66,COD,Growing cereals n.e.c industry,AFG,3.920667140921066e-09,JOR,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.431160156461429e-07,JOR,2013
68,COD,Growing rice industry,AFG,1.3072531251139072e-06,JOR,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,7.772384259552619e-07,JOR,2013
70,COD,Growing sugar beet and cane industry,AFG,6.71522979145106e-08,JOR,2013
71,COD,Growing tobacco industry,AFG,1.246352886365111e-08,JOR,2013
72,COD,Growing fibre crops industry,AFG,3.8295838452990556e-07,JOR,2013
73,COD,Growing crops n.e.c. industry,AFG,7.710352303631531e-08,JOR,2013
74,COD,Growing grapes industry,AFG,0.0,JOR,2013
75,COD,Growing fruits and nuts industry,AFG,6.4757452077655635e-06,JOR,2013
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.955181568886671e-08,JOR,2013
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.334855403281598e-09,JOR,2013
78,COD,Seeds and plant propagation industry,AFG,0.0,JOR,2013
79,COD,Raising of cattle industry,AFG,4.050268893799549e-06,JOR,2013
80,COD,Growing wheat industry,AGO,4.0402540948128626e-07,JOR,2013
81,COD,Growing maize industry,AGO,1.4218443121101656e-05,JOR,2013
82,COD,Growing cereals n.e.c industry,AGO,4.974603616586938e-08,JOR,2013
83,COD,Growing leguminous crops and oil seeds industry,AGO,5.544333376836779e-06,JOR,2013
84,COD,Growing rice industry,AGO,2.0257033379256142e-05,JOR,2013
85,COD,"Growing vegetables, roots, tubers industry",AGO,8.080036595405589e-06,JOR,2013
86,COD,Growing sugar beet and cane industry,AGO,8.259282314426737e-07,JOR,2013
87,COD,Growing tobacco industry,AGO,1.4253111502591912e-07,JOR,2013
88,COD,Growing fibre crops industry,AGO,2.829050548994576e-06,JOR,2013
89,COD,Growing crops n.e.c. industry,AGO,1.0059478536992058e-06,JOR,2013
90,COD,Growing grapes industry,AGO,0.0,JOR,2013
91,COD,Growing fruits and nuts industry,AGO,4.5815793037363555e-05,JOR,2013
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.0742984265387599e-07,JOR,2013
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.2949791159563918e-08,JOR,2013
94,COD,Seeds and plant propagation industry,AGO,0.0,JOR,2013
