,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.6703149195083174e-07,KWT,2013
1,COD,Growing maize industry,XAM,5.721273372408913e-06,KWT,2013
2,COD,Growing cereals n.e.c industry,XAM,3.1132111692923564e-08,KWT,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.3889641892386055e-06,KWT,2013
4,COD,Growing rice industry,XAM,1.4360151505170566e-05,KWT,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,6.3406368866432115e-06,KWT,2013
6,COD,Growing sugar beet and cane industry,XAM,4.101513764378674e-07,KWT,2013
7,COD,Growing tobacco industry,XAM,4.065137124790011e-08,KWT,2013
8,COD,Growing fibre crops industry,XAM,1.197032419641598e-06,KWT,2013
9,COD,Growing crops n.e.c. industry,XAM,4.494845585300105e-07,KWT,2013
10,COD,Growing grapes industry,XAM,0.0,KWT,2013
11,COD,Growing fruits and nuts industry,XAM,2.274988359034448e-05,KWT,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.2103809355217826e-08,KWT,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.901556562042847e-08,KWT,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,KWT,2013
15,COD,Raising of cattle industry,XAM,4.2498209098037433e-05,KWT,2013
16,COD,Growing wheat industry,XEU,1.1120377226717099e-07,KWT,2013
17,COD,Growing maize industry,XEU,1.3376137815584025e-06,KWT,2013
18,COD,Growing cereals n.e.c industry,XEU,1.248462068605489e-08,KWT,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.1002401480363367e-06,KWT,2013
20,COD,Growing rice industry,XEU,6.268911176039756e-06,KWT,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.0029632510711423e-06,KWT,2013
22,COD,Growing sugar beet and cane industry,XEU,1.3243181619498767e-07,KWT,2013
23,COD,Growing tobacco industry,XEU,1.1141139884983224e-08,KWT,2013
24,COD,Growing fibre crops industry,XEU,2.6085242106926766e-07,KWT,2013
25,COD,Growing crops n.e.c. industry,XEU,1.5782215263550832e-07,KWT,2013
26,COD,Growing grapes industry,XEU,0.0,KWT,2013
27,COD,Growing fruits and nuts industry,XEU,3.893246172777669e-06,KWT,2013
